id,name,description,website,established,isOrganic,images__icon,images__medium,images__large,streetAddress,locality,region,postalCode,latitude,longitude,phone,hoursOfOperation,isPrimary,inPlanning,isClosed,openToPublic,locationType,locationTypeDisplay,countryIsoCode,displayName,isoThree,yearOpened,yearClosed
n8zipR,1933 Brewing Company,,http://1933Brewing.com,2013,N,https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_VRhXLv-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_VRhXLv-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_VRhXLv-large.png,4025 S. Mason St.,Fort Collins,Colorado,80525,40.5311387,-105.0801963,(970) 377-4107,Mon:  3:00pm - 8:30pm Tue:  3:00pm - 8:30pm Wed:  3:00pm - 8:30pm Thu:  12:00pm - 9:00pm Fri:  12:00pm - 9:00pm Sat:  12:00pm - 9:00pm Sun:  1:00pm - 7:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
XfmmJI,1974 Brewing Company,"1974 Brewing Company is a nano brewery in planning, founded in 2012. We began brewing in late 2008 on a hobby scale with all grain 5 gallon batches. In late 2011 we moved up to 10 gallon batches. Brewing is not only a hobby but a way of life for us, once we started we just couldn’t seem to stop. We really enjoy the process of making the beer as well the finished product. Some of the success we have had in home brewing competitions has only given us confidence and motivation to take our hobby further. We plan on expanding our system to produce 7-10 barrels per batch in 2012 as well as filing the necessary paperwork to begin a legitimate brewery, distributing our beers to the public.",http://www.1974brewingcompany.com/,2012,N,,,,,Pottstown,Pennsylvania,,40.246452,-75.648054,,,Y,Y,N,Y,nano,Nano Brewery,US,United States,USA,,
JCb4IX,"2 Witches Winery and Brewing Company, Inc.","2 Witches Winery & Brewing Company, located in Danville, Virginia, is a combination farm/urban winery and picobrewery. We are affiliated with 2 Witches Vineyard located in Chatham, Virginia. We hope to open in May 2013.",,2012,N,,,,209 Trade St,Danville,Virginia,24541,36.5859845,-79.42126,(434) 549-2739,,Y,Y,N,Y,micro,Micro Brewery,US,United States,USA,,
wXmTDU,21st Amendment Brewery,The 21st Amendment Brewery offers a variety of award winning house made brews and American grilled cuisine in a comfortable loft like setting. Join us before and after Giants baseball games in our outdoor beer garden. A great location for functions and parties in our semi-private Brewers Loft. See you soon at the 21A!,http://www.21st-amendment.com/,2000,N,https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_YmgSv3-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_YmgSv3-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_YmgSv3-large.png,563 Second Street,San Francisco,California,94107,37.7824892,-122.3924905,415-369-0900,Mon:  11:30am - 12:00am Tue:  11:30am - 12:00am Wed:  11:30am - 12:00am Thu:  11:30am - 12:00am Fri:  11:30am - 1:00am Sat:  11:30am - 1:00am Sun:  10:00am - 12:00am  ,Y,N,N,Y,brewpub,Brewpub,US,United States,USA,2000,
YrVHMv,23rd Street Brewery,"Here at the 23rd Street Brewery, we pride ourselves in creating and offering ales and lagers of exceptional quality. Often in the micro brewing industry, quality is compromised for quantity. We brew handcrafted, small batch beers to ensure freshness is as crisp as it is clean. We use only the finest domestic and imported barley and hops to brew beers of tradition and beers of distinction. The brew house we call home is a 15 barrel Pub Brewing System located on the upper level of the impressive brewery interior. In the past year, we have doubled our production to exceed 1000 barrels (2000 Kegs) per year and have begun distributing to other bars and restaurants throughout Kansas.",http://www.brew23.com/,2003,N,https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_J6eKzP-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_J6eKzP-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_J6eKzP-large.png,3512 Clinton Parkway,Lawrence,Kansas,66047,38.9429919,-95.280903,785-856-2337,,Y,N,N,Y,brewpub,Brewpub,US,United States,USA,,
0v0P7r,2kids Brewing Company,"Two Kids Brewing Company is San Diego's newest Nanobrewery! Now open, we're serving the finest in tasty and unusual ales, sans snobby attitude.",http://www.twokidsbrewing.com,2013,N,https://s3.amazonaws.com/brewerydbapi/brewery/FkNXW1/upload_91ppT9-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/FkNXW1/upload_91ppT9-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/FkNXW1/upload_91ppT9-large.png,8680 Miralani Dr.,San Diego,California,92126,32.896584,-117.13743,(858) 480-5437,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2013,
BBE5WM,2nd Shift Brewing Co,"We are a micro that will be making beer that is big on flavor and aroma, the way beer should be. There will be several styles and a continuing line of seasonal and special beers that will be produced throughout the year.",http://www.2ndshiftbrewing.com/,,N,https://s3.amazonaws.com/brewerydbapi/brewery/1ZnmlG/upload_5i6VnS-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/1ZnmlG/upload_5i6VnS-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/1ZnmlG/upload_5i6VnS-large.png,101 Cedar Creek Rd,New Haven,Missouri,63068,38.5435216,-91.1812857,618-791-0728,Fri:  12:00pm - 6:00pm Sat:  12:00pm - 6:00pm Sun:  12:00pm - 6:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
w4Qouf,3 Beards Beer Company,"3 Beards Beer Company enables undiscovered artisan brews from all over the world to be locally brewed and freshly distributed. We focus on talented individuals who have the desire, but not necessarily the means, to share their creations with other enthusiasts.",http://www.3BeardsBeer.com,2010,N,https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_Ovd0fR-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_Ovd0fR-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_Ovd0fR-large.png,189 W Main St,Holyoke,Massachusetts,1532,42.202294,-72.6046854,,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
PbmcEW,3 Daughters Brewing,"3 Daughters Brewing will be opening fall of 2013 with several exciting new craft beers. With our 30 barrel brewhouse, we will have the capacity to serve the Tampa Bay market new and innovative flavors in our Beach Blonde Ale, Brown Pelican Dunkelweizen and Summer Storm Stout. Keep an eye out for the 3DB brand in your local restaurant and stay tuned for the opening of our tasting room coming soon.",http://www.3dbrewing.com,,N,https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_d64OP7-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_d64OP7-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_d64OP7-large.png,222 22nd Street South,Saint Petersburg,Florida,33712,27.769051,-82.6627049,(727) 495-6002,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
nd3PQ1,3 Guys and a Beer'd Brewing Company,"We strive to make a quality, flavorful brew that all tastebuds will enjoy!",http://www.3guysandabeerd.com/,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_ytohik-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_ytohik-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_ytohik-large.png,10 Enterprise Drive,Carbondale,Pennsylvania,18407,41.5790532,-75.5014732,(570) 280-2739,Mon:  7:00am - 10:00pm Tue:  7:00am - 10:00pm Wed:  7:00am - 10:00pm Thu:  7:00am - 10:00pm Fri:  7:00am - 10:00pm Sat:  7:00am - 10:00pm Sun:  7:00am - 10:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
LMfC4N,3 Herons Brewing Company,"We will be opening the restaurant Friday, August 24, preparing for the NY brewery license after.     We will offer fresh meats both outside in the BBQ and inside the restaurant. We will use local produce as much as we can, from local Finger Lakes farms.     We will strive to be family-friendly in price & atmosphere, offering local favorites (BBQ etc) and quality musical entertainment.    Smoked meats, handmade sausage & cheese, homemade pasta & flatbreads.    Craft — Flavor — Quality",http://www.3hbc.com/,,N,https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_GmmRTB-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_GmmRTB-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_GmmRTB-large.png,9632 Route 96,Trumansburg,New York,14886,42.556589,-76.681616,607-387-7000,Thu:  4:00pm - 8:00pm Fri:  4:00pm - 8:00pm Sat:  6:00am - 9:00pm Sun:  6:00am - 8:00pm  ,Y,N,N,Y,brewpub,Brewpub,US,United States,USA,,
5R4Akp,3 Sheeps Brewing Company,"All families have their stories: tales of grandparents and great-grandparents and the incredible things they accomplished, or lived through, or overcame. My family was no different. I grew up hearing stories that cascaded across a broad plain of topics, but the ones that fascinated me most centered around the Kingsbury Breweries.    Back in 1926, the Kingsbury Breweries, then known as the Gutsch Brewery, declared bankruptcy. It was a tough time for breweries across the country as Prohibition was in full effect. Many breweries failed during that time, and the Gutsch Brewery was on its way to joining them. It was at this time that my family took the helm of the brewery. Soon after, they changed the name to the Kingsbury Breweries, expanded coast-to-coast, and turned the brewery into what we remember it as today.    I grew up hearing stories from my father, who, as a child with his father, would go around the various Kingsbury Breweries, see the brewers hard at work, and watch the customers enjoy a beer in the Ratskellar. This is where my interest was first piqued by the great world of beer. Many years later, thanks to a brilliant gift on my wife’s part, I started making my own beer. From that point forward there was no turning back. The hobby turned into a passion, which turned into an obsession, which turned into quitting my day job and opening a brewery.    This is my Really Cool Waterslide - my choice to take a dream and make it my reality. Thank you to all those who have helped me get here.    - Grant Pauly, 3 Sheeps Brewing",http://www.3sheepsbrewing.com/,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_c8CRE6-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_c8CRE6-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_c8CRE6-large.png,1327 North 14th Street,Sheboygan,Wisconsin,53081,43.7590398,-87.7229469,920-395-3583,,Y,Y,N,N,micro,Micro Brewery,US,United States,USA,,
PofhpE,3 Stars Brewing Company,"3 Stars Brewing is a DC based production brewery founded by Mike McGarvey and Dave Coleman to provide the community with great, fresh, local craftbeer.     We are looking forward to opening our doors in 2011. In doing so, we will proudly brew beers that push the limits of conventional brewing while still providing our customers with great, fresh, local craft beers...contact us at info@3starsbrewing.com",http://3starsbrewing.com/,2010,N,https://s3.amazonaws.com/brewerydbapi/brewery/ucVIMa/upload_cYg9co-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/ucVIMa/upload_cYg9co-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/ucVIMa/upload_cYg9co-large.png,"6400 Chillum Place, NW",Washington,District of Columbia,20011,38.9626852,-77.0149188,202-670-0333,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2010,
BWRwOL,300 Suns Brewing,"300 Suns Brewing was really just an idea brought up years ago, that kept surfacing every time a brewery was toured, a GABF was attended, a new craft beer was tasted, a bottle of homebrew was shared on the back deck in the cool summer evening air. It was just a dream and one day (gulp), we worked up the nerve to make it a reality. We wanted to put our time and our work into something that brought joy to others the way those moments brought joy to us. And we wanted to give our community very meaningful ways that they could become part of the shaping of our brewery.",http://www.300sunsbrewing.com,2014,N,https://s3.amazonaws.com/brewerydbapi/brewery/x4vqAl/upload_fI8k35-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/x4vqAl/upload_fI8k35-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/x4vqAl/upload_fI8k35-large.png,335 1st Ave,Longmont,Colorado,80501,40.1598532,-105.1011372,(720) 442-8292,Mon:  2:00pm - 9:00pm Tue:  2:00pm - 9:00pm Wed:  2:00pm - 9:00pm Thu:  2:00pm - 9:00pm Fri:  12:00pm - 10:00pm Sat:  12:00pm - 10:00pm Sun:  12:00pm - 8:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
mJEOcA,303 Brewing Company,,http://www.303brewing.com/,,N,https://s3.amazonaws.com/brewerydbapi/brewery/9MrbND/upload_XOVeEw-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/9MrbND/upload_XOVeEw-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/9MrbND/upload_XOVeEw-large.png,PO Box 202896,Denver,Colorado,,39.86332,-104.951049,(303) 720-7550,,Y,Y,N,Y,micro,Micro Brewery,US,United States,USA,,
1mRL8J,350 Brewing Company,"The 350 Brewing Company has spawned from the ashes of our failed Collegiate careers at Northern Illinois University. Let me explain. 350 Augusta Ave. was our address in Dekalb, IL. At the time, your founders Todd and Erik spent more time on projects like way below average punk rock bands in the attic, and a Hardcore Wrestling Federation called WCVF (this took place in our kitchen), instead of focusing on classes like Humanities 227 in DuSable Hall. I mean, have you ever choke slammed one of your best friends into an oven pre-heated to ""550 degrees""? Well i have, and that was just a random Wednesday night. This raw energy (stupidity) and creativity is what eventually drew us to the Craft Beer scene. That’s what craft beer is…a creative and fresh twist on a beverage that has been mass produced and shoved down our throats for much too long (carefully stepping down from soapbox). Why not name our Brewery after the point in our life when we were most creative? Well…..we did. It was during these times we were also introduced to good, quality beer.    Once NIU had enough of our shenanigans, Erik went on to continue his education while I submerged myself into the cesspool known as corporate America. I feel dirty just talking about it. Over the last decade, my soul has been slowly rotting and exiting my body so there was a need for this creative juice to be squeezed once again. Since wrestling and punk rock was now out of the question, brewing beer quickly became that much needed release from the Groundhog Day that had become the norm for us. Erik like most homebrewers started out brewing with extract several years ago and quickly rose to the challenge of all-grain batches. Erik, the 350 Head brewer, has been very successful when entering brewing competitions walking away with multiple awards for his Porter and Patersbier. Myself on the other hand have had a love for flavorful craft beer for many moons, and once I learned of Erik’s brewing expertise years ago, I too became emerged in this brewing lifestyle. It was a match made in heaven. Erik brewed awesome beer, and I was awesome at drinking and sharing that beer!!!     From that point on things just sort of clicked and for the last 2 years Erik and I have been researching and concocting this master plan of opening a brewery. The time has come. We want all of you to enjoy this journey with us. Tinley Park has always been our #1 choice for the 350 Brewing Company. Downtown Tinley Park embodies the spirit of 350. With great electricity in the downtown area, coupled with an amazing artistic feel, will definitely pair well with our vision of always making sure a visit to our brewery is an interesting experience. We feel Tinley Park is ready for a neighborhood brewery. It really was an easy decision based on Tinley Park’s sense of community and passion for supporting local products.    We are looking forward to joining the family of incredible Illinois Brewers. We should all thank our lucky stars that we live in a state with such high quality Breweries.",http://350Brewing.com,2013,N,https://s3.amazonaws.com/brewerydbapi/brewery/W3pb09/upload_pRw6FS-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/W3pb09/upload_pRw6FS-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/W3pb09/upload_pRw6FS-large.png,7144 183rd St,Tinley Park,Illinois,60477,41.5593734,-87.7911748,,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
sjblac,38 State Brewing Company,"We started out years ago brewing in our garage. Friends and family would always come by to hang out, drink our beer, socialize and watch whatever game was on. Soon our garage was filled with so many people we decided to find a bigger one and open it up to everyone! We took a chance and opened a nano-brewery and tasting room. Now we can offer our beer to current and future friends in our community! Visit our website for our beer menu, more info and updates. www.38statebrew.com    We're located in Littleton, Colorado. So whether you're a local or just passing through, please stop by, take a load off and sample some of our tasty brews. Trust us... you will not be disappointed! Cheers!!",http://38statebrew.com,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/N101SS/upload_D9KNZe-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/N101SS/upload_D9KNZe-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/N101SS/upload_D9KNZe-large.png,8071 S Broadway,Littleton,Colorado,80122,39.5710987,-104.988603,(720) 638-3678,Mon:  2:00pm - 10:00pm Tue:  2:00pm - 10:00pm Wed:  2:00pm - 10:00pm Thu:  2:00pm - 10:00pm Fri:  12:00pm - 10:00pm Sat:  12:00pm - 10:00pm Sun:  12:00pm - 8:00pm  Mon - Thu: 2:00 pm - 10:00 pm  Fri - Sat: 12:00 pm - 10:00 pm  Sun: 12:00 pm - 8:00 pm,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2014,
OwHCJM,3rd Wave Brewing Co.,"3rd Wave Brewing Co. is a dream between to friends who love the beach and love to brew beer. We hope you visit us often and enjoy Good Friends, Good Waves, Great Beer!",http://3rdwavebrewingco.com/,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/9gBauy/upload_TqiFpY-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/9gBauy/upload_TqiFpY-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/9gBauy/upload_TqiFpY-large.png,501 North Bi-State Blvd.,Delmar,Delaware,19940,38.4607437,-75.5741265,(302) 907-0423,Thu:  4:00pm - 8:00pm Fri:  4:00pm - 9:00pm Sat:  1:00pm - 9:00pm Sun:  12:00pm - 6:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2012,
wZgKXi,4 Brothers Blended Beer,"4 Brothers Custom Blended Craft Beer evolved from a combination of passion, innovation, experimentation, configuration and fermentation; followed by extensive libation and imbibition. Yep, brewing blended beer is damn hard work. Especially the tasting part. Cheers for Libations!    Until we 4 Brothers started the process of evolving our avocation into our vocation, there really hasn't been a true innovation in the beer industry in years. Maybe since the monks first put their quills to parchment and recorded their initial beer recipes.    IPAs, Porters, Pilsners, Lagers, Browns, Reds, Blondes. All magnificent purebreds. 4 Brothers is the World Class Custom Blended Craft Beer, combining the best qualities of each.    Our signature beer, Sibling Rivalry, combines the taste profiles of a darker beer, a lighter beer and a hoppier beer to produce an incredibly drinkable and delicious beer.    4 Brothers custom blended craft beers are perfect for enthusiasts, fun-lovers and those who don't take themselves too seriously. Yep; drinkability, flavor and authenticity. And we think that is something to shout about, despite the monk's vow of silence.",http://4brothersblendedbeer.com/,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/rAznrp/upload_CzOUZw-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/rAznrp/upload_CzOUZw-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/rAznrp/upload_CzOUZw-large.png,W220 N1531 Jericho Ct,Waukesha,Wisconsin,53186,43.0517737,-88.1876181,(262) 691-0044,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2012,
