"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","extendedAddress","yearOpened","hoursOfOperation","mailingListUrl","yearClosed"
"G5N8qx","14th Star Brewing","History books tell us that local Vermonter and beer enthusiast Ethan Allen was a leader inthe effort to make Vermont the fourteenth star on the U.S. flag in 1791. And those textbooks are right; especially about the 1791 part.    Today, in Franklin County, Vermont, Army veteran Steve Gagner is honoring his home state and passion – brewing great beer – with 14th Star Brewing Co.    14th Star is Steve’s 1,200-square-foot nanobrewery on Lower Newton Street, in St. Albans City.    Nanobreweries make less than four-barrel batches, and as of your eyes hitting this paragraph, there are still less than 100 nanobreweries in America.    What makes 14th Star stand out? Well, it’s about the only brewery in Vermont that’s located above Burlington. Period.    But that’s not it. Not entirely.    You see – this is your beer. Oh, sure, Steve plans on starting you off with one-barrel batches of pale ale, brown ale, and Belgian white. There will be more, of course, but that’s up to you. So tell Steve what style beer you want in your 14th Star growler at: steve@14thstarbrewing.com.  On our end, we are readying to open our doors. Our goal is this July. (Check out our Pint of Progress on our home page.)    We can’t wait to watch you let your hair down and lift your glass, Vermont. We’ll enjoy that. And remember – this is your beer. You enjoy it.","http://www.14thstarbrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_bILhvF-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_bILhvF-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_bILhvF-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:17","41 Lower Newton Street","Saint Albans","Vermont","05478","(802) 393-1459","44.8201794","-73.0852061","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2011","Thu:  5:00pm - 9:00pm Fri:  5:00pm - 9:00pm Sun:  9:00am - 12:00pm  ","",""
"huKquc","16 Mile Brewing Company","16 Mile Brewing Company, Inc. opened its doors in July 2009 to the public. It is owned and operated by Brett McCrea and Chad Campbell.    The 16 Mile Brewing Company name harkens back to the late 1700’s when Georgetown was still known as Pettijohn’s old field, a rather isolated town, centrally located in Sussex County. The area was “16 miles from anywhere” in the county and was the best place for farmers, merchants, and politicians to meet to conduct official business. Georgetown replaced Lewes as the County Seat when numerous petitions were sent to Delaware’s General Assembly requesting that the move be made to accommodate all county residents. (For more information see “16 Miles from Anywhere: A History of Georgetown, Del., by William J. Wade.)","http://16milebrewery.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_PsZP5g-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_PsZP5g-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_PsZP5g-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:18","413 S. Bedford St","Georgetown","Delaware","19947","302-253-8816","38.678286","-75.378445","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2009","Tue:  12:00pm - 5:00pm Wed:  12:00pm - 5:00pm Thu:  12:00pm - 5:00pm Fri:  11:00am - 7:00pm Sat:  11:00am - 5:00pm  ","",""
"1sdzYJ","18th Street Brewery","Hand-crafting small and big beers for NW Indiana and Chicagoland.","http://18thstreetbrewery.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_sE4Myx-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_sE4Myx-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_sE4Myx-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:19","5725 Miller Ave","Gary","Indiana","46403","(219) 939-8802","41.5991143","-87.2671887","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2014","Tue:  3:00pm - 10:00pm Wed:  3:00pm - 10:00pm Thu:  12:00pm - 10:00pm Fri:  12:00pm - 12:00am Sat:  12:00pm - 12:00am Sun:  12:00pm - 10:00pm  ","",""
"KE3f43","192 Brewing Company","We began building our dream in 2007. We have improved our recipes, gathered feedback, made changes, and sampled our products. We have one concept. We want to Make great beer. Not beer that tastes like a bitter plant, or a leather belt. Not clear beer that has been mass produced and over filtered. Just wonderful, fantastic beer, for the many. All from a very small space. 192 square feet to be exact. We have packed only the essentials into our brewery. We make every batch by hand and we nurture it every step of the way. Great beer is what we work for, and great beer is what we enjoy.","http://www.192brewing.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_4yQ840-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_4yQ840-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_4yQ840-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:19","7811 Ne 205th Street","Kenmore","Washington","98028","253-232-0928","47.776554","-122.2351","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2009","Mon:  4:00pm - 10:00pm Tue:  4:00pm - 10:00pm Wed:  4:00pm - 10:00pm Thu:  4:00pm - 10:00pm Fri:  12:00pm - 10:00pm Sat:  12:00pm - 10:00pm Sun:  12:00pm - 7:00pm  ","",""
"IeU7pq","The Lake Trail Taproom","","http://www.192brewing.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:20","7324 NE 175th Street","Kenmore","Washington","98028","(425) 424-2337","47.7566065","-122.2424505","N","N","N","Y","tasting","Tasting Room","US","United States","USA","","","2012","Mon:  4:00pm - 10:00pm Tue:  4:00pm - 10:00pm Wed:  4:00pm - 10:00pm Thu:  4:00pm - 10:00pm Fri:  12:00pm - 12:00am Sat:  12:00pm - 12:00am Sun:  12:00pm - 8:00pm  ","",""
"n8zipR","1933 Brewing Company","","http://1933Brewing.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_VRhXLv-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_VRhXLv-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_VRhXLv-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-11 19:56:45","4025 S. Mason St.","Fort Collins","Colorado","80525","(970) 377-4107","40.5311387","-105.0801963","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","Mon:  3:00pm - 8:30pm Tue:  3:00pm - 8:30pm Wed:  3:00pm - 8:30pm Thu:  12:00pm - 9:00pm Fri:  12:00pm - 9:00pm Sat:  12:00pm - 9:00pm Sun:  1:00pm - 7:00pm  ","",""
"XfmmJI","1974 Brewing Company","1974 Brewing Company is a nano brewery in planning, founded in 2012. We began brewing in late 2008 on a hobby scale with all grain 5 gallon batches. In late 2011 we moved up to 10 gallon batches. Brewing is not only a hobby but a way of life for us, once we started we just couldn’t seem to stop. We really enjoy the process of making the beer as well the finished product. Some of the success we have had in home brewing competitions has only given us confidence and motivation to take our hobby further. We plan on expanding our system to produce 7-10 barrels per batch in 2012 as well as filing the necessary paperwork to begin a legitimate brewery, distributing our beers to the public.","http://www.1974brewingcompany.com/","2012","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Pottstown","Pennsylvania","","","40.246452","-75.648054","Y","Y","N","Y","nano","Nano Brewery","US","United States","USA","","","","","",""
"JCb4IX","2 Witches Winery and Brewing Company, Inc.","2 Witches Winery & Brewing Company, located in Danville, Virginia, is a combination farm/urban winery and picobrewery. We are affiliated with 2 Witches Vineyard located in Chatham, Virginia. We hope to open in May 2013.","","2012","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","209 Trade St","Danville","Virginia","24541","(434) 549-2739","36.5859845","-79.42126","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","","","","","",""
"wXmTDU","21st Amendment Brewery","The 21st Amendment Brewery offers a variety of award winning house made brews and American grilled cuisine in a comfortable loft like setting. Join us before and after Giants baseball games in our outdoor beer garden. A great location for functions and parties in our semi-private Brewers Loft. See you soon at the 21A!","http://www.21st-amendment.com/","2000","N","https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_YmgSv3-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_YmgSv3-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_YmgSv3-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:21","563 Second Street","San Francisco","California","94107","415-369-0900","37.7824892","-122.3924905","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","2000","Mon:  11:30am - 12:00am Tue:  11:30am - 12:00am Wed:  11:30am - 12:00am Thu:  11:30am - 12:00am Fri:  11:30am - 1:00am Sat:  11:30am - 1:00am Sun:  10:00am - 12:00am  ","",""
"YrVHMv","23rd Street Brewery","Here at the 23rd Street Brewery, we pride ourselves in creating and offering ales and lagers of exceptional quality. Often in the micro brewing industry, quality is compromised for quantity. We brew handcrafted, small batch beers to ensure freshness is as crisp as it is clean. We use only the finest domestic and imported barley and hops to brew beers of tradition and beers of distinction. The brew house we call home is a 15 barrel Pub Brewing System located on the upper level of the impressive brewery interior. In the past year, we have doubled our production to exceed 1000 barrels (2000 Kegs) per year and have begun distributing to other bars and restaurants throughout Kansas.","http://www.brew23.com/","2003","N","https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_J6eKzP-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_J6eKzP-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_J6eKzP-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3512 Clinton Parkway","Lawrence","Kansas","66047","785-856-2337","38.9429919","-95.280903","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","","",""
"0v0P7r","2kids Brewing Company","Two Kids Brewing Company is San Diego's newest Nanobrewery! Now open, we're serving the finest in tasty and unusual ales, sans snobby attitude.","http://www.twokidsbrewing.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/FkNXW1/upload_91ppT9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/FkNXW1/upload_91ppT9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/FkNXW1/upload_91ppT9-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8680 Miralani Dr.","San Diego","California","92126","(858) 480-5437","32.896584","-117.13743","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","#123","2013","","",""
"BBE5WM","2nd Shift Brewing Co","We are a micro that will be making beer that is big on flavor and aroma, the way beer should be. There will be several styles and a continuing line of seasonal and special beers that will be produced throughout the year.","http://www.2ndshiftbrewing.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/1ZnmlG/upload_5i6VnS-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/1ZnmlG/upload_5i6VnS-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/1ZnmlG/upload_5i6VnS-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:22","101 Cedar Creek Rd","New Haven","Missouri","63068","618-791-0728","38.5435216","-91.1812857","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","Fri:  12:00pm - 6:00pm Sat:  12:00pm - 6:00pm Sun:  12:00pm - 6:00pm  ","",""
"w4Qouf","3 Beards Beer Company","3 Beards Beer Company enables undiscovered artisan brews from all over the world to be locally brewed and freshly distributed. We focus on talented individuals who have the desire, but not necessarily the means, to share their creations with other enthusiasts.","http://www.3BeardsBeer.com","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_Ovd0fR-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_Ovd0fR-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_Ovd0fR-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","189 W Main St","Holyoke","Massachusetts","01532","","42.202294","-72.6046854","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","",""
"PbmcEW","3 Daughters Brewing","3 Daughters Brewing will be opening fall of 2013 with several exciting new craft beers. With our 30 barrel brewhouse, we will have the capacity to serve the Tampa Bay market new and innovative flavors in our Beach Blonde Ale, Brown Pelican Dunkelweizen and Summer Storm Stout. Keep an eye out for the 3DB brand in your local restaurant and stay tuned for the opening of our tasting room coming soon.","http://www.3dbrewing.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_d64OP7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_d64OP7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_d64OP7-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-22 00:56:04","222 22nd Street South","Saint Petersburg","Florida","33712","(727) 495-6002","27.769051","-82.6627049","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","",""
"nUwtfn","3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij","Drie Fonteinen is the only remaining traditional geuze blender in Belgium, using only 100% spontaneously fermented lambik beer, aged in oak casks, with no artificial sweeteners or other additives. The blendery is connected to the very popular Drie Fonteinen Restaurant in Beersel, on the outskirts of Brussels. The proprietor, Armand Debelder, buys pure lambik from three breweries in Belgium, ages them in oak, and blends them, employing the skill, knowledge, and supreme passion for real geuze that his father handed down to him. Drie Fontenein’s Geuze and fruit Lambiks (cherry, raspberry) are rare, highly prized, and indisputably among the best of Belgium.","http://www.3fonteinen.be/index.htm","1887","N","https://s3.amazonaws.com/brewerydbapi/brewery/qxAQSJ/upload_awf3wV-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qxAQSJ/upload_awf3wV-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qxAQSJ/upload_awf3wV-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hoogstraat 2A","Beersel","Vlaams Brabant","","32-02-/-306-71-03","50.7666391","4.3083771","Y","N","N","Y","micro","Micro Brewery","BE","Belgium","BEL","56","","","","",""
"nd3PQ1","3 Guys and a Beer'd Brewing Company","We strive to make a quality, flavorful brew that all tastebuds will enjoy!","http://www.3guysandabeerd.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_ytohik-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_ytohik-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_ytohik-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:23","10 Enterprise Drive","Carbondale","Pennsylvania","18407","(570) 280-2739","41.5790532","-75.5014732","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","Mon:  7:00am - 10:00pm Tue:  7:00am - 10:00pm Wed:  7:00am - 10:00pm Thu:  7:00am - 10:00pm Fri:  7:00am - 10:00pm Sat:  7:00am - 10:00pm Sun:  7:00am - 10:00pm  ","",""
"LMfC4N","3 Herons Brewing Company","We will be opening the restaurant Friday, August 24, preparing for the NY brewery license after.     We will offer fresh meats both outside in the BBQ and inside the restaurant. We will use local produce as much as we can, from local Finger Lakes farms.     We will strive to be family-friendly in price & atmosphere, offering local favorites (BBQ etc) and quality musical entertainment.    Smoked meats, handmade sausage & cheese, homemade pasta & flatbreads.    Craft — Flavor — Quality","http://www.3hbc.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_GmmRTB-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_GmmRTB-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_GmmRTB-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:24","9632 Route 96","Trumansburg","New York","14886","607-387-7000","42.556589","-76.681616","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","Thu:  4:00pm - 8:00pm Fri:  4:00pm - 8:00pm Sat:  6:00am - 9:00pm Sun:  6:00am - 8:00pm  ","",""
"9tminR","3 Ravens Brewing","3 Ravens began in 2003 out of necessity, when a local hotel stopped serving traditional English style cask conditioned 'Real Ale' from beer engines.    Faced with a critical lack of supply, a group of passionate engineers (led by home brewer Ben Pattison), built a microbrewery and accompanying bar downstairs and began handcrafting a range of their own ""real ales"" as small batch 300 litre brews. Hailed by the engineers and beer judges alike for their robust flavour, the ales received immediate return, taking Silver and Bronze medals at the Australian & International Beer Awards. 3 Ravens hit the shelves of local restaurants and bars and demand soon outgrew supply. In 2005, the brewery was upgraded to 1200 litres to help service a growing list of stockists and a swag of thirsty engineers!","http://www.3ravens.com.au/","2003","N","https://s3.amazonaws.com/brewerydbapi/brewery/ul5arW/upload_Ts3nUA-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ul5arW/upload_Ts3nUA-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ul5arW/upload_Ts3nUA-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:24","1 Theobald Street","Thornbury","Victoria","3071","+613 9495 1026","-37.755777","145.026887","Y","N","N","Y","micro","Micro Brewery","AU","Australia","AUS","36","","2003","Fri:  2:00pm - 8:00pm  ","http://www.3ravens.com.au/contact.htm",""
"5R4Akp","3 Sheeps Brewing Company","All families have their stories: tales of grandparents and great-grandparents and the incredible things they accomplished, or lived through, or overcame. My family was no different. I grew up hearing stories that cascaded across a broad plain of topics, but the ones that fascinated me most centered around the Kingsbury Breweries.    Back in 1926, the Kingsbury Breweries, then known as the Gutsch Brewery, declared bankruptcy. It was a tough time for breweries across the country as Prohibition was in full effect. Many breweries failed during that time, and the Gutsch Brewery was on its way to joining them. It was at this time that my family took the helm of the brewery. Soon after, they changed the name to the Kingsbury Breweries, expanded coast-to-coast, and turned the brewery into what we remember it as today.    I grew up hearing stories from my father, who, as a child with his father, would go around the various Kingsbury Breweries, see the brewers hard at work, and watch the customers enjoy a beer in the Ratskellar. This is where my interest was first piqued by the great world of beer. Many years later, thanks to a brilliant gift on my wife’s part, I started making my own beer. From that point forward there was no turning back. The hobby turned into a passion, which turned into an obsession, which turned into quitting my day job and opening a brewery.    This is my Really Cool Waterslide - my choice to take a dream and make it my reality. Thank you to all those who have helped me get here.    - Grant Pauly, 3 Sheeps Brewing","http://www.3sheepsbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_c8CRE6-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_c8CRE6-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_c8CRE6-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-06 15:44:18","1327 North 14th Street","Sheboygan","Wisconsin","53081","920-395-3583","43.7590398","-87.7229469","Y","Y","N","N","micro","Micro Brewery","US","United States","USA","","","","","",""
"PofhpE","3 Stars Brewing Company","3 Stars Brewing is a DC based production brewery founded by Mike McGarvey and Dave Coleman to provide the community with great, fresh, local craftbeer.     We are looking forward to opening our doors in 2011. In doing so, we will proudly brew beers that push the limits of conventional brewing while still providing our customers with great, fresh, local craft beers...contact us at info@3starsbrewing.com","http://3starsbrewing.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/ucVIMa/upload_cYg9co-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ucVIMa/upload_cYg9co-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ucVIMa/upload_cYg9co-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","6400 Chillum Place, NW","Washington","District of Columbia","20011","202-670-0333","38.9626852","-77.0149188","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2010","","http://3starsbrewing.com/",""
