"id","name","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","extendedAddress","locality","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","website","established","phone","numberCode","images__icon","images__medium","images__large","description","hoursOfOperation","yearOpened","mailingListUrl","isoCode","yearClosed"
"JIniiX","Kronenbrauerei Alfred Schimpf","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hauptstr. 1","","Neustetten","Baden-Württemberg","72149","35.247379","-91.726887","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.brauerei-schimpf.de/","1870","","276","","","","","","","","",""
"Wjong1","Kronenbrauerei Halter","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bonfelder Str. 23","","Heilbronn","","74078","49.195368","9.139941","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.kronenbrauerei-halter.de/","1894","","276","","","","","","","","",""
"lx2yEl","Kronenbrauerei Offenburg","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Zeller Straße 46","","Offenburg","Baden-Württemberg","D-77654","48.47411","7.981561","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","","","276","","","","","","","","",""
"uQ5zWa","Kronenbrauerei Söflingen","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Uhrenmachergasse 10","","Ulm - Söflingen","Baden-Württemberg","89077","36.151604","-115.057701","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.kronenbier.de/","1887","","276","","","","","","","","",""
"ReSGXt","Kronenbrauerei und Malzfabrik Paul Eble","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Kirchberg 5","","","Laupheim","D-88471","48.229178","9.886053","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","1753","","276","","","","","","","","",""
"rK3t7T","Kross","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Camino El Toro km 6,5 s/n","","","Curacaví","","","","Y","N","N","Y","micro","Micro Brewery","CL","Chile","CHL","http://www.kross.cl/","2003","(562) 3392266","152","","","","","","","","",""
"b15cO3","Kross Brewing","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","320 Wilkins Street","","Morrisville","Vermont","05661","44.568485","-72.6036","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","","","",""
"mZgxKH","Krostitzer Brauerei","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Brauereistr. 12-14","","Krostitz","Sachsen","04059","51.458294","12.454565","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.ur-krostitzer.de/","1534","","276","","","","","","","","",""
"DKoQXU","Kruel River Brewery","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","114 Castlewood Dr","","New Braunfels","Texas","78130","29.719917","-98.147309","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","830-627-7369","","","","","","","","","",""
"4yg5xQ","Kuchems Brauhaus am Schloß","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hauptstraße 13-15","","Pirmasens","Rheinland-Pfalz","D-66953","49.203438","7.603795","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","","","276","","","","","","","","",""
"peXEgv","Kuhnhenn Brewing","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5919 Chicago Road","","Warren","Michigan","48092","42.527938","-83.0472865","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.kbrewery.com/","1998","1-586-979-8361","","https://s3.amazonaws.com/brewerydbapi/brewery/EUNX3E/upload_1UfniE-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/EUNX3E/upload_1UfniE-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/EUNX3E/upload_1UfniE-large.png","Founded in 1998, Kuhnhenn Brewing Company began as a homebrew supplies shop in the family's former hardware store while buildout on the brewery was taking place.     The company has been producing countless award-winning beer, mead, and wine out of their 8-barrel brewery since 2001. In 2012, Kuhnhenn took home the Gold Medal at the World Beer Cup in the IPA category for their flagship offering, DRIPA, or Double Rice IPA.    The brewery  has expanded to capacity over the years, with only limited distribution in Michigan, New York City, and parts of Europe, in addition to taking part in festivals throughout the world. Construction is underway on a production brewery and second taproom in nearby Clinton Township, which will allow the brewery to get closer to meeting demand by increasing capacity more than 1500% overnight.     Visit the brewery taproom for to-go sales of some of their award-winning products.","","1998","","",""
"RyG2qM","Kulmbacher Brauerei AG","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Lichtenfelser Strae 9","","Kulmbach","Bayern","95326","50.106","11.44418","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.kulmbacher.de","1895","49-(0)9221-/-705-0","276","https://s3.amazonaws.com/brewerydbapi/brewery/qo6LCf/upload_XUlJzo-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qo6LCf/upload_XUlJzo-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qo6LCf/upload_XUlJzo-large.png","We, the Kulmbacher Brewery, oblige ourselves day-in, day-out to ensure that we live up to the expectations of Kulmbach, the quintessential beer town.    We both challenged ourselves to be and promise to genuine beer lovers that we will continue to make Kulmbach the secret capital of beer. We are beholden to the lovers of our beers. For them we mobilise our whole competence, knowledge and centuries-long tradition and experience of our brewmasters, in order to brew a first-class beer.","","1895","","",""
"4Hyqzn","Kulmbacher Mnchshof Bru","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Kulmbach","Bayern","","50.10717","11.45865","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","","","276","","","","","","","","",""
"Oxwo6X","Kulshan Brewing Company","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2238 James Street","","Bellingham","Washington","98225","48.759614","-122.464907","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.kulshanbrewery.com/","2012","360-389-5348","","https://s3.amazonaws.com/brewerydbapi/brewery/Wsssvf/upload_AKMLuI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Wsssvf/upload_AKMLuI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Wsssvf/upload_AKMLuI-large.png","We are a new brewery on James street in Bellingham Washington. We have a lovely tap room you can come and visit, as well as a dart board and a nice sitting area. For us, it’s all about the beer. Come in and try some! Or you can visit one of the many establishments around town that are already carrying our brews.","Sun - Thur: 11am to 10pm  Fri - Sat: 11am to Midnight","2012","","",""
"8w98Mz","Kultur- & Kommunikationszentrum Lindenbrauerei e.V.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Massenerstr. 33-35","","Unna","Nordrhein-Westfalen","59423","51.534498","7.685113","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.lindenbrauerei.de/","2002","","276","","","","","","","","",""
"eXMP2g","Küstenbrauerei zu Werdum","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Edenserloogerstraße 4","","Werdum","Niedersachsen","D-26427","53.660438","7.715139","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","2000","","276","","","","","","","","",""
"gbhf9E","Kutztown Tavern/Golden Avalanche Brewing Co","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","272 W Main St","","Kutztown","Pennsylvania","19530","40.5161762","-75.7783332","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.kutztowntavern.com/","","610-683-9600","","","","","","","","","",""
"9X7VfK","L'amère à boire","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2049 Saint-Denis Street,","","Montreal","Québec","H2X 3K8","45.51639","-73.5660955","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://www.amereaboire.com/","","(514) 282-7448","124","","","","","","","","",""
"6GpUy6","L'Inox","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","655, Grande Allée Est","","Québec","Québec","g1r2k4","46.8061634","-71.2162567","Y","N","N","Y","brewpub","Brewpub","CA","Canada","CAN","http://www.inox.qc.ca/","1987","1-418-692-2877","124","https://s3.amazonaws.com/brewerydbapi/brewery/qVUNwf/upload_rjpa9q-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qVUNwf/upload_rjpa9q-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qVUNwf/upload_rjpa9q-large.png","","Mon - Sun: 12:00 pm - 3:00 am","","","",""
"iaYJ7X","La Barberie","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","310, rue Saint-Roch","","Québec","Québec","g1k6s2","46.8174918","-71.2179316","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://www.labarberie.com/","1997","1-418-522-4373","124","https://s3.amazonaws.com/brewerydbapi/brewery/SpDC66/upload_5XyLhR-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/SpDC66/upload_5XyLhR-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/SpDC66/upload_5XyLhR-large.png","Based in Quebec, microbrewery La Barberie since 1997 excels in the art of brewing premium beers to delight your taste buds!    Open daily from 12:00 to 1:00 AM, the tasting room (along the terrace in summer) offers regular rotation in a selection of eight beers varying the days and seasons. A small area set can accommodate groups of less than 25 people.    To your health!","Mon - Sun: 12:00 pm - 1:00 am","1997","","",""
"IvQTIf","La Brasserie à Vapeur","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1 rue du Maréchal à","","PIPAIX (Leuze-Belgique)","","7904","50.57275","3.65301","Y","N","N","Y","micro","Micro Brewery","BE","Belgium","BEL","http://www.vapeur.com/vap0E.html","1984","+32 (069) 66 20 47","56","","","","This Belgian farmhouse brewery is located in the middle of Pipaix, in the Wallonian Hainut region (15 km from Tournai, 74 km from Brussels). This family-owned brewery is named after the steam engines which power the brewing process. Their saison (seasonal) beers reflect the Wallonian brewing tradition, as there are many spices in the beers, although all their beers are spiced. They hold public brewing sessions from 9-12 noon, the last Saturday of each month.  Call ahead to reserve a spot; tours are in French and English. They serve a grand lunch buffet along with their beers in their brasserie across the street (30 € per person). Check the website or call for more information.   La Brasserie à Vapeur brews these beers: Saison de Pipaix (saison), Vapeur en Folie (lager), Vapeur Legere (lager), Vapeur Cochonne (amber-style).","","1984","","",""
"lc3Mtp","La Cabra Brewing","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1806 Raintree Lane","","Malvern","Pennsylvania","19355","40.031929","-75.526774","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","http://lacabrabrewing.com/","2011","","","https://s3.amazonaws.com/brewerydbapi/brewery/RZvDv4/upload_e94SsK-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/RZvDv4/upload_e94SsK-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/RZvDv4/upload_e94SsK-large.png","Over the next few years, our headbrewer will develop both the business and brewing skills to establish a nanobrewery outside of Philadelphia. From Manayunk to West Chester, this swathe of land boasts some of the most well-informed, enthusiastic, and--frankly--fanatical beer fans. It would be our honor and pleasure to provide them fresh, small batch, artisanal beer with an emphasis on seasonality and occasionality.    La Cabra is a nanobrewery in the planning, a porfolio of beers over the last 7 years of homebrewing. Small-batch, labor intensive, and patient brewing produces ale and lager styles of distinct quality, integrity, and creativity.","","2011","","",""
"vF9HS6","La Cagole","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3, Impasse du pistou","","Marseille","","13009","43.2407288","5.4004632","Y","N","N","Y","micro","Micro Brewery","FR","France","FRA","http://www.lacagole.com/","","+33 (0)4 91 37 00 30","250","https://s3.amazonaws.com/brewerydbapi/brewery/qLiGPG/upload_fDD7YB-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qLiGPG/upload_fDD7YB-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qLiGPG/upload_fDD7YB-large.png","Cagole the creeks is a girl; It is the brainchild of two childhood friends at a cocktail in a shed Sormiou.    Both nostalgic old Marseille and beer lovers, the cronies have devised a beer the color of the Old Port of Pagnol. A golden beer with a Provencal accent, that Caesar and Marius could have gone to the terrace of the Bar of the Navy.    This adventure is also a way to honor the elders that were the glorious Phoenix beers, brewed Velten and Marx in Marseille","","","","",""
"4x0UAF","La Captive","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","140, boulevard saint-Benoît Ouest","","Amqui","Québec","g5j2e8","48.4671714","-67.4357334","Y","N","N","Y","brewpub","Brewpub","CA","Canada","CAN","http://www.lacaptive.ca/","2010","1-418-631-1343","124","https://s3.amazonaws.com/brewerydbapi/brewery/aYDkpw/upload_JUS3UX-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/aYDkpw/upload_JUS3UX-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/aYDkpw/upload_JUS3UX-large.png","","Mon - Wed: 8:00 am - 11:00 pm  Thu - Sat: 8:00 am - 1:00 am  Sun: 10:00 am - 10:00 pm","2010","","",""
"rmvkfa","La Conner Brewing","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","117 South First Street","","LaConner","Washington","98257","48.391652","-122.495341","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.laconnerbrewery.com/","","(360) 466-1415","","","","","","","","","",""
"XYs5bX","La Conner Brewing Co","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","PO Box 397","La Conner","Washington","","48.388745","-122.497247","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.insidelaconner.com/","","360-466-1415","","","","","","","","","",""
"9satky","La Cumbre Brewing Company","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3313 Girard NE","","Albuquerque","New Mexico","87107","35.117849","-106.6137963","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://lacumbrebrewing.com/","2010","505-872-0225","","https://s3.amazonaws.com/brewerydbapi/brewery/hELeEk/upload_zwY2Om-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/hELeEk/upload_zwY2Om-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/hELeEk/upload_zwY2Om-large.png","La Cumbre Brewing Co. is what happens when two people take one thing altogether way too seriously. Beer is what we do. It’s all we do.     The best beer money can make; the best beer money can buy. Simple as that.     Sure, we could tell you about the quality ingredients, the state of the art equipment, the commitment to traditional brewing methods… But all you really need to know is that our brewer is the pickiest SOB on earth, especially when it comes to the beer he drinks.     Well, this is the beer he drinks.     And we guarantee that you won’t find better beer anywhere.","Fri - Sat: 12:00 pm - 12:00 am","2010","","",""
"czwGMM","Le Trèfle Noir","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","145, avenue Principale","","Rouyn-Noranda","Québec","j9x4p3","48.239186","-79.0200905","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://www.letreflenoir.com/","2010","1-819-762-6611","124","https://s3.amazonaws.com/brewerydbapi/brewery/bs2ldn/upload_Imre97-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/bs2ldn/upload_Imre97-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/bs2ldn/upload_Imre97-large.png","","","","","",""
"rdNsfE","La Fabrique","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","360, rue Saint-Jérôme","","Matane","Québec","g4w3b1","48.8457007","-67.5292274","N","N","N","Y","brewpub","Brewpub","CA","Canada","CAN","http://www.publafabrique.com/","","1-418-566-4020","124","","","","","","2010","","",""
"zTmurX","La Gardenia","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","C/ Comte 14","Poliogon Industrial Les Roques Roges","Alcover","Tarragona","43460","41.262476","1.1709847","Y","N","N","Y","micro","Micro Brewery","ES","Spain","ESP","http://www.rosita.cat/","2006","","724","https://s3.amazonaws.com/brewerydbapi/brewery/QoD9Zu/upload_EwOgAZ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/QoD9Zu/upload_EwOgAZ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/QoD9Zu/upload_EwOgAZ-large.png","ROSITA, the main brand, is a honey-colored ale, that delivers elegance with a certain density in the glass, ivory tones with white foam, creamy and consistent with a wholesome persistence. Due to the presence of secondary fermentation yeast, the appearance is cloudy.    We recommend tasting it cold, not frozen (42 to 46ºF) in order to envelop its aromatic presence.    Ones olfactory will detect fruit such as banana and red apple notes along with molasses which is very subtle but also very complex.","","","","",""
"mCJhuP","La Grange Brewing Co","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","851 S Reynolds St","","La Grange","Texas","78945","29.907431","-96.858458","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","(979) 968-6699","","","","","","","","","",""
"OW2W3q","La Jolla Brew House","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7536 Fay Avenue","","La Jolla","California","92037","32.8409186","-117.2739626","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1-858-456-6279","","","","","","","","","",""
"0plKDH","La Jolla Brewing","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","La Jolla","California","","32.842592","-117.272276","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","","","",""
"FCGb3K","La Korrigane","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","380 Rue Dorchester","","Québec","Québec","G1K 6A7","46.8137038","-71.2266539","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://www.korrigane.ca/","2010","+1 418-614-0932","124","https://s3.amazonaws.com/brewerydbapi/brewery/ycLyr5/upload_0Ux1DQ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ycLyr5/upload_0Ux1DQ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ycLyr5/upload_0Ux1DQ-large.png","The beers are brewed by Korrigane traditional way and meet high quality standards. They are unfiltered, unpasteurized and contain no chemical preservatives or artificial flavors.","Mon - Thu: 2:00 pm - 1:00 am  Fri - Sat: 2:00 pm - 3:00 am  Sun: 2:00 pm - 1:00 am","","","",""
"kiwp6C","La Mare au Diable","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","151, rue King Ouest","","Sherbrooke","Québec","j1h1p4","45.4008766","-71.8914456","Y","N","N","Y","brewpub","Brewpub","CA","Canada","CAN","","2003","1-819-562-1001","124","","","","","Tues. to Fri. from 11am; Sat. to Mon. from 4pm","2003","","",""
"AK1P2x","La Quinta Brewing Co.","N","verified","Verified","2012-01-03 02:41:33","2014-07-25 18:33:32","77917 Wildcat Dr","","Palm Desert","California","92211","33.76474","-116.305328","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.laquintabrewing.com","2013","(760) 200-2597","","https://s3.amazonaws.com/brewerydbapi/brewery/Z0nc9c/upload_otlO2F-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Z0nc9c/upload_otlO2F-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Z0nc9c/upload_otlO2F-large.png","Located in the Greater Palm Springs area, La Quinta Brewing Co. opened it's doors in 2013 and is served in over 100 bars/restaurants throughout the desert.","Tue:  2:00pm - 8:00pm Wed:  2:00pm - 8:00pm Thu:  2:00pm - 8:00pm Fri:  2:00pm - 8:00pm Sat:  2:00pm - 8:00pm  ","2013","","",""
"TKShj9","La Verne Brewing Co.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2125 Wright Ave","C15","La Verne","California","91750","34.0953957","-117.771811","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.lavernebrewingco.com/","2012","(626) 733-1380","","https://s3.amazonaws.com/brewerydbapi/brewery/cZDnM8/upload_AESkRj-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cZDnM8/upload_AESkRj-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cZDnM8/upload_AESkRj-large.png","La Verne Brewing Company is a local brewery centrally located next to the Pomona Raceway and Brackett Field Airport. It all started with backyard brewing, the love of craft beer and has turned into a passion we want to share with the world.","Fri: 4:00 pm - 8:30 pm  Sat: 12:00 pm - 8:00 pm","2012","","",""
"FTCwW9","Labatt Ontario Breweries","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","150 Simcoe Street","","London","Ontario","","42.9777799","-81.2467099","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","","","1-519-663-5050","124","","","","","","","","",""
"U6eYp1","Ladyface Ale Companie","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","29281 Agoura Road","","Agoura Hills","California","91301","34.14357","-118.7629235","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://ladyfaceale.com/","2009","818-477-4566","","https://s3.amazonaws.com/brewerydbapi/brewery/U6eYp1/upload_CyMzXx-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/U6eYp1/upload_CyMzXx-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/U6eYp1/upload_CyMzXx-large.png","Ladyface Ale Companie was established in late 2009 along with its restaurant Ladyface Alehouse & Brasserie. Named LA Weekly’s 2013 Best Brewery in LA, and an international RateBeer.com Best Brewpub, Ladyface is known for their award-winning Belgian, French and American style ales.  La Blonde, La Grisette, Blind Ambition Abbey Ale, Trois Filles Tripel, and seasonal ales such as La Trappistine® Belgian Dark Ale, Bluebelly Barleywine and Dérailleur® Bière-de-Garde are brewed onsite. Ladyface is one of Los Angeles County’s first modern day microbreweries, and the first brewpub in the Conejo Valley. Visit www.ladyfaceale.com for more information on Ladyface beers, tours and special events.","Mon - Sat: 11:30 am - 12:00 am  Sun: 11:30 am - 10:00 pm","2009","http://visitor.constantcontact.com/manage/optin/ea?v=0017aa0wUARcS5nLUKI1jDTejk20DRzB9vEI3I6-A2ccoHSDAwFAz4U7ODptkZwpBi0XuUD24Hu4y_Evgquog-vNg%3D%3D","",""
"6QNMyS","Lafayette Brewing","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","622 Main Street","","Lafayette","Indiana","47901","40.4192014","-86.8899276","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1-765-742-2591","","","","","","","","","",""
