"id","name","website","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","description","numberCode","established","images__icon","images__medium","images__large","hoursOfOperation","extendedAddress","yearOpened","yearClosed","mailingListUrl","isoCode"
"B4XeLe","Hausbierbrauerei Mario Miedl","http://www.stromberger-urbraeu.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Deyertstrasse 23b","Schweppenhausen","Rheinland-Pfalz","55444","","49.928465","7.83083","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","2010","","","","","","","","",""
"3kZwor","Hausbrauerei Altstadthof","http://www.hausbrauerei-altstadthof.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bergstrasse 19","","Nürnberg","90403","+49 911 2449859","49.4569762","11.0748632","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","At our historic brewery location in Nuremberg's old city, you can experience traditional beer brewing first-hand. Here is the place where especially the classic beer of the city – the Red Beer – has returned to its home.    It is the skilled manufacturing that makes the difference for our graduate master brewer Reinhard Engel. For this, the “Hausbrauerei Altstadthof” still brews with traditional copper kettles, wooden fermenting vats, and plain old-school equipment. As a matter of course, only natural hops are used during the organic production.    All fresh beers are filled by hand into traditional 1-litre swing bottles and can be bought in the brewery shop and in the brewery tavern as well as at our online shop.","276","1984","https://s3.amazonaws.com/brewerydbapi/brewery/3wVSu9/upload_NAYqeM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/3wVSu9/upload_NAYqeM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/3wVSu9/upload_NAYqeM-large.png","Mon - Thu: 11:00 am - 12:00 am  Fri - Sun: 11:00 am - 1:00 am","","","","",""
"NGGl86","Hausbrauerei Boente","http://www.bei-boente.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Augustinessenstr. 4","Recklinghausen","Nordrhein-Westfalen","45657","","51.615318","7.195093","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1988","","","","","","","","",""
"6IV6lH","Hausbrauerei Eschenbräu","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Triftstraße 67 Wedding","Berlin","Berlin","D-13353","","52.547815","13.354735","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","2001","","","","","","","","",""
"qX9zjq","Hausbrauerei Feierling","http://www.feierling.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Gerberau 46","Freiburg","Baden-Württemberg","79098","","47.993385","7.852743","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","","","","","","","","","",""
"4TQaKN","Hausbrauerei Kornhus","http://www.hausbrauerei-kornhus.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Marktstraße 13","Bad Münder","Lower Saxony","31848","","52.195292","9.464534","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","","276","1991","","","","","","","","",""
"wkQ1aX","Hausbrauerei Laubegast","http://www.hausbrauerei-laubegast.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Oesterreicher Strasse 67","Dresden","Saxony","01279","","51.022442","13.839494","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","2008","","","","","","","","",""
"Ee9ead","Hausbrauerei Mellert","http://brauerei-mellert.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hauptstraße 66","Steinach","","77790","","48.305086","8.058292","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1886","","","","","","","","",""
"7J081N","Hausbrauerei Mollenhauer","http://www.hausbrauerei-mollenhauer.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Theodor-Storm-Straße 2","","Moringen","37186","","51.695048","9.877816","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","Naturally cloudy and unfiltered beer from the Solling, brewed according to the German purity law. Made in genuine handmade.","276","2011","https://s3.amazonaws.com/brewerydbapi/brewery/MRhFxI/upload_qa8y4i-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/MRhFxI/upload_qa8y4i-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/MRhFxI/upload_qa8y4i-large.png","","","","","",""
"r2PVMt","Hausbrauerei Päffgen","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Friesenstraße 64-66","Köln","Nordrhein-Westfalen","D-50670","","50.950001","6.949105","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1883","","","","","","","","",""
"S9hmAw","Hausbrauerei Rampendahl","http://www.rampendahl.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hasester. 35","Osnabrück","Lower Saxony","49074","","52.27253","8.04778","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","","276","","","","","","","","","",""
"z4k3eU","Hausbrauerei Reinecke","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Gut Theensen","Bad Münder","Niedersachsen","D-31848","","52.195292","9.464534","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","2008","","","","","","","","",""
"v7H1Ev","Hausbrauerei Schiller","http://www.bierscheune.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Försterstraße 6","Coswig-Neusörnewitz","Sachsen","01640","","51.134956","13.576038","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","2005","","","","","","","","",""
"qxsSk4","Hausbrauerei Schlossturm im SI Centrum","http://www.si-centrum.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Plieninger Strasse 100","Stuttgart","Baden-Wurttemberg","70567","","48.722836","9.162401","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1995","","","","","","","","",""
"wwLXfp","Hausbrauerei Stierbräu","http://www.stierbraeu.de","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Kreuzweg 9","Vechta","Niedersachsen","D-49377","","52.734303","8.292115","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","2008","","","","","","","","",""
"uBJ2be","Hausbrauerei Zum Schlüssel","http://www.zumschluessel.de/","N","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Nordrhein-Westfalen","","","51.503106","7.497394","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","","","","","","","","","",""
"dqBNKL","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bolkerstrasse 41-47","Düsseldorf","Nordrhein-Westfalen","40213","","51.22787","6.775735","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","","","","","","","","","",""
"3qIoU9","Haven Gastropub","http://havenbrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-10-07 17:01:34","190 South Glassell Street","Old Towne Orange","CA","92866","714-221-0680","33.7861639","-117.8531218","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","Haven Brewing produces small-batch, house-crafted beers in Pasadena, CA. This is the first foray into micro-production from haven collective.    “It’s really a great feeling to take water, grains, and hops, and make it into something amazing that people will love,” said Haven Brewmaster David Larsen. “We are very proud of our small-batch, house-crafted beers produced in Pasadena.""","","2012","https://s3.amazonaws.com/brewerydbapi/brewery/oUULQT/upload_Y0G1ow-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/oUULQT/upload_Y0G1ow-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/oUULQT/upload_Y0G1ow-large.png","Mon:  11:00am - 2:00am Tue:  11:00am - 2:00am Wed:  11:00am - 2:00am Thu:  11:00am - 2:00am Fri:  11:00am - 2:00am  Open for Brunch Sat & Sun 9:00am","","","","",""
"LRg1Ru","Haverhill Brewery","http://www.haverhillbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-09-26 13:27:48","100 Washington St","Haverhill","Massachusetts","01832","978-373-2337","42.7727232","-71.0852745","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","Founded in 2003 as the TAP brewpub in downtown Haverhill Massachusetts, the Haverhill Brewery has quickly been increasing its local distribution to Bars and Liquor stores throughout the Massachusetts and Northern Rhode Island Area.    Since opening our Restaurant/Brew Pub The TAP in 2003, we Have been providing Massachusetts with award winning hand-crafted ales and lagers. In late 2005 we began to branch out and distribute our beers throughout eastern Massachusetts. Currently our beer is available throughout the state as well as northern Rhode Island","","2003","https://s3.amazonaws.com/brewerydbapi/brewery/RyG2qM/upload_cMg4lU-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/RyG2qM/upload_cMg4lU-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/RyG2qM/upload_cMg4lU-large.png","","","2003","","",""
"xlOpbL","Haw River Farmhouse Ales","http://hawriverales.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1713 Saxapahaw-Bethlehem Church Road","Saxapahaw","North Carolina","27340","919-741-9039","35.946722","-79.319075","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","Haw River Farmhouse Ales will handcraft traditional French- & Belgian-style ales with a little southern flair, using local and organic ingredients where possible in each of our beers. Located in Saxapahaw, NC, opening Memorial Day Weekend, 2012.","","2011","https://s3.amazonaws.com/brewerydbapi/brewery/RzRrsp/upload_9CwoBd-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/RzRrsp/upload_9CwoBd-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/RzRrsp/upload_9CwoBd-large.png","","PO Box 390","2011","","",""
"a57dkm","Hawai'i Nui Brewing","http://www.hawaiinuibrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","275 E. Kawili St","Hilo","Hawaii","96720","808-934-8211","19.7059868","-155.0691282","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","At Hawai‘i Nui Brewing, we’re passionate about craft beer. We brew small batches of our all-natural ales and lagers from the finest barley malt, wheat, hops and yeast.  We are committed to local production in Hawai‘i.      Our uniquely well balanced Island Style beer is perfect for your time in Paradise!    What is Island Style? To those of us who call Hawai’i home, it’s all about balance. Working hard, sure. But when pau hana time comes, it’s about friends and family. Heeding the call of the sun and sand, surf and sea. Tasting freshness. Celebrating music. Stopping at sunset. Resting easy at night. Appreciating life’s detours–what we call holo holo time. Living life as it should be.","","2007","https://s3.amazonaws.com/brewerydbapi/brewery/NcvyGD/upload_kYjJOc-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/NcvyGD/upload_kYjJOc-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/NcvyGD/upload_kYjJOc-large.png","","","","","",""
"Gtwe1l","Hawcreek Brewing Company","http://hawcreekbrewingco.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Hope","Indiana","47246","(812) 374-2998","39.304565","-85.771509","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","We strive to make delicious, fresh, hand-crafted beer and refuse to produce anything less. we are looking forward to becoming your brew of choice when we open late this fall.","","2011","https://s3.amazonaws.com/brewerydbapi/brewery/1dr2dN/upload_WBzS2P-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/1dr2dN/upload_WBzS2P-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/1dr2dN/upload_WBzS2P-large.png","","","2011","","",""
"COqRuD","Hawks Brewing","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Roseburg","Oregon","97470","1-541-679-5778","43.210885","-123.343234","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","(No longer brewing)","","","","","","","","","","",""
"4UcPMq","Hawthorn Brewing Co","http://hawthornbrewing.com.au/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Hawthorn","Victoria","3122","","-37.8222114","145.0328017","Y","N","N","N","micro","Micro Brewery","AU","Australia","AUS","In the days of old, travelling merchants criss-crossed the globe, journeying to exotic lands in search of the finest treasures. Following in this bold tradition are the Flavour Merchants of the Hawthorn Brewing Co. From their base in Hawthorn, these intrepid explorers scour the beer world, risking life and limb to bring home the secrets of its best brewers. It is only by trialling and refining these techniques that we are able to create award winning beers of distinction including our Premium Pale Ale, Amber Ale, Pilsner and Witbier.  Yes.. It’s a tough job, but someone has to do it.","36","2008","https://s3.amazonaws.com/brewerydbapi/brewery/AH9yDJ/upload_4726Cm-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/AH9yDJ/upload_4726Cm-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/AH9yDJ/upload_4726Cm-large.png","","PO Box 2037","2008","","",""
"oiZG3e","Haxall Brewing Co","http://www.haxallbrewingcompany.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","11 S 21st St","Richmond","Virginia","23223","804-222-3181","37.5310748","-77.4250957","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2010","https://s3.amazonaws.com/brewerydbapi/brewery/sGVeVS/upload_bniDC6-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/sGVeVS/upload_bniDC6-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/sGVeVS/upload_bniDC6-large.png","","","2010","","",""
"dphaZd","Hayes Public House","www.hayespublichouse.com/","N","new_unverified","New, Unverified","2012-01-03 02:41:33","2014-11-02 18:36:58","112 1st St S","Buffalo","MN","55313","(763) 746-6389","45.1709189","-93.8742283","N","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","Tap Room Hours  Monday & Tuesday: Closed Wednesday & Thursday: 5:00 PM - 10:00 PM Friday & Saturday: 3:00 PM - 10:00 PM Sunday: Closed","","","","",""
"R2I4D5","Haymarket Pub & Brewery","http://www.haymarketbrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","737 W Randolph St","Chicago","Illinois","60661","312-638-0700","41.884044","-87.647162","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","Specializing in classic Belgian and contemporary American beer styles, Pete will be producing an array of brews for every beer palette. Crowley, a highly decorated brewer has won over 50 local, national and international awards for his brewing creations including medals from the World Beer Cup, Great American Beer Festival and Festival of Wood and Barrel Aged Beer. Varieties will range from refreshing Pilsners to hoppy ales to rich Imperial Stouts aged in whiskey barrels in our own cellar, a brewing technique that has put Crowley on the national beer map for his pioneering work with the specialty. Our impressive array of 32 tap handles behind the bar will feature more than 10 house brewed varieties with space to offer other craft beer selections.","","2010","https://s3.amazonaws.com/brewerydbapi/brewery/5PsLiM/upload_Zmvhf6-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/5PsLiM/upload_Zmvhf6-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/5PsLiM/upload_Zmvhf6-large.png","","","","","",""
"3M0sMW","Hazel Dell Brewpub","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8513 NE Highway 99","Vancouver","Washington","98665","360-576-0996","45.6839432","-122.6608649","Y","N","Y","Y","brewpub","Brewpub","US","United States","USA","","","","","","","","","","","",""
"ffjgVx","HC Berger Brewing","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Fort Collins","Colorado","","","40.58147","-105.076259","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","2002","",""
"HzSUfO","Head Brewing Co","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","101 North Victory Blvd","Burbank","California","95105","","34.1735479","-118.317022","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","L246","","","",""
"xqduVv","Headlands Brewing Company","http://www.headlandsbrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Mill Valley","California","","415-890-4226","37.9060368","-122.5449763","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","Headlands Brewing Co. was founded by people that play outside.  We have a sense of adventure and embody the spirit of the place that we live, celebrating the bay, the history, the trails and the mountains that surround us. Outside the brewery you can find us surfing and swimming in the beautiful waters in our backyard or cycling or running through the valleys, parks, hills and mountains surrounding our bay.     Patrick Horn (formerly of Pacific Brewing Laboratory) and Phil Cutti (Southpaw BBQ) create classic beers along with seasonal and experimental brews that push the envelope.","","2013","https://s3.amazonaws.com/brewerydbapi/brewery/RJSfCx/upload_olwlJZ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/RJSfCx/upload_olwlJZ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/RJSfCx/upload_olwlJZ-large.png","","","2013","","http://headlandsbrewing.us5.list-manage2.com/subscribe?u=8a195d97c6eefb7fd87ac114c&id=605c9949c6",""
"gLx8is","HeadStrong Brewery","http://www.headstrongbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-09-18 17:53:48","126 N 3rd St","Douglas","Wyoming","82633","(307)359-8801","42.760612","-105.384466","Y","Y","N","N","micro","Micro Brewery","US","United States","USA","Welcome to Douglas, Wyoming and the upstart of HeadStrong Brewery. Over the last couple years, we have been gradually developing a plan and product to bring to our community.  Craft Beers!      Our promise to our customers is that we will not compromise on the quality and ingredients we put into every batch of beer we brew.    Our selection of materials will emphasize the Wyoming and Douglas experience while bringing ingredients from around the world to our customers.  Each of our craft beers will be highlighted and served in it's own special glass that will enhance the look, feel and flavor of the brewed product.","","2012","https://s3.amazonaws.com/brewerydbapi/brewery/0GgoFA/upload_G76U42-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/0GgoFA/upload_G76U42-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/0GgoFA/upload_G76U42-large.png","","","","","",""
"Wcu6yG","Heady Brewing Co","http://headybrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2202 Dallas St","Houston","Texas","77003","713-397-0072","29.7492226","-95.355781","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","","",""
"8wcv7h","Healdsburg Beer Co","http://www.healdsburgbeercompany.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1670 Stirrup Loop","Healdsburg","California","95448","707.385.9385","38.63915","-122.863248","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","Founded in 2007, Healdsburg Beer Company is an independent and family owned brewery. We produce limited quantities of artisan cask ales using only the finest ingredients in laboriously attended to small lots. Seriously.   Annual production for the brewery is less than 1,000 gallons and we sweat the details on each pint. Our brewing philosophy is grounded in the idea of balance. We strive to create beer that balances the flavors that we find in the malt, hops and yeast and create a layered, nuanced and flavorful beer that is still an easy drinking and friendly pint.   Living in Sonoma County, it is difficult to think of any beverage without also thinking of food. Sonoma has an incredible food culture that includes some of the world’s finest artisan purveyors and restaurants. All of Healdsburg Beer Company’s beers are purposefully crafted to be friendly and complementary to a broad range of food.","","2007","https://s3.amazonaws.com/brewerydbapi/brewery/LXOt7C/upload_lTIWrr-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/LXOt7C/upload_lTIWrr-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/LXOt7C/upload_lTIWrr-large.png","","","","","",""
"lGLjH8","Heartland Brewery","http://www.heartlandbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1285 6th Avenue","New York","New York","10003","212-400-2300","40.7609737","-73.979931","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","Founded in 1995, Heartland Brewery is a NYC-based restaurant group with 7 locations, all with their own distinct identities. What they share in common is our award-winning locally brewed beer and a commitment to great food and warm, friendly service.","","1995","https://s3.amazonaws.com/brewerydbapi/brewery/OXi7r1/upload_sGkR5o-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/OXi7r1/upload_sGkR5o-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/OXi7r1/upload_sGkR5o-large.png","","","1995","","",""
"Na4XQZ","Heater Allen Brewery","http://www.heaterallen.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","907 NE 10th Ave","McMinnville","Oregon","97128","503-472-4898","45.214447","-123.188773","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","We are a small artisan brewery located in McMinnville, Oregon.  We specialize in producing distinctive all-malt lager and other German and Czech style beers.  We use only the finest, most appropriate malts, hops, water and yeast in our beers.  While our lagers are similar to those made in Germany, they are our own unique interpretation of the style.     Lager beers are fermented at lower temperatures than ale, using yeast that has adapted to cooler fermentations.  Low temperature fermentations create fewer “yeasty” aromas, esters, and flavors that are so common in ales.  We brew lagers because we enjoy their smooth malty and hoppy character.","","","","","","If you'd like to stop by the Brewery, either come by on a brew day, usually Tuesdays and Fridays (check the calendar for a complete list of brew days) or call us during the week (we rarely check messages on the weekend) to schedule an appointment.","","","","",""
