"id","name","description","isOrganic","status","statusDisplay","createDate","updateDate","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","website","established","images__icon","images__medium","images__large","streetAddress","numberCode","yearOpened","hoursOfOperation","extendedAddress","yearClosed","mailingListUrl","isoCode"
"m2lpu3","Moonlight Pizza & Brew Pub","Every Monday we donate 10% of our sales to programs in Salida we believe make this town amazing. We support anything from school groups to ski clubs to horse rescue to the mentors program because, well, they support us and honestly it’s the right thing to do.    Dough. We like dough. It fits well in wallets and tastes good under cheese. We like to think we’ve got some good dough. We make pizza crust, we make sandwich bread, and we make finely crafted dog sweaters. Alright, we don’t make the last one, but we COULD if we wanted to. We take pride in the freshness of our dough and veggies. Our dough was made today. It wasn’t made in Topeka, frozen, shipped here, and warmed up. Ask who made it and he or she is probably in the kitchen.    Why no Straws? We know you didn’t get one. You’ll use them for about seven minutes and then we have to throw them away. It’s nothing personal. If you absolutely need one we’re happy to oblige, but we’re trying to reduce our non-recyclables, keep our landfills at a minimum, and keep plastic out of our oceans. Find a kid and ask them about plastic. Plastic pollutes our oceans and air, so we serve our beverages in glass. If you want to bring a kid cup from home, we’ll fill it up!    What, no Coasters? You’d be amazed at how many coasters we pick up off the floor. If our tables were Peruvian mahogany, inlaid with reclaimed oak from an historic church in New Brunswick, we’d say “heck yeah, give that pizza patron a coaster!” Let’s conserve together.    Hopefully you’re now thinking, “Wow Henrietta, these are some globally concerned restaurateurs.” But, then again, maybe you’re wondering about the lack of ice in the sodas? Are we trying to conserve ice bergs? Nope. We don’t even know any icebergs. Our soda’s are handmade with the finest extracts available, fantastic water and cane sugar. They’re served at cellar temps just like our beers, so you get a full flavored beverage that doesn’t need to be watered down. There’s a saying in Colorado, Whiskey’s for drinking, water’s for fighting. (We also have Whiskey, no fighting). If you want ice, just ask. We’ll not think less of you. Becoming a soda pop connoisseur takes time.    From all of us at Moonlight Pizza: Kick back, order another beer, enjoy the sunset, and don’t forget your leftovers! Peace.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Salida","Colorado","81201","(719) 539-4277","38.534857","-105.993522","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.moonlightpizza.biz","","https://s3.amazonaws.com/brewerydbapi/brewery/WHQisc/upload_2fVaaL-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/WHQisc/upload_2fVaaL-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/WHQisc/upload_2fVaaL-large.png","242 F St. Salida","","","Mon-Thur: 11am-9pm  Fri-Sat: 11am-9:30pm  Sun: 11am-8pm","","","",""
"O8BTtG","Moonshine","","N","verified","Verified","2012-01-03 02:41:33","2014-09-16 19:53:32","Chicago","Illinois","60622","773-862-8686","41.90353","-87.67343","Y","N","Y","N","brewpub","Brewpub","US","United States","USA","http://www.moonshinechicago.com/","","","","","1824 W Division St","","","","","","",""
"33Ov6W","Moor Beer Company","Moor Beer Company brings you something different – a company dedicated to quality products, service to the community and social responsibility. We are not publicly traded and leave our accountability to the people that matter – our customers, employees, suppliers and families.    We strive to produce strongly flavoured beers of exceptional character. All our beers are brewed using only natural ingredients. We put a lot into our beers by using the finest malt, hops, yeast and water – but don’t take anything out. All our beers are unfiltered so they retain the yeast that is so vital to producing exceptional flavour, as well as providing vitamins.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Pitney Langport","Somerset,","TA10 9AE","07887 556521","51.050886","-2.7834782","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","http://moorbeer.co.uk/","1997","https://s3.amazonaws.com/brewerydbapi/brewery/Hsm3Ug/upload_qof3K9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hsm3Ug/upload_qof3K9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hsm3Ug/upload_qof3K9-large.png","Chapel Court","826","1997","","","","",""
"0RuI2h","Moorhouse's Brewery (Burnley)","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Burnley","Lancashire","","44-(01282)-422864","53.7864034","-2.2693743","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","","","https://s3.amazonaws.com/brewerydbapi/brewery/LCt4Wy/upload_Cc5TuI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/LCt4Wy/upload_Cc5TuI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/LCt4Wy/upload_Cc5TuI-large.png","4 Moorhouse Street","826","","","","","",""
"cld6C8","Moose's Tooth Pub and Pizzeria","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Anchorage","Alaska","99503","(907) 258-2537","61.190217","-149.868929","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.moosestooth.net/","","","","","3300 Old Seward Highway","","","","","","",""
"F5LuLZ","Moosehead Brewery","Founded in 1867 by Susannah Oland and still operated by the Oland family today, Moosehead Breweries Limited is Canada's oldest Independent Brewery.     Sold throughout Canada, The United States, and in select countries around the world, our flagship Moosehead Lager beer is often regarded as Canada’s Premium Lager.     With a taste as clean and refreshing as the Canadian outdoors, Moosehead Lager and it’s iconic Moose label have long been associated with the great outdoors.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Saint John","New Brunswick","","1-506-635-7000","45.2567058","-66.0959739","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://www.moosehead.ca/","1867","https://s3.amazonaws.com/brewerydbapi/brewery/ZqKgpq/upload_CdX3HL-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ZqKgpq/upload_CdX3HL-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ZqKgpq/upload_CdX3HL-large.png","89 Main Street West","124","","","","","",""
"TinWeR","Moosejaw Pizza & Dells Brewing Company","Moosejaw Pizza & Dells Brewing Co. proves that All Restaurants Are Not Created Equal!    We feature steaks, ribs, burgers, pastas, salads & sandwiches. The Dells only micro-brewery features ten hand-crafted brews. From our tanks straight to your glass…that’s fresh. Large arcade, pool table & premium sports viewing located on the 3rd floor. Large Groups Welcome! Family Friendly! Free Delivery! (608)254-1122","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Wisconsin Dells","Wisconsin","53965","(608) 254-1122","43.589156","-89.7935186","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.DellsMoosejaw.com/","2002","https://s3.amazonaws.com/brewerydbapi/brewery/oTmJ8i/upload_OWJAop-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/oTmJ8i/upload_OWJAop-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/oTmJ8i/upload_OWJAop-large.png","110 Wisconsin Dells Parkway South","","2002","Mon - Thu: 11:00 am - 10:30 pm  Fri - Sat: 11:00 am - 11:00 pm  Sun: 11:00 am - 10:30 pm","","","",""
"62WKns","Mordue Brewery","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Wallsend","Tyne and Wear","","44-(0191)-2961879","55.0169034","-1.4915493","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","","","","","","21A Oak Road","826","","","","","",""
"iMF8xJ","Morgan Street Brewery","Nestled on cobblestone streets polished by more than 200 years of commerce along the Mississippi River, Morgan Street Brewery radiates the charm that only history can impart.  Morgan Street Brewery’s rich architecture and warm interiors are highlighted by burnished wood and exposed brick and feature cozy nooks and corners.  The main brewery building and adjacent Lodge, both more than 130 years old, are separated by a brick patio that is as perfect for café style dining as the popular outdoor dining patio along second street.    Morgan Street Brewery, founded in 1995, is one of the oldest buildings in historic Laclede’s Landing.  It’s where St. Louis- and thousands of visitors from other cities- go for great times, great food and fabulous beers made right on the premises in Morgan Street’s micro brewery.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","St. Louis","Missouri","63102","314-231-9970","38.6302706","-90.1845801","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.morganstreetbrewery.com/","","https://s3.amazonaws.com/brewerydbapi/brewery/KAiRTh/upload_Zac5Wd-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/KAiRTh/upload_Zac5Wd-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/KAiRTh/upload_Zac5Wd-large.png","721 North 2nd Street","","","","","","",""
"Kfxx6k","Morgantown Brewing Company","Morgantown's oldest and newest brewpub, located in the heart of downtown Morgantown West Virginia. This casual local pub offers a wide range of craft beers brewed on the premises, great food, a live music venue and full calendar of events.   Meet friends for lunch or dinner, or have a beer and watch the big game on TV.  A must visit for craft beer lovers.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Morgantown","West Virginia","26508","304-292-6959","39.630501","-79.958062","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://morgantownbrewing.com/","1992","https://s3.amazonaws.com/brewerydbapi/brewery/mhZDXS/upload_paPgRp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/mhZDXS/upload_paPgRp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/mhZDXS/upload_paPgRp-large.png","","","","","1291 University Ave","","",""
"wzglGB","Morland and Co.","This brewery has since been closed. Their brands are now brewed by Greene King in Suffolk.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Abingdon","Oxford","","","51.673321","-1.28549","Y","N","Y","Y","micro","Micro Brewery","GB","United Kingdom","GBR","","1711","","","","","826","1711","","","2000","",""
"Ztu9xF","Mornington Peninsula Brewery","Our Symbol    Derived from a medieval alchemy sign for Aurum Potabile, drinkable gold. It was used as a rejuvenating medicine, an elixir of life. Paracelus, a famous alchemist once wrote: “…drinkable gold will cure all illnesses, it renews and restores”. While we know now that medieval medicine did get a few things wrong, the idea of drinking liquid gold is not a bad thought. Cheers!","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Mornington","Victoria","3931","+61 3 5976 3663","-38.232544","145.056865","Y","N","N","Y","micro","Micro Brewery","AU","Australia","AUS","http://www.mpbrew.com.au","2010","https://s3.amazonaws.com/brewerydbapi/brewery/3MiueH/upload_lMO2Lm-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/3MiueH/upload_lMO2Lm-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/3MiueH/upload_lMO2Lm-large.png","72 Watt Road","36","2010","Thu - Fri: 3:00 pm - 11:00 pm  Sat: 12:00 pm - 5:00 pm  Sun: 12:00 pm - 7:00 pm","","","",""
"LGSXeN","Morpeth Brewery & Beer Co","The Morpeth Brewery & Beer Co. is a micro-brewery situated at the Commercial Hotel Morpeth. The Brewery kicked off operations in April 2012.    At Morpeth Brewery & Beer Co we are passionate about brewing according to artisan principles, and aspire to produce all-natural beers from the finest quality ingredients, with no additives or preservatives.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Morpeth","New South Wales","2321","+61 2 4934 5316","-32.725223","151.626475","Y","N","N","Y","micro","Micro Brewery","AU","Australia","AUS","http://www.commercialhotelmorpeth.com.au","2012","https://s3.amazonaws.com/brewerydbapi/brewery/fgRini/upload_GtRkwV-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/fgRini/upload_GtRkwV-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/fgRini/upload_GtRkwV-large.png","127 Swan Street","36","2012","","","","",""
"qTom9U","Moscow Brewing Company","Moscow Brewing Company entered the Russian beverage market with products of own production in September 2008. The company consists of the most modern brewery in Russia, as well as its own distribution and logistics centers located three kilometers from the Moscow Ring Road (in Mytischi) in an ecologically clean area. Partners of the project and Sberbank of Russia Investment Fund Detroit Investments, total investment amounted to over $ 300 million.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Moscow Region","141006","+7 (495) 788 54 33","55.9300547","37.7225856","Y","N","N","Y","micro","Micro Brewery","RU","Russian Federation","RUS","http://www.mosbrew.ru/","2008","","","","Mytishchi Volkovskoye Shosse, 12","643","","","","","",""
"g1RK8e","Most Wanted Brewery","Hand Crafted Brews with Most Wanted Ingredients","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Doral","Florida","33172","(305) 567-5555","25.803728","-80.366022","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.mostwantedbrewery.com/","2012","https://s3.amazonaws.com/brewerydbapi/brewery/LzJB9t/upload_mIS82r-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/LzJB9t/upload_mIS82r-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/LzJB9t/upload_mIS82r-large.png","10400 NW 33 Street","","2012","","Suite 150","","",""
"ZJPZPc","Mother Earth Brew Company","In early 2010, Mother Earth launched a unique brewing supply store and tasting room at its new Vista, CA location. Just a half mile from the 78 freeway and just minutes from the I-5, Mother Earth Brew Co. is right in the middle of the ""North County Beer Triangle"" in North San Diego County.     Our business caters to home brewers seeking the highest quality, freshest ingredients and to people who enjoy sampling great beers - many of which are exclusively available at our tasting bar! Come on by for a truly unique experience, and always remember...Love Your Mother!","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Vista","California","92081","760-599-4225","33.1682803","-117.2198359","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.motherearthbrewco.com/","2008","https://s3.amazonaws.com/brewerydbapi/brewery/NwFxny/upload_Q8CEgY-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/NwFxny/upload_Q8CEgY-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/NwFxny/upload_Q8CEgY-large.png","2055 Thibodo Rd","","2008","Retail Store	  Sun: 12pm to 5:30pm  Mon: Closed  Tues: Closed  Wed: 11am to 7pm  Thurs: 11am to 8pm  Fri: 11am to 8pm  Sat: 12pm to 5:30pm    Tasting Room  Sun: 12pm to 5pm  Mon: Closed  Tues: Closed  Wed: Closed  Thurs: 4pm to 8pm  Fri: 4pm to 8pm  Sat: 12pm to 5pm","Suite H.","","",""
"Bd8NZ3","Mother Earth Brewing Company","Mother Earth Brewing Company is located on the corner of Heritage and North Street in Kinston NC. The facility includes the brewery itself, a bottling facility and Mother Earth’s corporate offices. In keeping with our company name, our rehabilitation of this old building is incorporating green technology, eco-friendly building materials and alternative energy sources wherever possible. Future plans include opening a tap room and offering tours of the brewery. Mother Earth’s four staple beers are a Munich Dunkel, an American IPA (organic), a Belgian Wit and a Kolsch, along with seasonal brews and oak aged beers. Mother Earth will distribute statewide in groceries, restaurants, and bars. Look for Mother Earth products soon..","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Kinston","North Carolina","28501","252-208-2437","35.262656","-77.5825349","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.motherearthbrewing.com/","2010","https://s3.amazonaws.com/brewerydbapi/brewery/LZ4UuN/upload_gbI0y7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/LZ4UuN/upload_gbI0y7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/LZ4UuN/upload_gbI0y7-large.png","311 N. Herritage St.","","2010","Mon: 10:00 am - 1:00 pm  Tue: 11:00 am - 6:00 pm  Wed: 6:00 am - 7:00 am, 11:00 am - 9:00 pm  Thu - Fri: 10:00 am - 12:00 am  Sat:	11:00 am - 6:00 pm","Suite H.","","",""
"nwrBiU","Mother Road Brewing Company","Driving on a dark stretch of two lane road, founders Michael and Alissa  Marquess were pondering how to better live their creed of ‘finding joy in the adventure’. They came up with a plan that brought together their passions of craft beer, travel, Arizona and the enjoyment of life;they decided to create a brewery. We hand craft each of our beers along Route 66 in Flagstaff in a 1920s era building with a small staff. We found craft beer, where does your road lead?","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Flagstaff","Arizona","86001","928-774-9139","35.19694","-111.6520528","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://motherroadbeer.com/","2011","https://s3.amazonaws.com/brewerydbapi/brewery/NAXtSo/upload_chHXNK-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/NAXtSo/upload_chHXNK-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/NAXtSo/upload_chHXNK-large.png","7 South Mikes Pike","","2011","Tap Room Open Daily  Tours by Appointment","","","",""
"QGZzrv","Mother's Brewing Company","Mother's is a growing family that's all about heady craft beers. So we started our own brewery, and we're producing as much love per barrel as we possibly can. In the short time that we've been open, we've made a helluva lot of different, fun, and innovative beers. Stop by and see what we brought with us. Cheers!","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Springfield","Missouri","65806","417-862-0423","37.207508","-93.299385","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.mothersbrewing.com/","2011","https://s3.amazonaws.com/brewerydbapi/brewery/Xknbgp/upload_bZbTFP-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Xknbgp/upload_bZbTFP-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Xknbgp/upload_bZbTFP-large.png","215 S Grant Avenue","","2011","Wed - Fri:	4:00 pm - 7:00 pm  Sat:	1:00 pm - 6:00 pm","","","https://www.facebook.com/mothersbrewingco/app_100265896690345",""
"2aIo1M","Motor City Brewing Works","Since our beginning in 1994, MCBW has been committed to producing hand-crafted superior quality beer. Our beer is unfiltered, unpasteurized assuring maximum freshness & delicious flavor Naturally!   We hope you enjoy our labors as we contribute to the genuinely original exports of Detroit’s Cultural Center. A century of art, literature, music & now Beer!      20 BBL Custom fabricated brewery made from salvaged equipment & scrap of Detroit’s great industrial era, by the hands of Detroit’s finest artists, fabricators & craftsman.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Detroit","Michigan","48201","313-832-2700","42.3516649","-83.065841","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://motorcitybeer.com/","1994","https://s3.amazonaws.com/brewerydbapi/brewery/PS0Uh7/upload_Bpjhf8-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/PS0Uh7/upload_Bpjhf8-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/PS0Uh7/upload_Bpjhf8-large.png","470 West Canfield","","1994","","","","",""
"ab5Bfa","Motorworks Brewing","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bradenton","Florida","34205","(941) 896-9892","27.4908","-82.571578","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.motorworksbrewing.com","2014","https://s3.amazonaws.com/brewerydbapi/brewery/eFEEXO/upload_AnspBo-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/eFEEXO/upload_AnspBo-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/eFEEXO/upload_AnspBo-large.png","1014 - 9th Street West","","","","","","",""
