"id","name","description","website","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","images__icon","images__medium","images__large","extendedAddress","established","yearOpened","mailingListUrl","numberCode","yearClosed"
"412VWy","The Brewer's Cabinet","Our small batch brewery allows us the flexibility not to be limited by popular fads, current trends or industry pressure in crafting our beers.    Our Brew Masters have been fully empowered so that there are no limits on creativity or style. We only ask that they do what they do best and brew with passion and love. We will also be featuring an impressive selection of guest draft handles and bottle selection to help compliment our own beers.    With a small kitchen onsite, we will be creating a fresh and local menu for our customers with an emphasis on quality ingredients that pair superbly with our brews. We want to create a comfortable and relaxed atmosphere for our customers, so that they can enjoy the environment no matter what time of the day, nor what the occasion is.    The Brewer’s Cabinet will focus on spreading awareness of the local brewing community. We hope to feature local commercial breweries and their great beers, which we hope will lead to a series of collaborative projects in creating new beers. We want a strong local home brewing community, that is part of the brewery, with the invitation to come in and help design beers with our brew masters. We truly want to be a “Brewer’s Cabinet” for the Reno area!","http://thebrewerscabinet.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","475 S Arlington Ave","Reno","Nevada","89501","(775) 348-7481","Monday	11:00 am – 11:00 pm  Tuesday	11:00 am – 11:00 pm  Wednesday	11:00 am – 11:00 pm  Thursday	11:00 am – 11:00 pm  Friday	11:00 am – 11:00 pm  Saturday	11:00 am – 11:00 pm  Sunday	11:00 am – 11:00 pm","39.5206238","-119.8174555","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/RtFDSp/upload_Zzkd6c-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/RtFDSp/upload_Zzkd6c-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/RtFDSp/upload_Zzkd6c-large.png","","2012","2012","","",""
"eFi1I6","The Brewerie at Union Station","We are Erie’s exclusive brewpub & restaurant serving up fresh handcrafted ales paired with a unique menu of exceptional quality. Come & join us for a meal in the breathtaking Rotunda. Grab a booth or pull up a stool in the old Tap Room. Maybe you’d like something a little more intimate? How about private balcony seating for two? Or perhaps it’s a thrill you’re seeking? Then join us for summers in the Trackside Beer Garden where you can enjoy a pint of ale as the trains go barreling by.","http://brewerie.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","123 W 14th St","Erie","Pennsylvania","16501","814-454-2200","","42.120909","-80.082274","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","","","","","",""
"hoqEmN","The Brewery of Broken Dreams","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8319 Pleasant Valley Road","Hammondsport","New York","14840","","","42.405211","-77.244829","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","",""
"hrhfc1","The Brewing Lair","Lets have fun with beer outdoors, because we don't have much room in the brewery. So come play Disc Golf, Walk in the woods or hang out on the patio where you can enjoy a fresh brew and surf the net.","http://www.thebrewinglair.com","N","verified","Verified","2012-01-03 02:41:33","2014-07-30 12:31:03","67007 State Highway 70","Blairsden","California","96103","(530) 394-0940","","39.7810095","-120.6166077","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/A0hPVC/upload_hnVyww-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/A0hPVC/upload_hnVyww-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/A0hPVC/upload_hnVyww-large.png","","","","","",""
"GZQpRX","The Bronx Brewery","We're a small craft brewery in the South Bronx, New York and have a maniacal love for two things in this world: beer and the Bronx. Cheers!    The Bronx Brewery is a craft brewer and distributor based in the South Bronx. It launched in 2011 by a small team with two things in common: a maniacal focus on creating high-quality beer and a passion for the Bronx. Its traditionally-crafted ales use only premium and minimally-processed materials to create fresh, bold beer from a borough known for its own uniquely bold character. The team is enthused to bring a rich brewing tradition back to the Bronx and craft a beer that the people of the Bronx and New York City can be proud to call their own.","http://www.thebronxbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bruckner Blvd & 3rd Ave","Bronx","New York","10454","(718) 514-9000","","40.80828","-73.930669","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/V0wvf7/upload_cmuEnP-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/V0wvf7/upload_cmuEnP-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/V0wvf7/upload_cmuEnP-large.png","#1","2011","2011","","",""
"st9day","The Bruery","A boutique craft brewery located in Orange County, California specializing in experimental and barrel aged beer. Our name is a fusion of 'brewery' with our family name, Rue.    Our calling is to create beers with character and depth using the simplest and purest of means. We do not filter or pasteurize our beers. Most of our bottled beers gain carbonation through bottle conditioning, allowing carbonation to naturally occur through a secondary bottle fermentation. We strive to use unconventional ingredients, and we will proudly state what we put in our beers.","http://www.thebruery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","715 Dunn Way","Placentia","California","92870","714-996-6258","Friday & Saturday: 4pm - 10pm  Sunday: 12pm - 6pm","33.8613833","-117.8800107","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/4MVtcc/upload_yytZOo-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/4MVtcc/upload_yytZOo-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/4MVtcc/upload_yytZOo-large.png","","2008","","","",""
"8S5RmP","The Byron Bay Brewing Co","The Byron Bay Brewery Bar / Restaurant is the home of Byron Bay Premium Ale and is one of Byron's newest attractions. Our Pale Larger is now available in Liquor Land, First Choice and Vintage Cellars bottle shops around Australia.","http://www.byronbaybrewery.com.au","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1 Skinners Shoot Road","Byron Bay","New South Wales","2481","+61 2 6685 5833","Mon - Tue: 12:00 pm - 11:00 pm  Wed - Sat: 12:00 pm - 12:00 am  Sun: 12:00 pm - 10:00 pm","-28.644688","153.605042","Y","N","N","Y","micro","Micro Brewery","AU","Australia","AUS","https://s3.amazonaws.com/brewerydbapi/brewery/NHSaAZ/upload_DSoXTr-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/NHSaAZ/upload_DSoXTr-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/NHSaAZ/upload_DSoXTr-large.png","","2010","2010","","36",""
"VCsRkP","The Cannon Brewpub","If the Cannon Brewpub had an old man, it would be Jim Newman. A U.S. Army Ranger, Jim had just returned Stateside from Haiti when he attended a party hosted by Dr. Jack Blalock. At the soiree, he was introduced to a kindred soul named William Gantt. Their conversation soon turned to the quality of beer in Columbus. Needless to say, the tone was bitter and the language seasoned with expletives. When Jim explained that in Oregon, where he came of age, there was a vibrant scene of restaurants and bars that housed their own microbreweries that crafted their own distinct beers that could only be enjoyed at the source, Gantt understandably replied, ""$#@*!"".    What began as a conversation soon became an obsession and, in 1996, the firm Warner and Worth was incorporated to see their shared dream come true.","http://thecannonbrewpub.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1041 Broadway","Columbus","Georgia","31901","706-653-2337","","32.4663533","-84.9935198","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/9vSKac/upload_RxpDNZ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/9vSKac/upload_RxpDNZ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/9vSKac/upload_RxpDNZ-large.png","","1996","1996","","",""
"4sTRXQ","The Celt Experience","Explosive Craft Beer from Caerphilly. A Perfect Range of imperial, one-off series and of course core beers","http://www.theceltexperience.co.uk/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Unit 2E Pontygwindy Rd","","Caerphilly","CF83 3HU","+44 29 2086 7707","Mon - Fri: 7:00 am - 6:00 pm","51.5891051","-3.2272924","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","https://s3.amazonaws.com/brewerydbapi/brewery/JhqZva/upload_KPsnPh-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/JhqZva/upload_KPsnPh-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/JhqZva/upload_KPsnPh-large.png","","2007","2007","","826",""
"7WbFtq","The Church Brew Works","Nestled in historic Lawrenceville, this turn of the century cathedral church turned Brewpub offers a heavenly atmosphere! Enjoy our award winning handcrafted brews and American ""Eclectic"" cuisine.","http://churchbrew.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3525 Liberty Avenue","Pittsburgh","Pennsylvania","15201","412-688-8200","","40.462419","-79.964485","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/IzxVvU/upload_viVCmy-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IzxVvU/upload_viVCmy-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IzxVvU/upload_viVCmy-large.png","","2013","","","",""
"jqK43H","The Commons Brewery","The Commons Brewery is a small craft brewery located in Southeast Portland, Oregon. We are inspired by European brewing tradition and Northwest grown ingredients. We take a very hands-on approach to brewing our small batch beers.    The Commons was born as Beetje Brewery in the garage of Mike Wright on a 1 barrel nano system. It did not take long before Mike was dreaming of expanding the operation and upgrading to a true commercial system. That dream was realized with a new space and a new 7bbl system.","http://www.commonsbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1810 SE 10th Ave","Portland","Oregon","97214","503-819-0758","Th & Fri: 5-9-ish   Saturday 2-9-ish   Sunday 2-6","45.5099802","-122.6556097","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/t9cCJ5/upload_Hra9cT-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/t9cCJ5/upload_Hra9cT-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/t9cCJ5/upload_Hra9cT-large.png","","2011","","","",""
"MA2sCi","The Corner Cafe & Brewery","At The Corner Café and Brewery we are much more than a business that serves great meals.  We are a comfortable corner restaurant with a terrific and unique menu and our own brewery.  Patrons enjoy creative breakfasts, lunches, dinners or excellent wines and amazing hand crafted beers.     The atmosphere incorporates an eclectic and warm interior with local Lighthouse Center of the Arts member’s paintings.  Our cast of characters at The Corner Café top off the genuinely relaxed and fun experience at this unique and quirky restaurant.","http://www.cornercafeandbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","289 U.S. 1","Tequesta","Florida","33469","561-743-7619","","26.9560145","-80.084894","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","","","","","",""
"yTlgM9","The Covey Restaurant & Brewery","","http://www.thecovey.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3010 South Hulen Street","Fort Worth","Texas","76109","","","32.7069721","-97.3878591","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","",""
"reZhhh","The Dayton Beer Company","The Dayton Beer Company is a multiple Award Winning Brewery and was voted  Dayton’s Best Microbrewery in 2014.  Our Pilot Brewery and Taproom is located in Kettering, Ohio.  We are in the process of opening our Production Brewery and Bier Hall in Downtown Dayton.    We are proud to be the first true Microbrewery in the Dayton area in over 50 years. All of our beer is hand-crafted with no automation in small batches with our own unique recipes. This allows us to create beers tailored with our own vision and style.    The Dayton Beer Company remembers all those who came before us and treasure their legacy by naming our core brews after them. Be sure to look for us at your favorite watering holes and retailers. As always, we encourage everyone to stop by our brewery to enjoy the fruits of our labor and relax and have fun in our cozy tap-room.","www.thedaytonbeerco.com","N","verified","Verified","2012-01-03 02:41:33","2014-10-28 16:52:53","912 E Dorothy Lane","Kettering","OH","45419","937-640-3107","Wed:  4:00pm - 10:00pm Thu:  4:00pm - 10:00pm Fri:  4:00pm - 10:00pm Sat:  2:00pm - 10:00pm  ","39.7038407","-84.1518473","N","N","N","Y","tasting","Tasting Room","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/pi6hoK/upload_m6coHi-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/pi6hoK/upload_m6coHi-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/pi6hoK/upload_m6coHi-large.png","","","","","",""
"ohbgYE","The Devil's Trumpet Brewing Co.","","https://m.facebook.com/profile.php?id=463974540364291&refsrc=http%3A%2F%2Fwww.google.com%2F&_rdr","N","verified","Verified","2012-01-03 02:41:33","2014-10-14 13:46:23","8250 Utah St","Merrillville","IN","46410","","Thursday: 4-10  Friday: 4-11  Saturday: 12-11  Sunday: 11-8  Monday: 4-10","41.468424","-87.291382","N","N","N","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/JUFS37/upload_zPvswx-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/JUFS37/upload_zPvswx-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/JUFS37/upload_zPvswx-large.png","","","","","",""
"IyzwQ4","Rochester","The Distillery is an award winning high energy bar and restaurant that offers fantastic ambiance and service for any drinking and dining occasion whether it's business, pleasure or a celebration.     We created a restaurant that offers a large selection of draft beers, a diverse menu of American fare, non-stop sports viewing entertainment and play a heady selection of classic rock music on a state-of-the-art audio system to ensure that all the bases are covered. On December 11th, 1980 the original Distillery Restaurant opened on Mt Hope Avenue in Rochester, New York. It quickly became a spot for locals who met over good food and cold beer to discuss the various issues of the day, catch up with friends, make new acquaintances and celebrate life.","http://www.thedistillery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-10-01 14:11:53","1142 Mt. Hope Avenue","Rochester","New York","14620","(585) 271-4105","Mon:  11:00am - 2:00am Tue:  11:00am - 2:00am Wed:  11:00am - 2:00am Thu:  11:00am - 2:00am Fri:  11:00am - 2:00am Sat:  11:00am - 2:00am Sun:  12:00pm - 1:00am  ","43.127617","-77.615601","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/rIs450/upload_lMFtGC-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/rIs450/upload_lMFtGC-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/rIs450/upload_lMFtGC-large.png","","1980","","","",""
