"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","extendedAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","mailingListUrl","yearClosed","currentPage","numberOfPages","totalResults"
"HVOo4o","White Bluffs Brewing","Opening November 2010 in Richland, WA, White Bluffs Brewing has been creating great brews since day one. You're thinking, ""Well, of course they would say that about themselves""! Don't take our word for it, come and in taste what our fans are talking about or read what they're recommending on Yelp!    Our love of beer, quality ingredients, and 25+ years of experience gives us more than one reason to serve Richland, Kennewick, Pasco and the Northwest with great beer.    Stop in and say hi, we'd love to give you a tour and hang out while you enjoy our humble brewery!    We say ""we brew beer with character for people with taste,""  Check us out and find out why.","http://www.whitebluffsbrewing.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/Bp3teL/upload_GAWNXi-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Bp3teL/upload_GAWNXi-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Bp3teL/upload_GAWNXi-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2000 Logston Blvd","Ste 127","Richland","Washington","99354","509-554-7059","Tu-Th: 4:00 pm - 7:00 pm  Fri: 4:00 pm - 8:00 pm  Sat: 12:00 pm - 8:00 pm","46.318599","-119.30184","Y","N","N","Y","micro","Micro Brewery","US","2010","United States","USA","","https://www.facebook.com/WhiteBluffsBrewing/app_100265896690345","","","",""
"0f1dAS","White Flame Brewing Company","","http://www.whiteflamebrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5234 36th Ave.","","Hudsonville","Michigan","49426","616-209-5098","Tuesday - Thursday: 4-10ish  Friday & Saturday: 4-12ish","42.86427","-85.871084","Y","N","N","Y","nano","Nano Brewery","US","","United States","USA","","","","","",""
"zKipbt","White Lion Brewing Company","White Lion symbolizes grace with limitless boundaries, the consumer being part of something bigger than them; positioned between lessons taught and possibilities inspired by their energy and spirit.","http://www.whitelionbrewing.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/scDI89/upload_TrLUyz-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/scDI89/upload_TrLUyz-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/scDI89/upload_TrLUyz-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Springfield","Massachusetts","01101","(413) 326-1829","","42.1056673","-72.5977452","Y","Y","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"tp7cEF","White Marsh Brewing Company","","http://www.redbrickstation.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8149 Honeygo Blvd","","White Marsh","Maryland","21236","410.931.PUBS","","39.3722188","-76.4638294","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"InYD5U","","","","","","","","","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","","","Baden-Württemberg","","","","48.761009","8.23147","N","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","276","","","","",""
"W8qQNg","White Oak Cider","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","18452 NE Ribbon Ridge Road","","Newberg","Oregon","97132","1-503-538-0349","","45.3497948","-123.0733771","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"8SZEX7","White Pine Brewing Co","","http://www.whitepinebrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","617 Great Basin Blvd","","Ely","Nevada","89301","775-289-4555","","39.2521332","-114.8735807","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"7wpw9M","White Pony microbrewery","White Pony is a micro-brewery located in Padova (Italy). We brew our beers in Belgium and Italy. All our Beers are handmade, unfiltered & unpasteurized","http://www.whiteponymicrobrewery.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/SMp7Ih/upload_lEmTB3-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/SMp7Ih/upload_lEmTB3-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/SMp7Ih/upload_lEmTB3-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","","Padua","35028","+39 3462453891","","45.2945973","12.0478325","Y","N","N","Y","micro","Micro Brewery","IT","","Italy","ITA","380","","","","",""
"H5sA73","White Rabbit Brewing Company","","http://www.whiterabbitbrewery.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/Y3doTs/upload_gqZtGw-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Y3doTs/upload_gqZtGw-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Y3doTs/upload_gqZtGw-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","207 Fish Drive","","Angier","North Carolina","27501","919-527-2739","Fri - Sat: 6:00 pm - 11:00 pm","35.507578","-78.749448","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","","","","",""
"0AxwZs","White River Brewing","As a small batch brewery, White River Brewing Company specializes in traditional European beers, particularly styles from Belgium, Britain, and Germany, all with an American twist. With uncompromising quality, at White River Brewing Company we work hard to make each flavorful, complex sip, a special occasion. With every batch we use only the finest ingredients available, individually chosen to add layers and complexity to each of our products.     Quality Craft BeerDesigned to appeal to the weekend warrior and discerning enthusiast in all of us, our four staple offerings and seasonal rotating beers are adding steam to the craft beer revolution in Southwest Missouri, and delivering a unique experience in every bottle.","http://www.whiteriverbrewingco.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/cgcGob/upload_IgVM6o-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cgcGob/upload_IgVM6o-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cgcGob/upload_IgVM6o-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","505 W. Commercial Street","","Springfield","Missouri","65803","(417) 869-1366","","37.229649","-93.295479","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"kofglU","White Rock Beach Beer","","http://www.whiterockbeachbeer.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/q5xjyu/upload_iyEMAQ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/q5xjyu/upload_iyEMAQ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/q5xjyu/upload_iyEMAQ-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-22 13:01:23","15181 Russell Avenue","","White Rock","British Columbia","V4B 3Z6","","","49.0293247","-122.8018731","N","N","N","Y","micro","Micro Brewery","CA","","Canada","CAN","124","","","","",""
"WGEtq9","White Street Brewing Company","White Street Brewing Co., proud to be located in historic downtown Wake Forest, is a small, locally owned independent manufacturer of craft beer. You can enjoy White Street's flavorful handcrafted ales and lagers in restaurants and bars throughout the Triangle and beyond. Or sit down in our taproom where you can see the entire brewing operation and let us pour you some brewed-on-the-premises goodness.    While snacks are available in our taproom, we are not a restaurant. Our focus is brewing beer and we're not only passionate about it, but we're darn good at it, too. From tours and t-shirts to dart leagues and other special events, you will discover Something's Brewing on White Street.","http://www.whitestreetbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/QANLRv/upload_w5xsuh-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/QANLRv/upload_w5xsuh-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/QANLRv/upload_w5xsuh-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","218 South White Street","","Wake Forest","North Carolina","27587","919-647-9439","Monday-Thursday, 4pm - 10pm  Friday 4pm - 10pm  Saturday 12pm - 12am  Sunday 12pm - 10pm","35.977704","-78.509865","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"kmI2gY","White Winter Winery","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7665 US Highway 2","","Iron River","Wisconsin","54847","1-800-697-2006","","46.565052","-91.41512","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"z1Oq48","Whitehorse Brewing LLC","Whitehorse Brewing is located in Berlin Pennsylvania a few blocks from mainstreets lower diamond. The brewery is located on the edge of the farms that surround Brothersvalley and Somerset county. Our name comes from ""Whitehorse Mountain"" located right outside of Berlin, where we hunt, play and live.  Whitehorse beers are all natural and made from water, yeast, barley and hops. Some of our seasonal beers will feature natural flavors like brothers valley real maple sugar from our maple trees, and other natural local flavors.    We brew beer here because, well we love it and local is how we have always lived. To us Whitehorse isn't part of a new ""slow food movement"" it is just our way of life. We pride ourselves in using as much local product as possible and maintaining our natural rural roots in creating the beers we know you will love.    At Whitehorse we believe being environmentally concious and sustainable is important. For example our grains are recycled by giving them to a local farmer who uses it for feed for his livestock which causes no waste into the local environment.    We work to ensure our recipes and products are something we love but also you absolutely enjoy and will also appreciate the perfection we put into them. Please enjoy our beers as much as we enjoy creating them.","http://Www.whitehorsebrewing.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/kZsjqY/upload_rMeMpu-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/kZsjqY/upload_rMeMpu-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/kZsjqY/upload_rMeMpu-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","824 Diamond St","","Berlin","Pennsylvania","15530","(814) 233-3043","Thu - Fri: 5:00 pm - 9:00 pm  Sat: 9:00 am - 5:00 pm","39.926214","-78.95578","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"N60qpz","Whitstable Brewery","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Little Telpits Farm, Woodcock Lane","","Maidstone","Kent","","44-(01622)-851007","","51.2738","0.525085","Y","N","N","Y","micro","Micro Brewery","GB","","United Kingdom","GBR","826","","","","",""
"zPjezQ","Whitstran Pub & Brewing Co","","http://www.whitstranbrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1427 Wine Country Road","","Prosser","Washington","99350","509-786-4922","","46.210389","-119.769831","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","","","",""
"bjST8r","Whooda Mon Brewery","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Boulder","Colorado","80304","303-880-8312","","40.041225","-105.279109","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"E3BHII","Wichita Brewing Company","Wichita Brewing Company offers a welcoming neighborhood brewpub experience, including 9 flat screen televisions to watch your favorite games, friendly staff, and great entertainment. We are local beer enthusiasts, and we have carefully hand-crafted a variety of unique beers for your enjoyment. We also have an exciting menu of appetizers, pizzas and sandwiches, all baked in our wood-fired pizza oven. So, stop in for lunch with your co-workers, bring the family for dinner, or meet your friends for a few brews after work. We're waiting for you!","http://www.wichitabrew.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/Cbxn1y/upload_Lrwjnf-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Cbxn1y/upload_Lrwjnf-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Cbxn1y/upload_Lrwjnf-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8815 W 13th St","","Wichita","Kansas","67212","316-440-2885","Mon - Thu:	11:00 am - 12:00 am  Fri - Sat:	11:00 am - 2:00 am  Sun:	11:00 am - 12:00 am","37.708743","-97.444706","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"TrNp9N","Wichtel Hausbrauerei","","http://www.wichtel.de/","1989","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Stuttgarter Str. 23","","Stuttgart-Feuerbach","Baden-Württemberg","70469","","","48.761009","8.23147","N","N","N","Y","brewpub","Brewpub","DE","","Germany","DEU","276","","","","",""
"qMu5Rj","Wicked Beaver Brewing Company","Wicked Beaver is a West Texas Craft Brewery, formed in Spring of 2009. We are a hands-on Brewery, with no automation to speak of, this keeps us in touch with every batch of beer we brew.  	  On an old dirt road, far from the beaten path, deep in the midst of no-where lives a Wicked Beaver. Why is he Wicked, you may ask? He is Wicked from the ways of the world, so many demands, too many deadlines, minor appreciation, and never enough time. So with little more than the stick in his hand and the Hops in his hanker chief, he journeyed West. Upon arriving in the West he hopped from the tailgate, choked on the dust, and kicked a tumble weed rolling his direction. This is the West, the place full of opportunity “he asked himself” and sighed but after a few Wicked Cold months, the landscape began to change, grass became lush green, trees bloomed and the flowers opened. The Wicked Beaver found the warm days, and cool nights were perfect to pursue his passion.    The Wicked Beaver and his brewing partners have been Brewing Craft Specialty Beer’s in secret for years, perfecting the fragrant aroma by blending only best hops and hand selecting the Malted Barley for the most unique varieties of flavors and textures. The Wicked Beaver is ready to share his unique creations with you!","http://www.wickedbeaverbrewing.com/","2009","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","PO Box 942","Wolfforth","Texas","","806-833-6969","","33.508643","-102.008987","Y","N","N","Y","micro","Micro Brewery","US","2009","United States","USA","","","","","",""
