"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","extendedAddress","yearClosed","mailingListUrl"
"GptO9e","Pivovar Herold Beznice","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Nadrazni ul.","Beznice","","","420-318-682-047","","50.1618","13.46852","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"t9cCJ5","Pivovar Hradec Krlov","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Hradec Krlov","","","","","49.635768","13.122826","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"VTL0SW","Pivovar Klter Hradit","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","CZ-294 15 Klter Hradit nad Jizerou","Klter Hradit nad Jizerou","","","420-329-774-421","","49.803795","15.475265","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"r6SlF0","Pivovar Konrad","","http://www.pivo-konrad.cz/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Pivovarská 163","","Liberec XXX-Vratislavice nad Nisou","463 11","+420 485 393 231","","50.7526462","15.0880592","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"TQBZOR","Kout in Bohemian Forest Brewery","Kout Brewery was probably founded after disappearance of Rýzmberk castle during the 30 year war. In those days first beer from Kout was brewed and the history of “Kout na Šumavě” Brewery began.    First written records are however dated later in the first years of the 18th century. Records mention the year of 1736 as the foundation year. The brewery bloomed in the era when it belonged to the earl kin of Stadions when it was gradually expanded to current shape.    When the Stadion kin died off at the beginning of the 20th century, the brewery changed proprietary repeatedly and from 1924 until the end of World War II it belonged to the Schönborn kin.","http://www.pivovarkout.cz/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Kout na Šumavě 2","","Kout na Šumavě","345 02","+420 379 789 370","","","","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"7n3obx","Pivovar Nchod","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Dobroovsk 130","Nchod","","","420-491-407-111","","37.575624","127.053806","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"k6mclO","Pivovar Pardubice a.s.","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Palackho 250","Pardubice","","","420-466-511-321-4","","50.0355032","15.7620469","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"MQVQup","Pivovar Podkov","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Dkansk 201/10","Praha","","","420-326-356-222","","50.05127","14.474965","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"ykEF4G","Pivovar Starobrno","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hlinky 12","Brno","","","420-543-516-111","","49.191069","16.5917511","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"b3x3Dh","Pivovar v Hurbanove","","http://www.zlatybazant.sk/eng/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Novozamocka Cesta 2","Hurbanovo","","","421-35 765-41-11","","47.8808758","18.1972355","Y","N","N","Y","micro","Micro Brewery","SK","","Slovakia","SVK","703","","",""
"DNfrN8","Pivovar Velk Popovice","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Ringhofferova 1","Velk Popovice","","","420-204/623-111","","49.9225319","14.6360806","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"8C6fp0","Pivovarna Laško","The historical beginnings of Pivovarna Laško reach back to 1825, when the mead and gingerbread maker Franz Geyer set up a brewery in the former Valvasor Hospital, which still stands today. One hundred and eighty five years have passed since then, with Pivovarna Laško growing from a local brewery to the leading producer of beer and together with other companies in the Group, into the leading producer of mineral and natural waters, non-alcoholic beverages and other beverages on the Slovene market.    Beverages production belongs to the more competitive industries, where multinational corporations, commercial companies and demanding users play the most important roles.    Pivovarna Laško and the Laško Group are embarking on a path of development with the following basic business orientation: to produce and sell innovative trendy products, maintain the market position of its own brand names on the domestic market and to attain again and expand positions in foreign markets achieved in the past.  Furthermore, to use the most advanced technology in the development of appropriate production and commercial programs which guarantee the top quality of beer, non-alcoholic beverages and mineral and natural water.    The umbrella brand Laško is represented by the following products: the Laško Zlatorog, the special beers Laško Club, Laško Dark, and Laško Light,  the light beer Export Pils and the sweet beverage Laško Malt with apple and peach flavours. In addition to the above brands Pivovarna Laško also produces the Bandidos product line, a beer with added aromas and in three different flavours: Bandidos Tequila, Bandidos Ice and Bandidos Sun. The Bandidos brand image was entirely renewed in spring 2010 to get even closer to its target population.    For special occasions Pivovarna Laško brews unique beers, such as the Jubilejnik and Eliksir beers. Pivovarna Laško entered an entirely new field in 2010, when it launched on the Slovenian market a novelty in the category of beverages, namely the apple cider, under the brand name iC Cider.      Despite the harsh market conditions Pivovarna Laško, d. d. maintained its position of leading beer producer in Slovenia.    The Pivovarna Laško Group today includes producers of beer, mineral, spring and natural waters, non-alcoholic beverages, spirits and other alcoholic drinks, and syrups for the productions of drinks, and also a newspaper and publishing activity.","http://www.pivo-lasko.si/","1825","N","https://s3.amazonaws.com/brewerydbapi/brewery/jNvzFs/upload_jdgLWU-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jNvzFs/upload_jdgLWU-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jNvzFs/upload_jdgLWU-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Trubarjeva ulica 28","Laško","","`````","+386 3 734 80 00","","50.593349","23.23594","Y","N","N","Y","production","Production Facility","SI","","Slovenia","SVN","705","","",""
"L6CdMG","Pivovarna Union","","http://www.pivo-union.si/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Pivovarniska 2","","Ljubljana","1000","+ 38614717210","","46.0602456","14.5005419","Y","N","N","Y","micro","Micro Brewery","SI","","Slovenia","SVN","705","","",""
"phOfWZ","Pivovary Staropramen","","http://www.staropramen.com","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Nadrazni 84","Praha","","150 54","","","50.0685482","14.4065621","Y","N","N","Y","micro","Micro Brewery","CZ","","Czech Republic","CZE","203","","",""
"S17Tg0","Pivzavod Baltika","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Promzona Parnas-4, 6 Proyezd, 9 Kvartal","Sankt-Peterburg","Sankt-Peterburg","","7-812-329-91-01","","60.12318","30.173203","Y","N","N","Y","micro","Micro Brewery","RU","","Russian Federation","RUS","643","","",""
"NOr3d2","Pixel Brewing Co","A love affair with American style beers, too much home brewing experience and the need to get out of the office and start doing what we love saw Pixel Brewing Co established in May 2013.    Pixel Brewing Co is a little brewing company based in Sydney producing hand crafted beers brewed in seriously small batches using only malt, water, hops & yeast. All Pixel beers are unfiltered, un-pasteurised, bottle conditioned and full of flavour. Pixel Brewing Co is presently brewing under contract at HopDog BeerWorks until a suitable location for our own brewing facility can be found.    The name Pixel Brewing Co was born of time (mis)spent working in the IT industry by founder & brewer Kieran Allen.","http://www.pixelbrewingco.com.au","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/zuVNrl/upload_kHz2MO-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/zuVNrl/upload_kHz2MO-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/zuVNrl/upload_kHz2MO-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Sydney","","0423 170 350","","-33.8674869","151.2069902","Y","N","N","Y","micro","Micro Brewery","AU","2013","Australia","AUS","36","","",""
"4KqHpR","Pizza Beer Company","Chef Tom and Mamma Mia aren't the only folks that have discovered how great recipes using Mamma Mia Pizza Beer truly can be. Just ask the owners of Michel Angelo's Pizza & Pasta, Ream's Elburn Market, Josefs Elegante Meat and Deli, and the constantly growing list of fine establishments that now or will soon be featuring food products made with Mamma Mia Pizza Beer. Whether it's used in bread, crusts, meats and even fried fish batter, Mamma Mia Pizza Beer truly is expanding the meaning of The World's First Culinary Beer!","http://www.pizzabeer.net/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5N404 Harvest Lane","St Charles","Illinois","60175","630-377-6888","","41.945504","-88.45071","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"QBZAUO","Pizza Boy Brewing","","http://www.pizzaboybrewing.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/osLNb3/upload_CK5wW6-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/osLNb3/upload_CK5wW6-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/osLNb3/upload_CK5wW6-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2240 Millenium Way","Enola","Pennsylvania","17025","717-728-3840","Sun - Wed 11 am - 10 pm  Thurs - Sat 11 am - 11 pm","40.2887287","-76.9698583","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","",""
"DrFlD0","Carlsbad","Back in March of 1987 Gina and Vince Marsaglia, a pair of siblings in their 20′s, bought a struggling pizza place in the sleepy coastal town of Solana Beach, just north of San Diego. From a funky storefront on the famous Pacific Coast Highway the duo ran the “Pizza Port” with a classic menu of pizza and chicken wings to which they added their own “San Diego” twist.  The Original Pizza Port in Solana Beach    The parking was limited and the building crowded with simple hand-built picnic tables and a hodge-podge décor of surf-related paraphernalia almost at odds with the sophisticated flavors of the food. But word spread quickly and it wasn’t long before Pizza Port was a local favorite.     Early on Vince took advantage of free space in the restaurant’s storage area to dabble with home brewing. The hobby took off and he was eventually brewing more than could reasonably be consumed at home. So at the urging of friends and fans, the Vince and Gina decided to go into the brewpub business. Pizza Port offered its first craft-brewed beers to patrons in 1992.     Embracing the same “flavor-driven” principles that had made the pizza menu so popular, Pizza Port quickly gained a reputation in San Diego’s nascent craft beer scene. In 1997 the company opened a second location a few miles north of Solana Beach in Carlsbad, and a third in 2003 in San Clemente. The same year San Clemente opened (as well as the year after), the original location in Solana Beach won Great American Beer Festival “Small Brewpub of the Year”.     The Pizza Port family’s reputation for great foods and craft beer continued to grow, making them landmarks not just for Southern Californians, but for beer lovers from around the world. In 2008 they opened a premium bottle shop with more that 600 craft beers adjacent to the Carlsbad locations, and by the end of the first decade of the 21st century, the Pizza Ports were a brewing dynasty. In 2009 the Pizza Ports won a staggering 9 medals at the 2009 Great American Beer Festival and Pizza Port Carlsbad was named “Large Brewpub of the Year”.","http://www.pizzaport.com/locations/carlsbad/","1987","N","https://s3.amazonaws.com/brewerydbapi/brewery/QSVVxD/upload_Yqeh6Z-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/QSVVxD/upload_Yqeh6Z-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/QSVVxD/upload_Yqeh6Z-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","571 Carlsbad Village Dr.","Carlsbad","California","92008","760-720-7007","","33.1596505","-117.3478111","N","N","N","Y","brewpub","Brewpub","US","1997","United States","USA","","","",""
"qAyZMR","Solana Beach","","http://www.pizzaport.com/category-s/1820.htm","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","135 N. Highway 101","Solana Beach","California","92075","858-481-7332","Sun - Thur - 11am - 10pm  Fri - Sat. - 11am - Midnight","32.992923","-117.272216","N","N","N","Y","brewpub","Brewpub","US","1987","United States","USA","","","",""
"2uocba","Ocean Beach","","http://www.pizzaport.com/category-s/1819.htm","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1956 Bacon St.","Ocean Beach","California","92107","619-224-4700","Sun – Thur: 11am – 10pm  Fri - Sat: 11am - Midnight","32.7479309","-117.2502992","N","N","N","Y","brewpub","Brewpub","US","2010","United States","USA","","","",""
"fEXQl1","San Clemente","","http://www.pizzaport.com/category-s/1821.htm","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","301 N. El Camino Real","San Clemente","California","92672","949-940-0005","Sun - Thur - 11am - 10pm  Fri - Sat. - 11am - 11pm","33.4287496","-117.6135563","N","N","N","Y","brewpub","Brewpub","US","2003","United States","USA","","","",""
"BAGW0w","Pizza Port Bressi Ranch","","","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2730 Gateway Rd","Carlsbad","CA","92009","760-707-1655","Mon - Thu: 11:00 am - 10:00 pm  Fri - Sat: 11:00 am - 11:00 pm  Sun: 11:00 am - 10:00 pm","33.1281592","-117.2514615","N","N","N","Y","production","Production Facility","US","2013","United States","USA","","","",""
"geZ5ys","Pizzeria Uno Chicago Grill & Brewery","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-09-26 13:47:45","61 US Highway 1 South","Metuchen","New Jersey","08840","1-732-548-7979","","40.5475253","-74.3267168","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"IyHu8J","Placerville Brewing Co","","http://www.placervillebrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","155 Placerville Dr","Placerville","California","95667","530-295-9166","","38.725771","-120.836491","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","",""
"WpXfLJ","Plan 9 Alehouse","We believe our calling is to create beer and food with character and depth using the simplest and purest means.     We strive to use unconventional ingredients, and will proudly state what we put into our beer and food.    We are inspired by those in the brewing community who are pushing the limits of what ""beer"" is, and can be.     We wouldn't be here if it weren't for great breweries who came before us, and continue to inspire us.    We hope to do a little inspiring and influencing of our own.","http://www.plan9alehouse.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/IO1Z7j/upload_6vGEXp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IO1Z7j/upload_6vGEXp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IO1Z7j/upload_6vGEXp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","155 E. Grand Avenue","Escondido","California","92025","(760) 489-8817","Tue - Thu: 11:30 am - 11:00 pm  Fri - Sat: 11:30 am - 12:00 am  Sun: 12:00 pm - 9:00 pm","33.121926","-117.080184","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"vI0iHk","Plan 9 Brewing","Plan 9 Brewing Co is a Las Vegas start up brewery focusing on specialty brews in smaller batches, with a belief that smaller is better. A care and dedication to the craft beer market.    Plan 9 Brewing Co is founded by Brew Master Steve who garnered his love of beer while living in England. The history of beer there was a true draw for Steve who studied the styles of Southern England to see how they differed from the rest of the world, and its that education that influences all of Plan 9 Brewing’s styles. Melding old world beer with the new world mentality.    Plan 9 Brewing Co will be bringing you on tap services to local area bars as well as 22 oz ‘bombers’ to select retailers.","http://plan9brewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Las Vegas","Nevada","","","","36.171915","-115.139974","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"ZEOk25","Planetary Brewing Company","A 2 Barrel capacity Nanobrewery, Planetary Brewing Company is dedicated to the production of ales of the highest quality.    Our mission is to create for our customers ""An Otherworldly Experience,"" with an ever-changing lineup of supremely crafted ales.","http://www.planetarybrewing.com","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/sKYuNZ/upload_ktUXSJ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/sKYuNZ/upload_ktUXSJ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/sKYuNZ/upload_ktUXSJ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","500 S. Polk Street","Greenwood","Indiana","46143","","Friday 4pm-8pm  Saturday 12pm-6pm  Sunday 12pm-4pm","39.608572","-86.100033","Y","N","N","Y","nano","Nano Brewery","US","2012","United States","USA","","Suite 22","",""
"IO1Z7j","Plank Town Brewing Company","A microbrewery & restaurant located in the heart of historic downtown Springfield on the corner of 4th and Main in the Odd Fellows Building.     Kids are welcome to dine with their parents during all hours. No reservations accepted.","http://www.planktownbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/gGEH3a/upload_D7sf4l-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/gGEH3a/upload_D7sf4l-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/gGEH3a/upload_D7sf4l-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","346 Main Street","Springfield","Oregon","97477","(541) 746-1890","Mon - Thu: 11:00 am - 11:00 pm  Fri: 11:00 am - 12:00 am  Sat: 9:00 am - 12:00 am  Sun: 9:00 am - 11:00 pm","44.0463079","-123.0209937","Y","N","N","Y","brewpub","Brewpub","US","2012","United States","USA","","","",""
"vZBJHc","Platform Beer Co.","Cleveland's new brewery project focusing on creating a new platform for aspiring brewers to produce great beers for sale to the public. Through our Platform Brewer's Group Incubator we are preparing accomplished home brewers to ""go pro"" through our hands on training and business development.     We also brew high-quality craft beers for sale in our tasting room and throughout Northeast Ohio. Expect a mix of seasonal styles and homebrew inspired experimental beers. You never know what is next.....","http://Platformbeerco.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/qAUmbj/upload_PXRXj1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qAUmbj/upload_PXRXj1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qAUmbj/upload_PXRXj1-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4125 Lorain Ave","Cleveland","Ohio","44113","","","41.479855","-81.713959","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"wJDlpb","Platt Park Brewing Co.","","http://plattparkbrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-09-11 10:38:03","1875 S. Pearl St.","Denver","Colorado","80210","303-993-4002","Mon:  6:00pm - 10:00pm Tue:  3:00pm - 10:00pm, 3:00pm - 6:00pm, 7:00pm - 9:00pm Wed:  3:00pm - 10:00pm, 3:00pm - 6:00pm Thu:  3:00pm - 10:00pm, 3:00pm - 6:00pm Fri:  3:00pm - 12:00am, 3:00pm - 6:00pm Sat:  12:00pm - 12:00am Sun:  11:00am - 10:00pm  ","39.6825659","-104.9807821","N","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"XbjWRB","Platte Valley Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","14 East Railroad","Kearney","Nebraska","68847","1-308-237-0751","","40.695402","-99.0811677","Y","N","Y","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"rXBEFE","Pleasant House Brewing Company","Pleasant House Brewing Company is an independently owned microbrewery focusing on small-batch, true-to-style beers, especially traditional UK styles.    The original Pleasant House is an 1800s cottage that still looks out on the rolling green hills of rural Yorkshire, England. In the 1950s and ’60s, the Jackson family called Pleasant House home. Today, it is the inspiration behind husband and wife team Art and Chelsea Jackson’s Pleasant House restaurants and microbrewery. Our beers pair brilliantly with our award-winning, savory Royal Pies and other British-inspired, locally sourced specialties.    All of our microbrews are crafted on the premises in our historic 1887 building in Three Oaks, Michigan.","http://pleasanthousebrewingcompany.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/9JWNmr/upload_nPJPcS-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/9JWNmr/upload_nPJPcS-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/9JWNmr/upload_nPJPcS-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-19 18:48:51","9 North Elm Street","Three Oaks","Michigan","49128","269-756-3600","Thu:  4:00pm - 9:00pm Fri:  12:00pm - 9:00pm Sat:  12:00pm - 9:00pm Sun:  12:00pm - 8:00pm  Hours reflect kitchen and bar availability; limited bar hours thereafter.    Please note hours are Eastern Standard Time.","41.801362","-86.6108239","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
