"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","hoursOfOperation","extendedAddress","mailingListUrl","yearClosed"
"UKxizF","Shop","After nearly a decade of providing exceptional service and products for home brewers and winemakers, Valley Vintner & Brewer, 30 E 13th Ave, in downtown Eugene has changed it’s name to Falling Sky Brewing and expanded to bring Eugene a new Brew House, featuring handcrafted brews and locally sourced eats.","http://www.brewabeer.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/OwHCJM/upload_FdGGwj-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/OwHCJM/upload_FdGGwj-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/OwHCJM/upload_FdGGwj-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","30 E 13th Ave","Eugene","Oregon","97401","(541) 484-3322","44.0453893","-123.0918783","N","N","N","Y","office","Office","US","","United States","USA","","Mon-Fri   10am-7pm,  Sat 10am-6pm,  Sun 12pm-5pm","","",""
"6egX8g","Brewing House","","http://fallingskybrewing.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1334 Oak Alley","Eugene","Oregon","97401","(541) 505-7096","44.0451123","-123.0919565","Y","N","N","Y","brewpub","Brewpub","US","2012","United States","USA","","Sun-Wed: 11am-12am  Thur-Sat: 11am-1am","","",""
"gZYGbL","Pourhouse and Delicatessen","","http://fallingskybrewing.com/deli/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","790 Blair Blvd","Eugene","Oregon","97402","541-653-9167","44.0511904","-123.1049724","N","N","N","Y","restaurant","Restaurant/Ale House","US","2013","United States","USA","","Sun-Weds 11am-12am  Thurs-Sat 11am-1am","","",""
"AUl65m","Falls City Brewing Company","Falls City Beer is back! An old Louisville favorite has returned with a whole new recipe. Falls City Original Pale Ale is now available at dozens of local bars and restaurants. The new brew is made in the style of Falls City Pale Ale from the 1930’s. Falls City began as a craft beer in 1905, made in small batches with only the finest ingredients. As we start again, 105 years later, we are once again a craft beer with a commitment to quality and taste.","http://www.fallscitybeer.com/","1905","N","https://s3.amazonaws.com/brewerydbapi/brewery/DKKdmm/upload_vYZWuG-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/DKKdmm/upload_vYZWuG-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/DKKdmm/upload_vYZWuG-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","545 E. Barret Ave.","Louisville","Kentucky","40204","","38.246745","-85.731312","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"deFrF3","Familienbrauerei Bauhöfer","","http://www.ulmer-bier.de/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Ullenburg Straße 12","Renchen","","77871","","48.579718","8.048522","Y","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","276","","","",""
"XV35GT","Fanning Brewing Company","Fannin Brewing is a hometown brewery in a real place - beautiful Blue Ridge, GA. We combine our love for German beer, our experience making wine and our passion for the mountains to create world-class beer with a local focus. Local isn't just a word - we use local ingredients,name our beers for the beauty around us, and support our local community.","http://www.fanninbrewingcompany.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/lpAi1a/upload_pZqcjp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/lpAi1a/upload_pZqcjp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/lpAi1a/upload_pZqcjp-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-11 11:41:07","3758 East First Street","Blue Ridge","Georgia","30513","(706) 258-2762","34.8721688","-84.3157179","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Fri:  5:30pm - 7:30pm Sat:  1:00pm - 5:00pm  ","","",""
"INJWpy","Fantasy Brewmasters, LLC","Fantasy Brewmasters develops real beers inspired by the magical worlds of dwarves, wizards, and dragons. Our talented and growing team of artists, writers, and brewers are truly passionate about the genre; we strive for excellence in every aspect of the process.    Our brews are brought to life through detailed stories, rich artwork, and authentic recipes. We often look to history and mythology for inspiration, and round it out with a modern touch and professional presentation.","http://www.fantasybrewmasters.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","950 Commercial Blvd","Naples","Florida","34104","239-206-3247","26.161891","-81.753377","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"lD0Vgm","Fanø Bryghus","","http://www.fanoebryghus.dk/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/a1mQAQ/upload_QutyrA-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/a1mQAQ/upload_QutyrA-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/a1mQAQ/upload_QutyrA-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Srandvejen 5","","Nordby","DK-6720","+45 76 66 01 12","55.438903","8.395642","Y","N","N","Y","micro","Micro Brewery","DK","2009","Denmark","DNK","208","","","",""
"uh2KzP","Far West Ireland Brewing","(No longer brewing)","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Redmond","Washington","98052","1-425-869-5933","47.67856","-122.130994","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"BMC26E","Fargo Brewing Company","Fargo Brewing Company is a microbrewery starting up in Fargo, North Dakota. The four founders are Fargo natives who care about bringing hand crafted, artisan beer to the heartland.    Opening in 2011, the brewery will be devoted to crafting a premium product from bushel to bottle.    Join Fargo Brewing Company at their local events for free beer tastings and more information.","http://www.fargobrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/nrqMKx/upload_HUfUUB-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/nrqMKx/upload_HUfUUB-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/nrqMKx/upload_HUfUUB-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","610 N. University Dr.","Fargo","North Dakota","58102","701-478-2337","46.8829403","-96.7982035","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","","","",""
"X0l98q","Farmers and Brewers","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Washington","District of Columbia","","","38.89037","-77.031959","Y","Y","N","N","micro","Micro Brewery","US","","United States","USA","","","","",""
"lH3lYt","FarmHouse Brewery","FarmHouse Brewery wil be located in Newark Valley, NY, where we will operate as a Farm Brewery, growing and processing our own hops and grains grown here in Tioga County, NY. Come tour our on-site malthouse and learn how local handcrafted beer is engineered from ground to glass.    A NYS ""Farm Brewery"" with a Tap Room location in Owego, NY and a malthouse/brewery location in Newark Valley, NY. In our Tap Room we offer craft ales, hard cider, old-fashioned sodas and revolving taps for other NYS ""Farm Brewery"" libations.","http://www.thefarmhousebrewery.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/cQ9i6U/upload_wJYjKW-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cQ9i6U/upload_wJYjKW-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cQ9i6U/upload_wJYjKW-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","14 George St","Owego","New York","13827","(607) 227-0638","42.1112844","-76.2693323","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Wed - Thu: 3:00 pm - 7:00 pm  Fri: 3:00 pm - 8:00 pm  Sat: 12:00 pm - 7:00 pm  Sun: 1:00 pm - 6:00 pm","","",""
"iMxBF4","Farnam House Brewing Company","Farnam House Brewing Company is an exciting new brewpub located in Midtown Omaha at 3562 Farnam St. Farnam House specializes in farmhouse ales and barrel aged beers and offers a diverse food menu made with locally-sourced ingredients and beer-infused creations.","http://www.farnamhousebrewing.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/CeLR6u/upload_aUiPwg-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/CeLR6u/upload_aUiPwg-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/CeLR6u/upload_aUiPwg-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-25 14:16:08","3558 Farnam St","Omaha","Nebraska","68131","(402) 401-6086","41.2577549","-95.9657604","Y","N","N","Y","brewpub","Brewpub","US","2013","United States","USA","","Mon:  11:00am - 10:00pm Tue:  11:00am - 10:00pm Wed:  11:00am - 10:00pm Thu:  11:00am - 10:00pm Fri:  11:00am - 12:00am Sat:  11:00am - 12:00am  ","","",""
"m5dGjh","Farnham Ale & Lager","Farnham Ale & Lager is a microbrewery in Farnham,  Québec with four primary beers identified by their bitterness level.","http://farnham-alelager.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/ObHayQ/upload_Wk9UAu-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ObHayQ/upload_Wk9UAu-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ObHayQ/upload_Wk9UAu-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","401 Blvd Normandie N","Farnham","Quebec","J2N 1W5","+1 450-293-1116","45.2825066","-72.9889574","Y","N","N","N","micro","Micro Brewery","CA","2013","Canada","CAN","124","","","",""
"9KTxIH","Farnum Hill Ciders","Farnum Hill Ciders fulfill the true meaning of the word “cider” -- alcoholic beverages fermented from apples, exactly as wines are fermented from grapes. But not just any apples: in our orchards grow more inedible tannic weird genuine cider apple varieties than anywhere else in the States. Many originated in the gentler climates of France or England. In our tough conditions, these varieties produce intense, concentrated flavors and aromas not typical in their home regions.  Our own ciders, at 6.5-7.5% alcohol, tend toward the dry, sharp, fruity and bountifully aromatic. We intend them to gladden the moment and to freshen the flavors of companionable foods. We are proud of Farnum Hill Ciders, and we are authoritatively told that, for now at least, they are the best-made ciders in America.  Let's hope many more Eastern apple-growers will learn the craft and horticulture of cidermaking, and that distinctive American orchard-based ciders, now too rare, will return to their pre-Prohibition glory and variety. Johnny Appleseed planted the frontier for cider, after all -- “Mom and apple pie” came later, blotting out certain enjoyable truths from the national memory. But now cider -- real cider -- is back.","http://www.farnumhillciders.com/","1990","N","https://s3.amazonaws.com/brewerydbapi/brewery/7rarEm/upload_nyO43C-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/7rarEm/upload_nyO43C-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/7rarEm/upload_nyO43C-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-26 13:21:30","98 Poverty Lane","Lebanon","New Hampshire","03766","603-448-1511","43.6026573","-72.2890005","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"leClRi","Fat Bottom Brewing","Fat Bottom’s full-flavored brews are bigger and more exciting than other beers in town. Our signature brews represent a sophisticated array of styles perfected over many years, with a few unique twists. Ben has refined each recipe and sourced the highest quality ingredients for every batch of specially crafted Fat Bottom beer.    Our beer is unfiltered, so you can savor the unique cloudy appearance and subtle flavors that truly bring craft beer to life. We like the bolder hops flavors, distinct body of aromas, and the beautiful color compounds that come from the natural grains. Unfiltered beers also have more nutrients from yeast and barley malt, including B vitamins which have been shown to reduce the effects of hangovers… a little added benefit for those of us who seriously love beer.","http://www.fatbottombrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/aX1vnT/upload_SbveR1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/aX1vnT/upload_SbveR1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/aX1vnT/upload_SbveR1-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","900 Main Street","Nashville","Tennessee","37206","","36.175993","-86.757133","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Tues - Sat: 4:00pm - 10:00pm  Sat: 2:00pm - 10:pm","","",""
"NxvZb9","Fat Boy Brewing Co","","http://www.fatboybeer.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","9770 S 20th St","Oak Creek","Wisconsin","53154","414-761-6366","42.8674848","-87.9433013","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"M5VpZt","Cleveland","Fat Head's was founded in 1992 as a premiere craft beer tap house and restaurant in Pittsburgh, PA. In 2009 we expanded to Ohio and teamed up with our award-winning Head Brewmaster. With the explosion in popularity came the necessity to open a full-scale production brewery in 2012. Fat Head's Brewery produces original ales and lagers for distribution throughout Ohio and Western Pennsylvania.","http://fatheadscleveland.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/BCPuYp/upload_0PbMMn-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/BCPuYp/upload_0PbMMn-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/BCPuYp/upload_0PbMMn-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","24581 Lorain Rd","North Olmsted","Ohio","44070","(440) 801-1001","41.426344","-81.894163","N","N","N","N","brewpub","Brewpub","US","2009","United States","USA","","Mon - Thu: 11:00 am - 12:00 am  Fri - Sat: 11:00 am - 1:00 am  Sun: 11:00 am - 11:00 pm","","",""
"dh7I4h","Pittsburgh","","http://www.fatheadspittsburgh.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1805 East Carson Street","Pittsburgh","Pennsylvania","15203","(412) 431-7433","40.42901","-79.980141","N","N","N","Y","brewpub","Brewpub","US","1992","United States","USA","","Mon - Sat: 11:00 am - 1:30 am  Sun: 11:00 am - 12:00 am","","",""
"G0q6E8","","","http://www.fatheadsbeer.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","18741 Sheldon Road","Middleburg Heights","Ohio","44130","(216) 898-0242","41.3891014","-81.8327288","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"DZ7ahi","Fate Brewing Company","We do things a bit differently at Fate. Our beers are brewed in small batches, which means you'll find steadily rotating traditional favorites, experimentals, seasonals and cask conditioned ales on tap exclusively at the brewpub. At Fate you'll be offered a nifty opportunity to develop and expand your taste profile with our ever changing distinctive beers and wood-fired pizzas. Join us for a pint and a pie at Scottsdale's very own micro brewpub and put Fate in your hands!","http://www.fatebrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/tWzRix/upload_02tXIz-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/tWzRix/upload_02tXIz-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/tWzRix/upload_02tXIz-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7337 E. Shea Blvd.","Scottsdale","Arizona","85258","(480) 994-1275","33.581506","-111.92342","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Mon - Thu: 11:00 am - 10:00 pm  Fri - Sat: 11:00 am - 11:00 pm  Sun: 11:00 am - 10:00 pm","Ste. 105","",""
"K5hc6A","FATE Brewing Company","FATE Brewing Company is Boulder’s first brew-bistro and your new place to enjoy chef-inspired, gourmet creations with unique, handcrafted microbrews. Local ingredients are featured on the lunch, brunch, and dinner menus and the full bar with 30 taps feature house drafts and rotating guest beer. Stop by for a pint and a bite at 1600 38th Street and Arapahoe Road (one block west of Foothills Parkway) in Boulder, Colorado.","http://fatebrewingcompany.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/mEhLzL/upload_9ANdl1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/mEhLzL/upload_9ANdl1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/mEhLzL/upload_9ANdl1-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1600 38th Street","Boulder","Colorado","80301","303.449.FATE","40.0142835","-105.2478613","Y","N","N","Y","brewpub","Brewpub","US","2012","United States","USA","","Lunch 11am-4pm Mon-Fri  Dinner 4pm Seven Days a Week   Brunch 10am-4pm Sat-Sun  Happy Hour 3-5:30pm Mon-Fri  Sunday Brewery Tour 4pm","","",""
