"id","name","website","established","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","description","phone","yearOpened","images__icon","images__medium","images__large","hoursOfOperation","extendedAddress","yearClosed","mailingListUrl"
"D5Xgrq","Brauhaus Eutin","http://www.brauhaus-eutin.de/","1999","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Markt 11","Eutin","Schlewsig-Holstein","23701","54.136689","10.616788","N","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"SBrAip","Brauhaus Faust","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hauptstrae 219","Miltenberg","Bayern","","49.69929","9.24923","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","49-(0)9371-/-9713-0","","","","","","","",""
"kFMvGK","Brauhaus Frankenberger","","2009","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Lothringerstrasse 112","Aachen","North Rhine-Westphalia","52070","50.76939","6.10054","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"kdDxQu","Brauhaus Friedrichroda","","1989","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bachstraße 14","Friedrichroda","Hessen","D-99894","50.856241","10.639634","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"bVrLGO","Brauhaus Georgbræu","http://www.georgbraeu.de/","1991","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Spreeufer 4","Berlin","Berlin","10178","52.51646","13.405201","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"sMEWAk","Brauhaus Goldener Engel","http://www.brauhausgoldenerengel.de/","2007","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Neisser Straße 1","Ingelheim","Rheinland-Pfalz","55218","49.970295","8.059935","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"vQb0mg","Brauhaus Goslar","http://www.brauhaus-goslar.de/","2004","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","An der Abzucht 1a","Goslar","Lower Saxony","38640","51.907319","10.436507","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"2WxaR0","Brauhaus Grünstadt","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Turnstraße 7","Grünstadt","Rheinland-Pfalz","67269","49.561538","8.164807","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"fmeNDi","Brauhaus Hartmannsdorf GmbH","http://www.braha.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Chemnitzer Straße 5","Hartmannsdorf","","09232","50.886344","12.802208","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"mGMxmW","Brauhaus in Spandau","","1994","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Neuendorfer Straße 1","Spandau","Berlin","D-13585","52.540806","13.206135","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"fUzzT8","Dsseldorf","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Niederkasseler Strae 104","Dsseldorf","Nordrhein-Westfalen","","51.24044","6.75157","Y","N","N","N","micro","Micro Brewery","DE","Germany","DEU","276","","49-(0)211-/-570129","","","","","","","",""
"HoincZ","Konstanz","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Konradigasse 2","Konstanz","Baden-Wrttemberg","","47.66508","9.175","N","N","N","N","micro","Micro Brewery","DE","Germany","DEU","276","","49-(0)7531-/-25045","","","","","","","",""
"X7fpqb","Brauhaus Johann Friedrich Irle GmbH","","1693","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hauptstraße 18","Siegen","Nordrhein-Westfalen","D-57074","50.871101","8.061158","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"l3wQR8","Brauhaus Jupiter","http://www.brauhausjupiter.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Keltergasse 21","Sinsheim-Steinsfurt","Baden-Württemberg","74889","49.239208","8.907043","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"ou0zOE","Brauhaus Kloster Machern","http://www.brauhaus-kloster-machern.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","An der Zeltinger Brücke","Bernkastel-Wehlen","Rheinland-Pfalz","54470","49.914305","7.06984","N","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"YwkMHV","Brauhaus Kühler Krug","","2002","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Wilhelm-Baur-Straße 3a","Karlsruhe","Baden-Württemberg","D-76135","49.018225","8.414965","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"7cK7Z8","Brauhaus Mitte","http://www.brauhaus-mitte.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Karl-Liebknecht-Straße 13","Berlin","Berlin","10178","52.522185","13.408885","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"Dpa9Pp","Brauhaus Müritz","http://www.brauhaus-mueritz.de/","2008","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Tiefwarensee 1","Waren","","17192","53.51094","12.78299","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"RX3n5Q","Brauhaus Obermühle","","2001","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Gebrüder-Wahl-Strasse 19","Braunfels","Sachsen","D-35619","50.542843","8.510667","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"4VZysG","Brauhaus Onuma","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Onuma","Onuma","Hokkaido","","43.454679","144.114456","Y","N","N","Y","micro","Micro Brewery","JP","Japan","JPN","392","","81-0138-67-2227","","","","","","","",""
"lsVvbw","Brauhaus Pforzheim","http://www.brauhaus-pforzheim.de/","1889","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","St.Georgen Steige 12","","Pforzheim","75175","48.886764","8.706501","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"Hyyhug","Brauhaus Pirna Zum Giesser","http://www.brauhaus-pirna.de/","1998","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Basteistraße 60","Pirna-Copitz, Saxony","Sachsen","01796","50.956621","13.952654","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"UU1oEt","Brauhaus Sacher","http://www.brauhaus-sacher.de/","2004","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hertichstraße 56","Leonberg","Baden-Württemberg","71229","48.786636","8.999978","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"unx1hA","Brauhaus Schillerbad GmbH","","1994","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Jokuschstraße 3","Lüdenscheid","Nordrhein-Westfalen","D-58511","51.213745","7.63174","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"gpIn1h","Brauhaus Sion","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Unter Taschenmacher 5-7","Kln","Nordrhein-Westfalen","","50.93937","6.95935","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","49-(0)221-/-2578540","","","","","","","",""
"6bp6J2","Brauhaus Stadtkrug","http://www.stadtkrug-ueckermuende.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Markt 3/4","Ueckermünde","Mecklenburg-Vorpommern","17373","53.73559","14.047765","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"Kvwj49","Brauhaus Steinfeld","","2008","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Große Straße 14","Steinfeld (Oldenburg)","Niedersachsen","D-49439","52.586863","8.217186","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"VbvIxS","Brauhaus Stephanus","http://www.brauhausstephanus.de/","1990","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Overhagenweg 1","Coesfeld","North Rhine-Westphalia","48653","51.93701","7.156428","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"J91bB8","Brauhaus Sternen","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hohenzornstrasse 2","Frauenfeld","","","47.5584694","8.9005734","Y","N","N","Y","micro","Micro Brewery","CH","Switzerland","CHE","756","","41-052-728-99-09","","","","","","","",""
"oKER8M","Brauhaus Stiefel-Jürgens","http://www.stiefel-juergens.de/","1680","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hühlstr. 4-6","Beckum","","59269","51.757955","8.04231","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"q9IxZG","Brauhaus Südstern","http://www.brauhaus-suedstern.de/","2001","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hasenheide 69","Berlin","Berlin","10967","52.488611","13.410513","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"w7m2V1","Brauhaus Trotzenburg","http://www.brauhaus-trotzenburg.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Tiergartenallee 6","Rostock","Mecklenburg-Vorpommern","18059","54.079913","12.087807","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"f2bufj","Bräuhaus Ummendorf","","1870","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bachstraße 10","Ummendorf","Baden-Württemberg","D-88444","48.063309","9.83244","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"9we9d5","Brauhaus Urfels GmbH","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Römerstraße 109","Walsum","Nordrhein-Westfalen","","51.533025","6.70829","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"hIOu6r","Brauhaus Weltenbummler","","2003","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Sebastian-Kneipp Straße 6","Bad Gottleuba-Berggießhübel","Sachsen","D-01818","50.928181","13.45681","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"xRb3Is","Brauhaus Weyhausen","http://www.hotel-brauhaus.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bokensdorfer Straße 2","Weyhausen","Niedersachsen","38554","52.462594","10.713729","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"oOlTlB","Brauhaus Wiesenmühle","","1990","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Wiesenmühlenstraße 13","Fulda","Hesse","D-36037","50.55356","9.674695","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"GLphZ4","Brauhaus Wittenberg","http://www.brauhaus-wittenberg.de/","1999","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Markt 6","Lutherstadt Wittenberg","Sachsen-Anhalt","","51.866149","12.643824","N","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"baONtD","Brauhaus Zils","http://www.brauhaus-zils.de/","1896","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Waldstrasse 1","Naurath","Rheinland-Pfalz","54340","49.808271","6.764987","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"OCEjlN","Brauhaus zu Röglitz","http://www.brauhaus-zu-roeglitz.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Röglitzer Hauptstraße 40","","Schkopau","06258","51.39025","12.04188","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"kRIRLc","Brauhaus Zum Löwen","","1992","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Kornmarkt 3","Mühlhausen","Thüringen","D-99974","51.208363","10.457035","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"zhO2k0","Brauhaus zum Ritter","http://www.brauhaus-zum-ritter.de/","1997","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Schlossplatz 1","Schwetzingen","Baden-Württemberg","68723","42.28619","-97.193235","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"GyTgea","Brauhaus zur Post","http://www.brauhaus-zur-post.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Neumayerring 45","Frankenthal","Rhineland-Palatinate","67227","49.534657","8.350637","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"1D8Zd9","Brauhaus Zwickau","http://www.brauhaus-zwickau.de/","2001","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Peter-Breuer-straße 12","Zwickau","Sachsen","08056","50.705986","12.497355","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"mlcTPZ","Brauhaus Zwiebel","http://www.brauhaus-zwiebel.de/","1993","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Ulricherstr 24","Soest","North Rhine-Westphalia","59494","51.568662","8.107626","N","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","","","","","",""
"uUd29P","Brauhof Wilshaus","http://www.brauhof-wilshaus.de/","2001","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Baumstraße 46","Hamm","North Rhine-Westphalia","59071","51.675241","7.875594","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"QWYlpK","Braumanufaktur Forsthaus Templin","http://www.braumanufaktur.de/","2003","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Templiner Straße 102","Potsdam","Brandenburg","14473","52.383877","13.074271","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"qj5Vp8","Brauscheune Rumpelstilz","http://www.rumpelstilz-brauscheune.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Dorfstraße 19","Krummenhagen","Mecklenburg-Vorpommern","18442","54.224549","12.979525","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"aNxqXp","","","","","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Mecklenburg-Vorpommern","","53.89747","12.503205","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"cpgM4F","Braustolz Brauerei","http://www.braustolz.de/","1868","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Feldschlößchen 18","","Chemnitz","D-09116","50.798324","12.862028","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"vSkPKZ","Brausttte der Steirerbrau Aktiengesellschaft","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Reiningshausstrae 1-7","Graz","","","47.068565","15.44318","Y","N","N","Y","micro","Micro Brewery","AT","Austria","AUT","40","","43-0316/502-3545","","","","","","","",""
"vcWWry","Brauwerk Braun & Röth","http://www.brauwerk.info/","2010","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Saline Karlshalle 11","Bad Kreuznach","Rheinland-Pfalz","55543","49.828","7.85027","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","",""
"jrVt5k","Brävery Brewing","http://www.braverybrewing.com/","2011","N","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:36:28","42705 8th Street W","Lancaster","California","93534","34.6602274","-118.1456132","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","We are a micro-brewery that crafts adventurous, memorable, and delicious beers for our community.","661-951-4677","","https://s3.amazonaws.com/brewerydbapi/brewery/MNADKT/upload_bWgu1o-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/MNADKT/upload_bWgu1o-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/MNADKT/upload_bWgu1o-large.png","Thu:  4:00pm - 10:00pm Fri:  4:00pm - 10:00pm Sat:  2:00pm - 10:00pm Sun:  12:00pm - 7:00pm  Thu - Fri:4:00 pm - 10:00 pm  Sat:2:00 pm - 10:00 pm  Sun:12:00 pm - 7:00 pm","","",""
"y0too2","Bravo Zulu Brewing","http://www.bravozulubrewing.com/","2013","N","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:36:28","6060 Us Highway 31","N Williamsburg","Michigan","49690","44.7749272","-85.4994052","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Bravo Zulu Brewing is a production brewery dedicated to patriots who serve their community and country.","(231) 943-1459","2013","https://s3.amazonaws.com/brewerydbapi/brewery/KZHVw2/upload_QrEGU0-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/KZHVw2/upload_QrEGU0-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/KZHVw2/upload_QrEGU0-large.png","Mon:  1:00pm - 2:00am Tue:  1:00pm - 2:00am Wed:  1:00pm - 2:00am Thu:  1:00pm - 2:00am Fri:  1:00pm - 2:00am Sat:  1:00pm - 2:00am Sun:  12:00pm - 12:00am  Mon - Sat: 1:00 pm - 2:00 am  Sun: 12:00 pm - 12:00 am","","",""
"XmTDU0","Bravo! Restaurant and Cafe","http://bravokalamazoo.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5402 Portage Road","Kalamazoo","Michigan","49002","42.2385078","-85.5601469","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Our Bravo! Handcrafted beer is made in-house by our award winning chefs. We are one of the only restaurants in Kalamazoo to brew their own beer. We brew beer in small batches using natural ingredients. We never use additives or extracts. Our slow fermentation and use of all grains create the natural malt flavors of high-quality beers. Our beers have refreshing and crisp flavors which our Chef's enjoy pairing with our menu offerings.","269-344-7700","","https://s3.amazonaws.com/brewerydbapi/brewery/aJuafi/upload_lruJLp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/aJuafi/upload_lruJLp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/aJuafi/upload_lruJLp-large.png","","","",""
"A6C1dR","Bray's Brewpub And Eatery","http://braysbrewpub.com/","1995","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","678 Roosevelt Trl","Naples","Maine","04055","43.9572916","-70.56193","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","In a Victorian farmhouse, in the heart of the Lakes Region of Maine, Bray's Brew Pub & Eatery has been serving up the best food and hand-crafted ales in Naples since 1995.","207-693-6806","1995","https://s3.amazonaws.com/brewerydbapi/brewery/CddOp9/upload_mIlRDp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/CddOp9/upload_mIlRDp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/CddOp9/upload_mIlRDp-large.png","","","",""
"mPupms","Brays Brewing Co, Inc","http://www.braysbrewpub.com/index1.html","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","678 Roosevelt Trl","Naples","Maine","04055","43.9572916","-70.56193","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","207-693-6806","","","","","","","",""
"iK5kPQ","Brazos Valley Brewing Company","http://brazosvalleybrewery.com/","2013","N","verified","Verified","2012-01-03 02:41:33","2014-09-30 13:43:29","201 W. 1st St","Brenham","Texas","77833","30.1646551","-96.3986938","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","BVB was founded in 2013 by a five man team of craft brewing enthusiasts. We make high quality craft beers for the people of Texas and have a variety of styles thoughtfully created using our passion for tasteful ales.","979-987-1133","2013","https://s3.amazonaws.com/brewerydbapi/brewery/Kpk4e9/upload_JCSbMF-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Kpk4e9/upload_JCSbMF-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Kpk4e9/upload_JCSbMF-large.png","","","",""
"OjddwJ","Breaker Brewing Company","http://www.breakerbrewingcompany.com/","2005","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","50 Powell St","Plains","Pennsylvania","18705","41.285266","-75.847067","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","The idea of The Breaker Brewing Company resulted when long time friends, Chris Miller and Mark Lehman, decided it was time to take their interest and appreciation of fine craft beer to the next level. Their intrigue in the complexity of the brewing process coupled with their quest to make a quality product, led to their decision to start creating their own beer.","570-392-9078","2005","https://s3.amazonaws.com/brewerydbapi/brewery/oxMCya/upload_foHdAI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/oxMCya/upload_foHdAI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/oxMCya/upload_foHdAI-large.png","","","",""
"13MS5k","Breakside Brewery","http://www.breaksidebrews.com/","2010","N","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:36:29","820 Northeast Dekum St","Portland","Oregon","97211","45.571532","-122.6567911","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Breakside Brewery is the invention of Scott Lawrence and Tony Petraglia. Some mutual friends introduced the two after learning they both had a desire to leave their corporate jobs in order to pursue their dream of opening a brew pub. They jumped in head first and committed their minimal financial resources and made it happen.","503-719-6475","2010","https://s3.amazonaws.com/brewerydbapi/brewery/bdjbTZ/upload_n5RZyg-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/bdjbTZ/upload_n5RZyg-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/bdjbTZ/upload_n5RZyg-large.png","Sunday: 12-10ish  Monday: 3-10ish  Tuesday: 3-10ish  Wednesday: 3-10ish  Thursday: 3-10ish  Friday: 12-11ish  Saturday: 12-11ish","","",""
"dN5GFB","Breakwater Brewing Company","http://www.breakwaterbrewing.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","101 N Coast Hwy","Oceanside","California","92054","33.1951283","-117.3790419","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Great food and amazing house brews , and 28 guest beers this is just a positive new addition to downtown Oceanside, just blocks from the pier. Perfect for family and friends.","760-433-6064","","","","","","Suite c140","",""
"s0WsY3","Global Headquarters & Tasting Room","http://www.breckbrew.com/","1990","N","verified","Verified","2012-01-03 02:41:33","2014-09-11 10:27:14","471 Kalamath Street","Denver","Colorado","80204","39.7236683","-105.0006015","Y","N","N","Y","production","Production Facility","US","United States","USA","","Breckenridge Brewery was founded in 1990 in Breckenridge, Colorado. In the past two plus decades Breckenridge Brewery has grown from a small 3,000-barrels-a-year brewpub to one of the most successful craft beer and restaurant companies in the nation. It now handcrafts more than 70,000 barrels of fresh beer annually and owns and operates five brewpubs and ale houses in the state of Colorado. For more information visit www.breckbrew.com.","303-623-2739","1990","https://s3.amazonaws.com/brewerydbapi/brewery/IImUD9/upload_EE1aPW-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IImUD9/upload_EE1aPW-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IImUD9/upload_EE1aPW-large.png","","","",""
