"id","name","description","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","website","numberCode","yearOpened","extendedAddress","mailingListUrl","yearClosed","isoCode"
"Ekq5lL","Bellows Brew Crew","Bellows moved from Waunakee to Watertown in December 2001. Their new location sports a ten-barrel brewhouse in the front window, and a pool table in the back. I'm told their building will allow them to triple their ground-level floor space, and there's also a huge banquet-type room on the second floor, and a ballroom on the third, so watch for some major expansion here in the future.","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","201 East Main Street","Watertown","Wisconsin","53094","920-206-9505","","43.193936","-88.7229459","Y","N","Y","N","micro","Micro Brewery","US","United States","USA","","","","","","",""
"r4Ytum","Bellwether Hard Cider Company","Bellwether Hard Cider is owned and operated by Cheryl and Bill Barton.  We started the business in 1999, inspired by travels through the cider regions of France and after years of “research and development” as home cidermakers.  We started our business with the simple goals of making fine artisanal ciders and to lead the revival of a great American tradition.    We started operations in an old Babcock chicken hatchery building on Route 96 in Ithaca, New York.   In 2003 we built a new building on Route 89 in Trumansburg, New York, and planted an orchard of European cider varieties. We have been an active member of the Cayuga Lake Wine Trail for over 5 years.  At present, we produce around 10 varieties of hard ciders, ranging from very dry to semi-sweet, some with carbonation and some still.","2003","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","9070 Route 89","Trumansburg","New York","14886","607-387-9464","Open Year Round    November-February:  M-Sat 10:30am-5:00pm Sun 12:00pm-5:00pm    March-October:  M-Sat 10:30am-5:30pm Sun 12:00pm-5:30pm    Closed New Year's Day, Easter, Thanksgiving, Christmas Eve, and Christmas Day.     WE REQUIRE ADVANCE RESERVATIONS FOR GROUPS OF 10 OR MORE.","42.5640104","-76.6479052","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://cidery.com/","","2003","","","",""
"itsIfI","Bellwoods Brewery","Bellwoods Brewery is a new Toronto microbrewery, retail store & café coming to Ossington and Argyle early in 2012    We intend to produce a diverse range of craft ales and fermented elixirs for both wholesale and retail customers.    Bellwoods Brewery will also operate a small indoor picnic-style cafe in collaboration with local chefs for lovers of craft beer.","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/6m50b9/upload_b0KVYy-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/6m50b9/upload_b0KVYy-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/6m50b9/upload_b0KVYy-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","124 Ossington Ave.","Toronto","Ontario","M6J 1R5","","","43.6470566","-79.4200648","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://bellwoodsbrewery.com/","124","","","","",""
"mTUIuH","Belly Love Brewing Company","Why Belly Love?    Well... it's hard to put into words the thoughts that led to the name, because so much of it is simply the feeling you have when you consume a carefully, dare I say lovingly, crafted beer. Complex and simple at the same time. Satiating but refreshing. Nourishment for your senses. Quite plainly; beer is liquid soul food.    We feel that beer makes bellies happy and shows them love. So... raise a glass, love your belly; Belly Love!","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","36942 Snickersville Tpke","Purcellville","Virginia","20132","","","39.059486","-77.742452","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","http://bellylovebrewing.com/","","","","","",""
"TOHi4D","Bellywash Brewing Co.","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Las Vegas","Nevada","","702-727-3777","","36.171915","-115.139974","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","",""
"5i0WDe","Belmont Brewing Co","The Belmont Brewing Company opened in 1990 and is Southern California's oldest operating brewpub. Come by for a taster set of award-winning ales crafted by Head Brewer Blackwell. We serve classic American fare with international flair and the warmest customer service around.","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","25 39th Pl","Long Beach","California","90803","562-433-3891","","33.759366","-118.148172","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.belmontbrewing.com/","","","","","",""
"nuhnAb","Below Grade Brewing","In 1992 Dean Wise made his first batch of beer. Things went well--at least nothing blew up. . . and the beer was, um, beer--but he wanted something more. Dean went from using a brew kit to creating his own recipes with shocking amounts of the best malts and hops. Some questioned his sanity, but the result was exceptional beer everyone loved. Having dedicated part of his basement to a brewery, when it came time to name his burgeoning business, Below Grade Brewing was a natural fit.","1992","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Bend","Oregon","97701","(541) 280-5704","","44.0581728","-121.3153096","Y","N","N","N","nano","Nano Brewery","US","United States","USA","http://www.belowgradebrewing.com","","1992","","","",""
"i1jKN5","Below the Radar Brewing Company","Below the Radar is Huntsville’s first Micro-Brewhouse situated in the Historic Huntsville Times Building in the recently stablished “downtown entertainment district”. Below the Radar opened its doors on August 2012 and has been expanding its lunch and dinner menu of goodness as well as its micro-brews & drinks ever since.Below the Radar is a great place to have lunch or meet after work for socializing with friends and co-workers. BTR is known for its one of a kind variety of micro-brews, extensive wine list and liquor drinks or its wonder array of food by its own in-house Chef Bill Harden. BTR menu items include like roast beef sliders topped with cilantro-horseradish sauce. And how about some Lazy Magnolia Southern Pecan Ice Cream for dessert!  Enjoy live music every Tesday night to make it a night to remember.    BTR is open 7 days a week for lunch & dinner (including a very special “Chef Bill Brunch” on Sundays). Be sure to check out the Chef Dish Pick of the Week.    BTR has thirty-two beers on tap including 7 craft brews made in-house, more than 27 bottled beers.    BTR has a Full bar and a great selection of fine wines. Be sure to check our Wine Pick of the Week.    An upscale, yet relaxed, and nonsmoking atmosphere.","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/KI6uwA/upload_WUVruj-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/KI6uwA/upload_WUVruj-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/KI6uwA/upload_WUVruj-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","220 Holmes Ave NE","Huntsville","Alabama","35801","256-508-3601","Mon - Thu: 11:00 am - 10:00 pm  Fri: 11:00 am - 12:00 am  Sat: 9:00 am - 12:00 am  Sun: 9:00 am - 10:00 pm","34.732769","-86.585895","Y","N","N","N","brewpub","Brewpub","US","United States","USA","http://www.btrbeer.com/","","2012","","","",""
"KLS8WW","Beltane Brewing","We are a start-up brewery and beer cafe located in Novato, CA (Marin County).  We are not open yet, however!  Planned opening date is on Bastille Day, July 14, 2012.  Please click on the Brewers Blog or contact us and stay in touch with our progress towards opening.    We proudly produce artisinal small-batch ales for the discerning consumer.  The cafe  will also offer chartucerie, cheese plates, pannini and snacks, sourced from local producers.","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/wbpj5b/upload_DID2Yo-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/wbpj5b/upload_DID2Yo-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/wbpj5b/upload_DID2Yo-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","401-B Bel Marin Keys Blvd","Novato","California","94949","415-328-1373","Mon - Sat 11:30am until 10pm  Sun 11:30am until 8pm","38.075201","-122.53793","Y","Y","N","Y","brewpub","Brewpub","US","United States","USA","http://beltanebrewing.blogspot.com/","","2011","","http://www.beltanebrewing.com/~site/Scripts_EmailManager/EmailManager.dll?CMD=CMDElementJoinMailingList&HSID=1757142458&PARTNER_ID=1&PEN=JoinMailingList&LISTNAME=d434d3d8257c59a013b21cd48c090279a01d3e920d69d5d86e672e636f6d&NAMEENC=true&WELCOME_MESSAGE=Welcome+to+the+mailing+list.&DISPLAYNAME=The+Mailing+List","",""
"wfAwfx","Belton Brewing Co, LLC","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","16204 Hight Ave","Belton","Missouri","64012","816-331-5502","","38.8294366","-94.5042117","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","",""
"YytkpO","Beltway Brewing Company","Beltway Brewing Company is a brewery in Sterling, Virginia (Loudoun County, a Washington D.C. suburb) built exclusively as a host for partner brewing, contract brewing and production of private label beers. The mission of Beltway Brewing Company is to professionally produce high quality craft beer for those who cannot build or expand their own breweries.    Brewing operations started in September 2013 and the Tasting Room is expected to open in Spring 2014.","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/kSy38n/upload_iwt8Fp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/kSy38n/upload_iwt8Fp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/kSy38n/upload_iwt8Fp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","22620 Davis Dr #110","Sterling","Virginia","","571-989-2739","","38.992212","-77.417006","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.beltwaybrewco.com/","","2011","","https://m.visitor.constantcontact.com/qrvisitor/Join.htm?soid=DOF13e2twFvNzWTfgi_shA&op_X_trk=QR%20Code&comp_name=1&comp_logo=1&op_nam=1&op_biz=0&op_hph=0&op_wph=0&op_X_eml=1&op_X_pho=1&op_X_map=1&op_X_url=1","",""
"6y0WgR","Bemidji Brewing Company","Bemidji Brewing Company LLC is a small craft brewery based out of the beautiful city of Bemidji, MN. Craft beer is our passion, and we hope to provide the freshest, most high quality craft beer to Bemidji and the northwoods.","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/mvsNhg/upload_3Y1xs9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/mvsNhg/upload_3Y1xs9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/mvsNhg/upload_3Y1xs9-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","302 Irvine Ave NW","Bemidji","Minnesota","56601","","","47.4705191","-94.8853754","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://bemidjibeer.com/","","2012","","","",""
"BIcYyp","Ben's Brew","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","201 West 92nd","New York","New York","10025","347-850-3303","","40.791719","-73.972567","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","4C","","",""
"Jtm60s","Benchmark Brewing Company","Benchmark Brewing is all about delicious beer, beer that we want to take home and drink. We want consistently awesome beer that you can rely on to be the gold standard of the style.  Our year round beers are low in alcohol and high in flavor; we often find that it is nice to be able to enjoy a beer or two and keep your wits about you.  We also know that there are times when a ten percent beer is just what you need to keep you warm at night; to that end we will celebrate the seasons, months, weeks, or whatever we feel needs celebration with specialty releases that will vary wildly in alcohol content and style.  No matter the style or strength all Benchmark Beer will set the standard for its kind.","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/nMaqhu/upload_NvSBzB-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/nMaqhu/upload_NvSBzB-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/nMaqhu/upload_NvSBzB-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","6190 Fairmount Ave","San Diego","California","92120","","Thu - Fri: 3:00 pm - 8:00 pm  Sat: 12:00 pm - 8:00 pm","32.787275","-117.102799","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.benchmarkbrewing.com/","","2012","Suite G","http://benchmarkbrewing.us7.list-manage.com/subscribe?u=be93d88055bc677b5cc102ed4&id=6f5a3d55b2","",""
"ncLN8G","Bend Brewing Company","Bend Brewing Company overlooks the Deschutes River at Mirror Pond in Bend, Oregon. Locally owned and operated, this exceptional brewpub opened its doors in February of 1995 and quickly became a favorite for locals and visitors alike. The people of the B.B.C. take pride in creative, award-winning handcrafted brews, fresh and flavorful menu selections, a casual and friendly atmosphere and superb service.    Bend Brewing Co. is a great place to have lunch, dinner or just some hot nachos and cold handcrafted beer after a day skiing or hiking in Central Oregon's recreational paradise.  In the summer, B.B.C.'s patio is the best place in town to dine outside. In the winter, come in and warm up with a malty seasonal ale.   Come and see for yourself why we're the locals' favorite!","1995","N","https://s3.amazonaws.com/brewerydbapi/brewery/2epqeB/upload_jxVmXL-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2epqeB/upload_jxVmXL-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2epqeB/upload_jxVmXL-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1019 NW Brooks St.","Bend","Oregon","97701","541-383-1599","Mon - Sat: 11:30 am - 11:00 pm  Sun: 11:30 am - 10:00 pm","44.060438","-121.313842","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.bendbrewingco.com/","","1995","","","",""
"YXDiJk","Bénélux","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","245 Sherbrooke Street","West Montreal","Quebec","H2X 1X7","(514) 543-9750","","45.5095954","-73.5709849","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","http://www.brasseriebenelux.com/","124","","","","",""
"mNlREz","Bennexer Brauhaus","","2003","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hauptstraße 23 A","Bennigsen","Lower Saxony","31832","","","52.207415","9.55567","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","http://www.klafri-schroelie-bennigsen.de/","276","","","","",""
"JhqZva","Benny Brewing Co.","Providing great quality hand crafted ales and lagers to the surrounding area.","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/qcsrP8/upload_OvIKHb-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qcsrP8/upload_OvIKHb-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qcsrP8/upload_OvIKHb-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","100 Old Newport St.","Nanticoke","Pennsylvania","18634","(570) 735-4395","Tue - Sat: 5:00 pm - 10:00 pm","41.193243","-76.015874","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","http://martysblueroom.com/bennybrewcompanymain.htm","","2010","","","",""
"Pw4BHh","BensBrew LLC","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","10618 Ervin McGarrah Rd","Lowell","Arkansas","72745","479-644-4601","","36.27632","-94.05664","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","",""
"NXv8sg","Benson Brewery","Cradled in the heart of Benson on Omaha’s north side - you will find Benson Brewery, a cozy neighborhood brew-pub welcoming all who look for friendly company, good conversation, house made beers and solid drinks. We believe a bar is what its patrons and community make it, which is why we serve true, locally sourced foods when possible, well-crafted brews, and drinks to please all.    The Benson Brewery is a pub for all times. From its reclaimed wooden flooring, to its warm interiors, modern brewery, and exposed brick walls – Benson Brewery is a place without pretense. Our food, our drinks, our service and our space are inspired by old and new American traditions. We welcome all to come and feel at home in our brewery, a Benson Local","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/pguslr/upload_qJygEE-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/pguslr/upload_qJygEE-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/pguslr/upload_qJygEE-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","6059 Maple Street","Omaha","Nebraska","68104","(402) 937-1892","MONDAY - WEDNESDAY  4PM to 11PM    THURSDAY - SATURDAY  4PM TO 2AM    SUNDAY  10AM TO 8M","41.284715","-96.006424","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.bensonbrewery.com/","","2013","","","",""
"fzliLT","Bent Brewstillery","Craft brewery and small batch distillery located in the great state of Minnesota. We've got great ideas for unique, beer-centric whiskeys and bourbons.","2007","N","https://s3.amazonaws.com/brewerydbapi/brewery/O625LN/upload_aMfOLF-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/O625LN/upload_aMfOLF-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/O625LN/upload_aMfOLF-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1744 Terrace Drive","Roseville","Minnesota","55113","(844) 879-2368","","45.0256835","-93.1747238","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.bentbrewstillery.com/","","","","","",""
"I9EcCn","Bent Paddle Brewing Co.","Bent Paddle Brewing Co.® will be a production craft brewery located in Duluth, Minnesota. Our 30-barrel brewery and Duluth’s first production brewery taproom, The Bent Tap, is expected to open in Winter / Spring 2013. We are excited to use the amazing water of Lake Superior along with the talent of our brewers to make some of the freshest, tastiest and most dependable craft beer possible.","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/RNzhpm/upload_52mNKl-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/RNzhpm/upload_52mNKl-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/RNzhpm/upload_52mNKl-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1912 West Michigan Street","Duluth","Minnesota","55806","","","46.7679949","-92.1218101","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.bentpaddlebrewing.com/","","","","","",""
"2FmzR8","Bent River Brewing","Unique neighborhood brewery restaurant in ""old"" downtown historic district. We offer the midwest's best award- winning craft beers, a great selection of pub grub and one of the coolest beer gardens in the Quad Cities.","1997","N","https://s3.amazonaws.com/brewerydbapi/brewery/2RiVWQ/upload_BejKXP-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2RiVWQ/upload_BejKXP-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2RiVWQ/upload_BejKXP-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1413 Fifth Avenue","Moline","Illinois","61265","(309) 797-2722","Mon - Sun: 11:00 am - 3:00 am","41.5059268","-90.5170986","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.bentriverbrewery.com","","1997","","","",""
"usU4Jz","Bentley Brewing Company","Thank you for your interest in Bentley Brewing and the Dark Horse Tavern. This is a family owned pub and brew house located at 12 Crane Street in Southbridge, Ma. Our goal is to offer a warm and inviting atmosphere where you can savor our array of freshly brewed beer on tap. We also offer a fully stocked bar for those wishing a more exotic cocktail. To accompany these libations we have a delectable selection of pub fare for your enjoyment.    As we gear up for the Dark Horse Tavern's grand opening in mid-June, Bentley Brewing, along with the help of our expert brew master, Tim Daley, will begin production of our four signature beers on tap. In subsequent weeks, we will be expanding our offerings to include four additional beers, as well as two cask ales, which will complete our on-site brewing selection.    Located just off Main Street in Southbridge, we are within easy access to major routes I-84 and the Mass Pike. Parking for over 150 cars and handicapped accessible, we offer outside dining on our spacious patio overlooking the scenic Quinebaug River, multiple large flat screen televisions broadcasting the latest sporting events throughout the bar, gaming options that include championship dartboards and a pool table, and live entertainment on Saturday evenings. You can also look into our brewing area where all the magic happens and Tim would be happy to answer any and all questions and we welcome your suggestions for future offerings. We accept reservations to accommodate parties of 30-70 guests in our conference room that includes a private bar and optional catering.    We are confident that after experiencing our locally grown and freshly prepared food, our fantastic brew and the exceptional service of our dedicated staff, you will make Bentley Brewing and the Dark Horse Tavern your favorite destination spot. We look forward to welcoming you and your guests in person at our riverside location at 12 Crane Street.","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/8O2BuI/upload_eQd8UI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/8O2BuI/upload_eQd8UI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/8O2BuI/upload_eQd8UI-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","12 Crane St","Southbridge","Massachusetts","01550","","Sat - Sun: 11:00 am - 5:00 pm","42.080493","-72.03546","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.12crane.com/","","","","","",""
"IIIhSR","Berg Brauerei Ulrich Zimmermann","","1757","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Brauhausstraße 2","","Ehingen","89584","011 49 7391/771710","","48.282445","9.72691","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.bergbier.de/","276","","","","",""
"kU9sBG","Berghoff Brewery, Inc","Berghoff’s history as a beer brand goes back over 120 years, and in that time it has developed a reputation of high quality and consistency. The first batch of Berghoff beer was brewed in Fort Wayne, Indiana in 1887 by Herman Berghoff and his three brothers. Herman’s desire to expand the market for the family’s beer led him to sell the product at the Chicago World’s Fair where it received high acclaim. Since then, Berghoff has continued its success and relevance in the Chicago market and beyond.                  As the craft beer market has evolved, the brand has received fresh, exciting updates. Berghoff changed its brewing location and is now proudly brewed at Point Brewery in Stevens Point, Wisconsin. Berghoff has also refreshed itself with updated recipes and packaging. With consulting from brewing experts Randy Mosher and John Hannafan, Berghoff’s new, top-notch beers are ready to satisfy consumer demand. As the brewery looks to the future, Berghoff beer will continue to evolve as trends change, but will always maintain its roots as an authentic German-style brew whose history and tradition will never be forgotten.","1887","N","https://s3.amazonaws.com/brewerydbapi/brewery/nJjPsG/upload_5EzK2B-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/nJjPsG/upload_5EzK2B-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/nJjPsG/upload_5EzK2B-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3122 W. Woodfield Drive","Mequon","Wisconsin","53092","(262) 238-1236","","43.241017","-87.946315","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://berghoffbrewery.com/","","","","","",""
