"id","name","website","established","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","description","images__icon","images__medium","images__large","locality","phone","hoursOfOperation","yearOpened","extendedAddress","mailingListUrl","yearClosed","isoCode"
"1CemsR","Schlossbrauerei Maxlrain","http://www.maxlrain.de/","1636","N","verified","Verified","2012-01-03 02:41:33","2014-10-08 17:12:19","Aiblinger Str. 1","Tuntenhausen","D-83104","47.89838","11.98821","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Maxlrain","","","","","","",""
"r9nypM","Schlossbrauerei Weesenstein","http://www.weesenstein.de/","1999","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Schlossberg 1","Saxony","01809","50.95442","13.86028","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","","","","","Müglitztal","","","","","","",""
"zVSWei","Schlossbrauerei zu Schmieheim","http://www.hieronymus-bier.info/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Schloßstraße 64","","77971","48.29441","7.824663","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Kippenheim","","","","","","",""
"Xj7zte","Schlossbru","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Oberdorferstrae 9","","","47.3823091","9.6564629","Y","N","N","Y","micro","Micro Brewery","AT","Austria","AUT","40","","","","","Dornbirn","43-05572-/-386-683","","","","","",""
"HfeiMv","Schlossplatz Brauerei Cöpenick","","2004","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Auf dem Schlossplatz / Grünstraße","Berlin","D-12555","52.460945","13.58243","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Köpenick","","","","","","",""
"icDuui","Schlüssel-Brauerei Privatbrauerei Helmut Bosch","http://www.schluessel-giengen.de/","1838","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Oggenhauserstr.34","Baden-Württemberg","89537","48.621269","10.237343","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Giengen an der Brenz","","","","","","",""
"IzTjAm","Schlüsselbräu Privatbrauerei Bosch","","1705","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Oggenhauser Straße 34","Nordrhein-Westfalen","D-89537","48.625978","10.243408","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Giengen an der Brenz","","","","","","",""
"S2JIiT","Schmelzer Brauhaus","http://www.schmelzer-brauhaus.de/","2000","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Erzweg 12","Saarland","66839","49.44028","6.874055","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Schmelz","","","","","","",""
"A2qo35","Schmohz Brewing Company","http://schmohz.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2600 Patterson SE","Michigan","49546","42.915996","-85.548533","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Two words: cool & dark. Schmohz Ales and Lagers, like many quality craft beers, are not pasteurized. While this helps them taste fresher and more full-flavored, it also means that extended exposure to warm temperatures may cause them (especially if they are unfiltered) to taste, well, less fresh. So keep 'em cool! As for the dark part, let's just say that sunlight can negatively affect some brews (it makes 'em smell ""skunky""). That's why we put our beers in light-blocking brown bottles and take extra caution to keep them out of the way of direct sunlight.","https://s3.amazonaws.com/brewerydbapi/brewery/AVEsqU/upload_chbpST-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/AVEsqU/upload_chbpST-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/AVEsqU/upload_chbpST-large.png","Grand Rapids","616-949-0860","","","Suite A","","",""
"WTMExu","Schneider","","","N","verified","Verified","2013-05-08 20:43:24","2013-05-10 13:30:32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JmrPJ7","Schneider Weisse","http://www.schneider-weisse.de","1872","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Emil-Ott-Strasse 1-5","","93309","48.91755","11.87451","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","The wheat beer specialists of the Schneider brewery are regularly awarded at international competitions. This proves that they are justly considered as world classics. A unique variety of distinguishing wheat beer specialties is being brewed at Bavaria’s oldest wheat beer brewery strictly following the Reinheitsgebot. The brewer, Georg Schneider VI, presents his family of wheat beer specialties:","https://s3.amazonaws.com/brewerydbapi/brewery/FQLVgV/upload_NKOmTI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/FQLVgV/upload_NKOmTI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/FQLVgV/upload_NKOmTI-large.png","Kelheim","0 94 41 / 7 05 - 0","","","","","",""
"mMZcCW","Schöefferhofer","http://www.schoefferhofer.de/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","DarmstÃ?Â¤dter Landstrasse 185","Hessen","60598","50.094631","8.69086","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Frankfurt/Main","","","","","","",""
"bpBKo9","Schönbuch Bräu","http://www.schoenbuchbraeu.de/","1823","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Postplatz 6","Böblingen","71032","48.6802429","9.055195","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","https://s3.amazonaws.com/brewerydbapi/brewery/CmDhK5/upload_SrOO2P-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/CmDhK5/upload_SrOO2P-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/CmDhK5/upload_SrOO2P-large.png","","07031/2173-0","","","","","",""
"5TRopl","Brauhaus Böblingen","http://www.brauhaus-bb.de/","","","new_unverified","New, Unverified","2012-01-03 02:41:33","2014-10-16 11:56:25","Lange Strasse 20","Baden-Württemberg","71032","48.6802429","9.055195","N","N","N","Y","restaurant","Restaurant/Ale House","DE","Germany","DEU","276","","","","","Böblingen","+497031681323","Brauhaus: Daily 11.00 - 24.00 Uhr Biergarten: Daily 11.00 - 23.00 Uhr","","","","",""
"hnAczC","Brauhaus Böblingen","http://www.brauhaus-schoenbuch.de/","","","new_unverified","New, Unverified","2012-01-03 02:41:33","2014-10-16 11:58:39","Bolzstrasse 10","Baden-Württemberg","70173","48.78019","9.17786","N","N","N","Y","restaurant","Restaurant/Ale House","DE","Germany","DEU","276","","","","","Stuttgart","+4971172230930","Brauhaus: Daily 11.00 - 24.00 Thursday to Saturday 11.00 - 01.00","","","","",""
"K6tR8d","Brauhaus Schönbuch Calw","http://www.brauhaus-schoenbuch.de/calw.html","","","new_unverified","New, Unverified","2012-01-03 02:41:33","2014-10-16 12:00:22","Auf dem Brühl 1","Baden-Württemberg","75365","48.7215745","8.7177385","N","N","N","Y","restaurant","Restaurant/Ale House","DE","Germany","DEU","276","","","","","Calw","+4970519663280","Brauhaus: Daily 11.00 - 24.00 Uhr  Biergarten: Daily 11.00 - 23.00 Uhr","2014","","","",""
"OgIQLx","Schooner Brewery","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Texas","","32.778155","-96.795404","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Dallas","","","","","","",""
"101EVO","Schooner Exact Brewing Company","http://www.schoonerexact.com/","2006","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3901 1st Ave S","Washington","98134","47.5685945","-122.3342417","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","In 2006, homebrewing pals Marcus Connery and Matt & Heather McClung decided to take their hobby to the next level and go pro. Purchasing a half-barrel system, they began brewing a keg of beer at a time out of an ActivSpace unit under the West Seattle Bridge. Beginning in January 2007, they distributed their beer to restaurants and taprooms all over the city of Seattle.    As demand for their beers increased, the Schooner EXACT founders expanded into a larger, 10 -barrel system. The brewery moved to the South Park neighborhood in early 2009, and to its current SODO location on 1st Avenue in 2010. After Marcus Connery passed the reins of the brewery over to Heather and Matt to pursue the next chapter in his beer adventures by opening a beer broker/ consulting business, Matt and Heather quit their teaching jobs to pursue their brewery dreams full time.","https://s3.amazonaws.com/brewerydbapi/brewery/jYfgIh/upload_kdGmrs-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jYfgIh/upload_kdGmrs-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jYfgIh/upload_kdGmrs-large.png","Seattle","206-432-9734","","2006","","","",""
"dJk2ep","Schooner's Grille & Brewery","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4250 Lone Tree Way","California","94531","37.9668825","-121.7830248","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Antioch","1-925-776-1800","","","","","",""
"JBPFG4","Schorndorfer Gasthausbrauerei Kesselhaus","http://www.kesselhaus-schorndorf.de/","2001","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Arnoldstraße 3","Schorndorf","","48.80368","9.52891","Y","N","N","Y","brewpub","Brewpub","DE","Germany","DEU","276","A brewpub in the heart of the city Schorndorf with a distinctive ambience of an industrial building of 1895.","https://s3.amazonaws.com/brewerydbapi/brewery/SjUKQo/upload_pdj29U-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/SjUKQo/upload_pdj29U-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/SjUKQo/upload_pdj29U-large.png","73614","07181-484933","Monday - Thursday: 11:00 - Midnight  Friday - Saturday: 11:00 - 1:00am  Sundays and public holidays: 11:00 - 11:00PM","2001","","","",""
"qDq0C5","","","","","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","Baden-Württemberg","","48.761009","8.23147","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","","","",""
"CnPWMY","Schorschbräu","http://www.schorschbraeu.de/","","Y","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Oberasbach 16a","Bavaria","91710","49.10345","10.78748","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","In Oberasbach, tucked in the middle of the wonderful Franconian lake region, we resolutely uphold true brewing craftsmanship.  Franconia is a stronghold of time-honored brewing practices. At our brewery, deep in Franconia, our beers are steeped in tradition. Innovation, however, is no stranger to us. We love beer, and we brew it with a passion.  A.D. 1996: During an era of falling beer consumption and aggressive concentration in the beer market, I decided to build a brewery. Though small, I wanted to build a brewery with the intent of brewing beers of the highest quality.    Worlds away from the usual offerings of run-of-the-mill breweries who make mass-produced beer, we brew specialty beers for those who still cherish handmade tradition. We have continued to expand the niche for our strong beers and have remained steadfast in the face of stiff competition.    All the might of Franconia is brewed into our Schorsch Bock and our Schorsch Franconian Wheat, both of which contain 13% alcohol. They are the strongest beers in Germany and at the pinnacle among the world’s strongest.    Our Schorsch Bock 16 has broken every record. It is the strongest lager beer in the world.","","","","Gunzenhausen-Oberasbach","(9831) 1868","","","","","",""
"tQmnIx","Schouskjelleren Mikrobryggeri","http://schouskjelleren.no","2010","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Trondheimsveien 2","Oslo","0560","59.91857","10.7608938","Y","N","N","Y","micro","Micro Brewery","NO","Norway","NOR","578","Schouskjelleren Mikrobryggeri brewpub opened its doors to the general public on October 1st 2010, becoming the second brewpub in Oslo.    The brewpub is located in the cellar of the old Schous Bryggeri on Grünerløkka and is owned by the people behind Olympen, another great beer place in Oslo. Brewmaster, John Hudson, has created half a dozen beers to be brewed and served at the brewpub, most notably the OSB (Oslo Special Bitter), the Thunder Bear Stout and the spicy Garden of Eden. The atmosphere in the brewpub has more in common with German and Czech beer halls than with Norwegian pubs, with its vaulted brick ceiling, massive fireplace at the end of the hall and its rustic wooden furniture. The place radiates age. But the brewery is brand new and state of the art, with four 500 liter storage tanks supplying the bar.","https://s3.amazonaws.com/brewerydbapi/brewery/HIzVEo/upload_pfsckw-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/HIzVEo/upload_pfsckw-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/HIzVEo/upload_pfsckw-large.png","Oslo","+4721383930","","2010","","","",""
"FdSqoG","Schubros Brewery","http://www.schubros.com/","2011","N","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","California","","37.658034","-121.87722","N","N","N","Y","micro","Micro Brewery","US","United States","USA","","Create great craft beer and build experiences surpassing the ordinary through education, responsible community interaction, and sustainable business practices    The craft-connoisseur's utopia. Flawless representation of the most influential styles. Plus a full portfolio of permanent, perennials, and limited editions that ever-explore our globe's limitless range of brew styles and accents.     So set aside any preconceived notions about beer, and Raze Expectations!","https://s3.amazonaws.com/brewerydbapi/brewery/MalLCw/upload_mSCEuF-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/MalLCw/upload_mSCEuF-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/MalLCw/upload_mSCEuF-large.png","Pleasanton","925-270-5248","","","","","",""
"Jez95w","Schubros Brewery","http://www.schubrosbrewery.com/","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","12893-N Alcosta Blvd","California","94583","37.7778148","-121.96282","Y","N","N","Y","tasting","Tasting Room","US","United States","USA","","","","","","San Ramon","(925) 327-0700","Thursday & Friday 4-8pm  Saturday 11-5","2013","Suite N","","",""
"rxBexh","Schussenrieder Erlebnisbrauerei","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Wilhelm-Schussen-Strae 12","Baden-Wrttemberg","","48.00397","9.65836","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Bad Schussenried","49-(0)7583-/-404-11","","","","","",""
"frBPqX","Schütte-Bräu","http://www.xn--schtte-bru-y5a5z.de/","2009","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Karl-Schmidt-Straße 19","Sachsen-Anhalt","D-39104","52.131868","11.627789","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Magdeburg","","","","","","",""
"1WSZAu","Schwalenberger Brauzunft","http://www.schwalenberger-brauzunft.de/","2004","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","In der Tränke 8","North Rhine-Westphalia","32816","51.913784","9.155275","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Schieder-Schwalenberg","","","","","","",""
"dDXOEp","Schwarzenbeker Brauhaus","http://www.schwarzenbeker-brauhaus.de/","2006","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Düsternhorst 9","Schlewsig-Holstein","21493","53.50192","10.48137","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Schwarzenbek","","","","","","",""
"RqNmdB","Schwertbrauerei Ehingen","http://www.schwertbrauerei.de/","1875","N","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","Baden-Württemberg","","48.761009","8.23147","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","","","",""
"UGuT78","Scorpio Brewing Co.","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","309 Dove Park Rd","Louisiana","70433","30.4163189","-90.0759968","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Covington","985-869-0841","","","","","",""
"pQSK3k","Scorpion Brewing","http://scorpionbrewing.com/","2012","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","929 Skinners Turn Rd","Maryland","20736","38.6829922","-76.6184945","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Scorpion Brewing is a startup brewery in Calvert County Maryland.  Our beers should be ready in 2013!     Brian Dailey has had a passion for brewing and beer for many years and since the world will end in 2012 I figured, hey lets just start brewing and selling my craft beers to the great people of southern Maryland.","https://s3.amazonaws.com/brewerydbapi/brewery/9qRVD5/upload_PMALCm-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/9qRVD5/upload_PMALCm-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/9qRVD5/upload_PMALCm-large.png","Owings","(703) 307-2400","","2012","","","",""
"6adHGZ","Scotch Irish Brewing","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","40 Bennett Street","Ontario","","45.1278787","-76.1300353","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","124","","","","","Carleton Place","1-613-257-7845","","","","","",""
"iuM5Q0","Scottish & Newcastle Breweries","http://www.s-npubcompany.co.uk/","1749","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Gallowgate","Scotland","","55.954155","-3.202774","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","826","Scottish & Newcastle plc was a ""long alcoholic drinks"" (LADs) company with positions in 15 countries, including UK, France and Russia. It was headquartered in Edinburgh, Scotland, UK. In the last 20 years, S&N expanded significantly from its home base to become an international business with beer volumes growing almost tenfold. It was listed on the London Stock Exchange and was once a constituent of the FTSE 100 Index but it was acquired jointly by Heineken and Carlsberg in April 2008, with the company's assets being split between them. The trading name ""Scottish & Newcastle UK"" continued to be used, until November 2009, to denote the UK trading operation of Heineken International until it was renamed ""Heineken UK"". The Scottish & Newcastle name lives on through the former ""S&N Pub Enterprises"" leased pub division which has been renamed ""Scottish & Newcastle Pub Company"".","https://s3.amazonaws.com/brewerydbapi/brewery/Qutakc/upload_QJNIVH-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Qutakc/upload_QJNIVH-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Qutakc/upload_QJNIVH-large.png","Edinburgh","44-(0191)-2325092","","1749","","","",""
"LE4tZR","Scottish & Newcastle PLC","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","33 Ellersly Road","Scotland","","55.9465401","-3.2485122","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","826","","","","","Edinburgh","44-(0131)-528-2000","","","","","",""
