"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","phone","extendedAddress","numberCode","yearClosed","mailingListUrl"
"Wdc9G1","Climbing Bines Craft Ale Co.","Climbing Bines Craft Ale Company is one of New York State's first farm breweries! We specialize in small batch, hand-crafted ales brewed on site with the freshest, estate-grown hops and barley harvested just a few miles down the road.","http://www.climbingbineshopfarm.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Nmi5nc/upload_J33FLS-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Nmi5nc/upload_J33FLS-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Nmi5nc/upload_J33FLS-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:12:27","511 Hansen Point Rd","Penn Yan","New York","14527","Daily from 11 AM to 6 PM.","42.6609026","-77.0538577","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","(607) 745-0221","","","",""
"aqpi5w","Clner Hofbrau Frh","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Hof 12-14","Kln","Nordrhein-Westfalen","","","50.9401","6.95699","Y","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","49-(0)221-/-2613-0","","276","",""
"Q727rZ","Glebe","","http://bank.clocktower.ca/Home/tabid/2603/Default.aspx","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","575 Bank St","Ottawa","Ontario","K1S 5L7","","45.4083571","-75.6911588","N","N","N","Y","brewpub","Brewpub","CA","","Canada","CAN","613-233-7849","","124","",""
"2Qkw10","Westboro","","http://richmond.clocktower.ca/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","418 Richmond Rd","Ottawa","Ontario","K2A 0G2","","45.3901416","-75.7577842","N","N","N","Y","brewpub","Brewpub","CA","","Canada","CAN","613-680-5983","","124","",""
"ekTkAR","Market","","http://clarence.clocktower.ca/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","89 Clarence St","Ottawa","Ontario","K1N 5P5","","45.4291914","-75.6927824","N","N","N","Y","brewpub","Brewpub","CA","","Canada","CAN","613-241-8783","","124","",""
"H4CYJs","New Edinburgh","","http://mackay.clocktower.ca/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","422 Mackay St","Ottawa","Ontario","K1M 2C4","","45.4395838","-75.6772287","Y","N","N","Y","micro","Micro Brewery","CA","","Canada","CAN","613-742-3169","","124","",""
"c2Ifvu","Clouds Brewing","A locally owned and operated brew pub","http://www.stormcloudsbrewing.com","2014","N","https://s3.amazonaws.com/brewerydbapi/brewery/B5jTO7/upload_iTcELH-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/B5jTO7/upload_iTcELH-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/B5jTO7/upload_iTcELH-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-11 10:24:57","126 N. West St.","Raleigh","North Carolina","27606","","35.7825987","-78.6456981","Y","N","N","Y","brewpub","Brewpub","US","2014","United States","USA","(919) 235-7949","","","",""
"DAYWFN","Clown Shoes Beer","Founded in December 2009 by beer lovers trying to make work fun again, Clown Shoes has been redefining what craft beer should be. We strive to add our own little creative twists on under-represented styles and styles in need of change.    Our mission now is to produce beer without pretension while being free and a little crazy.","http://www.clownshoesbeer.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/6cIt3k/upload_c77AcA-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/6cIt3k/upload_c77AcA-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/6cIt3k/upload_c77AcA-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","23 Hayward St.","Ipswich","Massachusetts","01938","","42.672726","-70.843912","Y","N","N","Y","micro","Micro Brewery","US","2010","United States","USA","","","","",""
"pUHKOo","Coach's Brewing Co","Located in Historic Downtown Norman, The Brewhouse was first established in 1993 to provide beer for the Coach's Restaurant concepts. Over time it has evolved into its own entity which features many different facets. Of course it is a fully functional self-sustaining brewery first and foremost. Oklahoma's largest brewery at 30 barrels (that's 900 gallons at a time), we've been doing it longer than anyone. The big beautiful stainless-steel brewery is enclosed by glass so that visitors can see it at all times. But that's not the only reason to visit. We've also got 9 full sized pool tables, and are one of Norman's premier live music venues. We've had Grammy winners, Blues Hall-of-Famers, local acts, regional acts, VH-1's Save the Music Tour, and later this year we'll host Color Me Badd's first live performance in 10 years.","http://www.coachsbrewhouse.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","110 W Main St","Norman","Oklahoma","73069","","35.2204542","-97.4444006","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","405-360-5726","","","",""
"Ro08YF","Coach's Norman","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","102 West Main","Norman","Oklahoma","73069","","35.2204519","-97.4439244","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","1-405-360-5726","","","",""
"uhkNHA","Coachella Valley Brewing Co.","The Coachella Valley Brewing Co is liquid perfection.","http://www.cvbco.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/IZx5D1/upload_hsjtdp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IZx5D1/upload_hsjtdp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IZx5D1/upload_hsjtdp-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:12:29","30640 Gunther Street","Thousand Palms","California","92276","Tue:  2:00pm - 7:00pm Wed:  2:00pm - 7:00pm Thu:  2:00pm - 7:00pm Fri:  1:00pm - 9:00pm Sat:  1:00pm - 9:00pm  Tue - Thu: 2:00 pm - 7:00 pm  Fri - Sat: 1:00 pm - 9:00 pm","33.8266135","-116.4017444","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","(760) 343-5973","","","",""
"uzOl1k","Coal Creek TAP","Coal Creek turned 21, so naturally, we opened a nano-brewery! Visit us at 108 Grand Ave. located right next door to the downtown Coal Creek Coffee shop. Currently, we have 13 different brews on tap, ensuring that everyone will find something to love. Every beer is hand-crafted on site by owner and brew-master, John Guerin, a long-time business owner and Laramie entrepreneur. At Coal Creek TAP we encourage you to break out of your beer comfort zone and experience something new. And, if you're not ready to commit to a pint, we offer 5oz. and 10oz. pours as well as flights of our beers. We've got something for everyone's palate: a light, fruity and refreshing pilsner; a rich and creamy smoked porter, a variety of pale ales and IPA's, and big, bright and spicy Belgians!","","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Eu8QY2/upload_D3kmXy-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Eu8QY2/upload_D3kmXy-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Eu8QY2/upload_D3kmXy-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-18 18:37:45","108 E Grand Ave","Laramie","Wyoming","82070","Mon:  12:00pm - 11:00pm Tue:  12:00pm - 11:00pm Wed:  12:00pm - 11:00pm Thu:  12:00pm - 11:00pm Fri:  12:00pm - 11:00pm Sat:  12:00pm - 11:00pm Sun:  12:00pm - 11:00pm  ","41.3109894","-105.5957587","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","(307)460-9556","","","",""
"2t90oP","Coalition Brewing Company","Coalition Brewing was born out of a serendipitous chance encounter between owners Kiley Hoyt and Elan Walsky. Both began as home brewers and received formal brewing education through the Siebel Institute in Chicago.    Their love of beer and the brewing process is the impetus for the Coalator Program, which encourages local home brewers to brew their recipes in the brewery and serve them at the pub.    Coalition Brewing prides itself on highly balanced, drinkable beers.","http://www.coalitionbrewing.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/C7u6RO/upload_ZwzvXW-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/C7u6RO/upload_ZwzvXW-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/C7u6RO/upload_ZwzvXW-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2724 SE Ankeny","Portland","Oregon","97214","Open: Tues-Fri 3pm-12am  Open: Sat 12pm-12am, Sun 12pm-10pm  Happy Hour: 3pm-6pm Tues-Sun","45.5221296","-122.6377714","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","(503) 894-8080","","","",""
"47iwhg","Coast Brewing","","","1999","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","875 Beach Boulevard","Biloxi","Mississippi","39530","","30.393029","-88.892298","Y","N","Y","Y","micro","Micro Brewery","US","1999","United States","USA","","Beau Rivage Casino","","",""
"gRRkr7","COAST Brewing Company","OAST Brewing Co. is a small, family owned craft brewery - Located across from Noisette Creek on the Old Navy Base.    We believe in utilizing alternative means to brew unique beer. We also believe in choice organic and local ingredients. From our biodiesel fired kettle to our energy efficient process, we forge hand crafted batches on our 7 bbl brewhouse.","http://www.coastbrewing.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/vrnGXc/upload_kcnozi-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/vrnGXc/upload_kcnozi-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/vrnGXc/upload_kcnozi-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1250 2nd St N","North Charleston","South Carolina","29405","","32.873542","-79.9722","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","843-343-4727","","","",""
"IlAZ0Y","Coast Range Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7050 Monterey Street","Gilroy","California","95020","","37.00129","-121.565694","Y","N","Y","Y","micro","Micro Brewery","US","","United States","USA","1-408-842-1000","","","",""
"v4tN9z","Coastal Empire Beer Company","Artisan ales and lagers.","http://coastalempirebeer.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/jZrVLA/upload_foUJo3-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jZrVLA/upload_foUJo3-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jZrVLA/upload_foUJo3-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Savannah","Georgia","","","32.08078","-81.090719","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","","","",""
"XOcBJQ","Coastal Fog Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1430 Enea Circle","Concord","California","94520","","37.9712067","-122.0516005","Y","N","Y","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"wufvse","Cobra Beer","Owned by Molson Coors","http://www.cobrabeer.com/","1989","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","137 High Street","","Burton-on-Trent","DE14 1JZ","","52.8046602","-1.6268494","Y","N","N","Y","micro","Micro Brewery","GB","1989","United Kingdom","GBR","","","826","",""
"VVieXS","Cobra Brewing Company","We know how satisfying it is to enjoy a nice hand crafted beer, that is why at Cobra Brewing Company we brew with only top quality ingredients. All of our crafted beer is brewed locally in Flower Mound, TX.","http://cobrabrewingco.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/tNvMTJ/upload_1eB6Dw-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/tNvMTJ/upload_1eB6Dw-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/tNvMTJ/upload_1eB6Dw-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","146 Whatley Avenue","Lewisville","Texas","75057","","33.043676","-96.993155","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","(214) 605-4879","","","",""
"9iKzSr","Cocoa Beach Brewing Company","Cocoa Beach Brewing Company is a family owned and operated brewery and pub.  We are located in historic downtown Cocoa Beach on Atlantic Avenue (northbound Highway A1A) between 1st Street North and 2nd Street North.  We are proud to be located in one of the oldest buildings in world famous Cocoa Beach.  Built in the 1930s, our building was originally Navy housing for the Banana River Naval Air Station.  It has since been home to a number of commercial enterprises.    Our brewery consists of a custom designed and built 1.5 bbl Brewhouse and three 1.5 bbl stainless steel conical fermentation tanks.","http://www.cocoabeachbrewingcompany.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/qyMFUm/upload_PE1iqL-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qyMFUm/upload_PE1iqL-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qyMFUm/upload_PE1iqL-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","150 N. Atlantic Avenue","Cocoa Beach","Florida","32931","Tue - Thu: 1:00 pm	- 9:00 pm  Fri - Sat: 1:00 pm	- 11:00 pm","28.321331","-80.609168","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","321-613-2941","","","",""
"Y9Mg9A","Coda Brewing Co.","CODA Brewing pairs beer with music, art and food.","http://codabrewing.com","2014","N","https://s3.amazonaws.com/brewerydbapi/brewery/YLICES/upload_npSNn7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/YLICES/upload_npSNn7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/YLICES/upload_npSNn7-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2101 North Ursula","Aurora","Colorado","80045","Mon - Thu: 3:00 pm - 9:00 pm  Fri - Sat: 12:00 pm - 9:00 pm  Sun: 12:00 pm - 7:00 pm","39.748689","-104.838388","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","(720) 324-8529","Unit 10","","",""
"m23ncI","Coddington Brewing Company","","http://www.coddbrew.com/","1995","N","","","","verified","Verified","2012-01-03 02:41:33","2014-09-26 13:17:44","210 Coddington Highway","Middletown","Rhode Island","02842","","41.518515","-71.305642","Y","N","N","Y","brewpub","Brewpub","US","1995","United States","USA","401-847-6690","","","",""
"OLmblj","Cody Brewing Company","Cody Brewing Company is located in Historic Amesbury, Massachusetts on the Powow River. We make hand crafted beer that combines traditional styles with rule breaking ideas to make the best beer possible. We brew on a 7 barrel system, which is just over 200 gallons, to make 1200 barrels each year.    Hand crafted beer that combines traditional styles with rule breaking ideas to make the best beer possible that our customers enjoy. Always.","http://www.codybrewing.com/","2006","N","https://s3.amazonaws.com/brewerydbapi/brewery/195Jl2/upload_kPCSAe-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/195Jl2/upload_kPCSAe-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/195Jl2/upload_kPCSAe-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","36 Main St.","Amesbury","Massachusetts","01913","","42.85728","-70.930223","Y","N","N","Y","micro","Micro Brewery","US","2006","United States","USA","978-378-3424","","","",""
"2VHydp","Coedo Brewery","Representing Japan’s globally appealing craft beer, COEDO makes premium craft beers in Japan, whose brewing and high quality has received accolades from the world.","http://www.coedobrewery.com/","2006","N","https://s3.amazonaws.com/brewerydbapi/brewery/AQE3Sx/upload_VEmk2i-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/AQE3Sx/upload_VEmk2i-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/AQE3Sx/upload_VEmk2i-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","385-10 Kamitome,","","Iruma-gun Saitama-ken Kawagoe-shi","354-004","","","","Y","N","N","Y","micro","Micro Brewery","JP","2006","Japan","JPN","+81 49-259-7735","Miyoshi-machi","392","",""
"0fVPvA","Coeur d'Alene Brewing Company","","http://www.cdabrewing.com/","1987","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","209 Lakeside Avenue","Coeur D'Alene","Idaho","83814","","47.674381","-116.783824","Y","N","Y","Y","micro","Micro Brewery","US","1987","United States","USA","208-664-2739","","","",""
"0CdYN3","Colbitzer Heidebrauerei","","http://www.colbitzer-heidebrauerei.de/","1872","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Brauereistrasse 1","Colbitz","Saxony-Anhalt","39326","","52.316857","11.609866","Y","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","","","276","",""
"czEE4b","Cold Spring Brewing Company","This historical brewery founded in 1874 has a storied tradition and heritage. It all began in the 1500”s. French Canadian trappers traveling west along the famous Red River Trail discovered this natural spring, which had the most refreshing water. Word of this spring spread and became a regular stop for all settlers going west on the Red River Trail. In 1857 Swiss born naturalist Armond DuPont wrote, “it is a water like no other, unique in its ability to refresh.” He noted, “Though seemingly impossible, a year-round frost forms at the base of this amazing spring.”    The brewery was built at the site of the spring and its water became the basis of all the award winning brews for over 125 years. In addition, the brewery has become the #1 energy drink and specialty drink producer in the country. We personally invite you to explore and enjoy our great water, drinks and brews.","http://www.coldspringbrewery.com/","1874","N","https://s3.amazonaws.com/brewerydbapi/brewery/GhJ5ei/upload_hmyy4U-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/GhJ5ei/upload_hmyy4U-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/GhJ5ei/upload_hmyy4U-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","219 Red River Avenue North","Cold Spring","Minnesota","56320","","45.4582465","-94.4290551","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","320-685-8686","","","",""
"67lPiS","Coldstream Brewery","At the gateway to the Yarra Valley, Coldstream Brewery is a destination for those who have an appreciation for fine flavours and great beer and cider.","http://www.coldstream-brewery.com.au/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/rgFJUs/upload_wu79OO-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/rgFJUs/upload_wu79OO-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/rgFJUs/upload_wu79OO-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","694 Maroondah Highway","Coldstream","Victoria","3770","Mon - Sun: 11:00 am - 11:45 pm","-37.724435","145.379093","Y","N","N","Y","micro","Micro Brewery","AU","","Australia","AUS","+61 3 9739 1794","","36","",""
"MSt4zl","Cole Street Brewery","Enumclaw's first craft brewery","http://colestreetbrew.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Meob53/upload_loBmcq-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Meob53/upload_loBmcq-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Meob53/upload_loBmcq-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2551 Cole Street","Enumclaw","Washington","98022","","47.209929","-121.982907","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","(425) 275-7396","Suite R","","",""
"rcfqNT","College Street Brewhouse & Pub","Just a quick drive to the north side of town, you'll find yourself at Havasu's hippest new brewhouse and pub. Here we focus on creating one-of-a-kind handcrafted beers. Revelers will appreciate sipping a smooth, flavorful craft brew while enjoying our rustic cuisine. Our casual atmosphere, outdoor dining, large bar and views of Lake Havasu are sure to become your favorite place to come and unwind.","http://www.collegestreetbrewhouseandpub.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/WGEtq9/upload_AdJhrv-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/WGEtq9/upload_AdJhrv-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/WGEtq9/upload_AdJhrv-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1940 College Drive","Lake Havasu City","Arizona","86403","Hours: Monday-Thursday 11am-10pm, Friday & Saturday 11am-11pm","34.5076354","-114.3457148","Y","N","N","Y","brewpub","Brewpub","US","2011","United States","USA","928-854-2739","","","",""
"oi5TIw","Cölner Hofbrau Früh","","","1904","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Am Hof 12-14","Köln","Nordrhein-Westfalen","D-50667","","50.941665","6.95518","N","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","","","276","",""
